Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
EScore: 0.7 p value: 4.509e-02 RTime: 49.308,,(no adduct),499.9331,3,39,59
EScore: 0.98 p value: 1.732e-02 RTime: 12.097,,(no adduct),620.6687,3,3,22
EScore: 0.7 p value: 1.895e-02 RTime: 36.566,,(no adduct),549.9502,3,26,46
EScore: 0.65 p value: 2.178e-02 RTime: 27.594,,(no adduct),403.1968,4,17,37
EScore: 0.73 p value: 1.982e-03 RTime: 31.214,,(no adduct),389.9736,4,21,41
EScore: 0.71 p value: 4.395e-02 RTime: 25.459,,(no adduct),421.2203,2,15,35
EScore: 0.73 p value: 6.442e-04 RTime: 35.959,,(no adduct),426.7261,2,25,45
EScore: 0.67 p value: 1.213e-02 RTime: 34.943,,(no adduct),550.9496,3,24,44
EScore: 0.6 p value: 2.925e-02 RTime: 38.998,,(no adduct),399.7162,4,28,48
EScore: 0.66 p value: 2.480e-02 RTime: 49.527,,(no adduct),408.4836,2,39,59
EScore: 0.71 p value: 4.042e-02 RTime: 41.545,,(no adduct),436.9727,4,31,51
EScore: 0.98 p value: 6.360e-03 RTime: 27.286,,(no adduct),636.3558,3,17,37
EScore: 0.65 p value: 1.649e-02 RTime: 41.979,,(no adduct),538.9381,3,31,51
EScore: 0.57 p value: 3.398e-02 RTime: 64.718,,(no adduct),567.3284,2,54,74
EScore: 0.97 p value: 7.356e-03 RTime: 69.49,,(no adduct),908.9304,2,59,79
EScore: 0.99 p value: 6.583e-03 RTime: 31.668,,(no adduct),510.5291,4,21,41
EScore: 0.72 p value: 2.403e-03 RTime: 50.783,,(no adduct),460.7394,2,40,60
EScore: 0.63 p value: 1.700e-02 RTime: 24.679,,(no adduct),397.7133,2,14,34
EScore: 0.71 p value: 3.642e-02 RTime: 41.341,,(no adduct),386.9699,2,31,51
EScore: 0.65 p value: 2.765e-02 RTime: 32.084,,(no adduct),436.2129,4,22,42
EScore: 0.61 p value: 3.215e-02 RTime: 54.901,,(no adduct),605.6234,3,44,64
EScore: 0.75 p value: 2.325e-02 RTime: 28.047,,(no adduct),431.2318,4,18,38
EScore: 0.83 p value: 7.458e-03 RTime: 41.553,,(no adduct),546.9704,3,31,51
EScore: 0.75 p value: 2.604e-02 RTime: 30.415,,(no adduct),405.232,4,20,40
EScore: 0.79 p value: 3.416e-03 RTime: 41.435,,(no adduct),504.6081,3,31,51
EScore: 0.65 p value: 1.567e-02 RTime: 35.472,,(no adduct),438.7175,2,25,45
EScore: 0.78 p value: 1.941e-02 RTime: 27.949,,(no adduct),391.9781,2,17,37
EScore: 0.66 p value: 4.699e-02 RTime: 35.29,,(no adduct),402.4807,2,25,45
EScore: 0.74 p value: 3.507e-02 RTime: 26.913,,(no adduct),358.5943,5,16,36
EScore: 0.67 p value: 4.213e-02 RTime: 36.447,,(no adduct),428.2188,4,26,46
EScore: 0.95 p value: 1.399e-03 RTime: 18.659,,(no adduct),400.5463,3,8,28
EScore: 0.64 p value: 9.266e-03 RTime: 39.927,,(no adduct),458.7244,4,29,49
EScore: 0.76 p value: 1.945e-02 RTime: 29.022,,(no adduct),409.4796,4,19,39
EScore: 0.69 p value: 1.331e-02 RTime: 60.803,,(no adduct),454.249,2,50,70
EScore: 0.7 p value: 4.388e-02 RTime: 49.976,,(no adduct),419.9807,2,39,59
EScore: 0.66 p value: 3.704e-02 RTime: 49.82,,(no adduct),449.2236,2,39,59
EScore: 0.67 p value: 2.271e-02 RTime: 22.472,,(no adduct),418.7344,2,12,32
EScore: 0.7 p value: 3.591e-02 RTime: 27.859,,(no adduct),451.2423,2,17,37
EScore: 0.62 p value: 6.429e-03 RTime: 24.57,,(no adduct),395.2113,2,14,34
EScore: 0.7 p value: 2.931e-02 RTime: 39.928,,(no adduct),445.7257,2,29,49
EScore: 0.69 p value: 2.867e-02 RTime: 22.508,,(no adduct),453.2375,2,12,32
EScore: 0.75 p value: 8.982e-03 RTime: 66.17,,(no adduct),550.9415,3,56,76
EScore: 0.83 p value: 5.963e-03 RTime: 15.324,,(no adduct),366.9783,5,5,25
EScore: 0.67 p value: 2.404e-02 RTime: 48.35,,(no adduct),537.2776,3,38,58
EScore: 0.71 p value: 8.981e-04 RTime: 38.354,,(no adduct),415.9697,4,28,48
EScore: 0.67 p value: 3.640e-02 RTime: 48.421,,(no adduct),467.9847,4,38,58
EScore: 0.72 p value: 4.084e-02 RTime: 53.366,,(no adduct),553.9567,3,43,63
EScore: 0.62 p value: 7.611e-03 RTime: 40.411,,(no adduct),420.4627,4,30,50
