Compound,m/z,z,p value,specificity,areas
EScore: 1.0 RTime: 727.997,384.7281,2.0,0.02556786674964225,12ca5,"[96402077.64479718, 173313069.97232494, 151072012.52694577, 244958.10594383738, 47457.676580729196, 47523.242307358305]"
EScore: 1.0 RTime: 718.201,384.7282,4.0,0.02556786747523848,12ca5,"[96402077.05323651, 173313070.06157187, 151072012.48722473, 244958.16765535888, 47456.807330181866, 47525.832773817114]"
EScore: 1.0 RTime: 677.01,384.7281,4.0,0.025567976406262977,12ca5,"[96402077.71523905, 173313069.6698535, 151072012.2987675, 244958.9710130311, 47458.923292798696, 48428.216336622485]"
EScore: 1.0 RTime: 708.435,512.635,3.0,0.03887831434962948,12ca5,"[17896055.578202054, 37862756.77978669, 32369166.916735016, 1.38757, 77421.16679128366, 114110.50303605695]"
EScore: 1.0 RTime: 729.471,465.7543,2.0,0.09384930207442384,Unclear,"[22169382.173753846, 89703127.7470693, 75914373.55480438, 246400.45332642045, 168980.5643286968, 115267.86091591981]"
EScore: 1.0 RTime: 720.536,465.7533,4.0,0.09384930609964298,Unclear,"[22169381.240688365, 89703128.55126339, 75914374.32969075, 246400.07672021104, 168980.4215365141, 115268.53147243698]"
EScore: 1.0 RTime: 753.728,465.7544,2.0,0.09384930821123301,Unclear,"[22169380.897998955, 89703128.00922813, 75914372.12059468, 246400.2738588167, 168980.27499123514, 115270.04115107068]"
EScore: 1.0 RTime: 736.119,465.7532,4.0,0.0938521385647672,Unclear,"[22169384.03303154, 89703128.64241609, 75914373.44014177, 246400.43578387264, 168981.18567340323, 118523.87453351424]"
EScore: 1.0 RTime: 753.033,466.0051,4.0,0.10891199749741177,Unclear,"[21244384.53909045, 95720835.2441468, 63235735.28336585, 416329.7953842435, 96618.96038791945, 107442.03644390871]"
EScore: 1.0 RTime: 742.318,466.0051,2.0,0.10891200152424033,Unclear,"[21244383.624627367, 95720835.79265763, 63235735.27342027, 416329.8897145848, 96619.3804369875, 107441.54454800574]"
EScore: 0.99 RTime: 1899.684,680.0351,3.0,0.007988326167583973,12ca5,"[30648228.301945847, 41505020.99165927, 40066088.92113514, 1.01605, 818551.4177263818, 1.13697]"
EScore: 0.99 RTime: 708.959,307.9838,5.0,0.1086287095506391,Unclear,"[4612994.1934684925, 22465102.048486285, 20804582.5879102, 289392.282469034, 1.9634200000000002, 94115.63857550365]"
EScore: 0.99 RTime: 1900.422,477.9323,3.0,0.0006132954278561274,12ca5,"[197423247.99363974, 216082981.5005059, 201774177.67538884, 1087555.0690317978, 3648238.465596241, 1283292.2911588016]"
EScore: 0.99 RTime: 1899.366,510.5303,2.0,0.006557600641370174,12ca5,"[83296980.60087422, 110093828.9707425, 102217137.31928551, 1068404.347230246, 1187516.9399832224, 641170.4250935913]"
EScore: 0.99 RTime: 1309.236,551.0518,4.0,0.00010352652260572922,12ca5,"[22706494.527848, 21197005.146049213, 22958232.3668359, 1.00393, 692255.7225768832, 1.8915899999999999]"
EScore: 0.99 RTime: 1279.632,551.0519,4.0,0.00010352630409089194,12ca5,"[22706493.269427005, 21197004.289466623, 22958234.1471824, 1.07519, 692257.0649515204, 1.30185]"
EScore: 0.99 RTime: 1900.084,510.5291,4.0,0.006583387360730805,12ca5,"[83296994.59105614, 110093831.32421516, 102217155.82430327, 1068407.7490054832, 1187520.2837992935, 905994.1955602316]"
EScore: 0.99 RTime: 1252.528,463.8514,5.0,0.010843882995934405,12ca5,"[14676085.092285303, 11697704.34841605, 10336718.99954309, 235472.9506161309, 228473.06226903055, 1.62106]"
EScore: 0.98 RTime: 1978.284,510.7797,4.0,0.019495747140835976,12ca5,"[41500322.99559143, 67807523.46464613, 54329195.486198045, 1137562.1442736443, 755274.1822080312, 1037162.8564074573]"
EScore: 0.98 RTime: 1245.485,579.5628,4.0,0.011902578597352281,12ca5,"[38734168.464406416, 30155776.72411293, 27090507.694214758, 941764.6912364363, 423059.5795773467, 361831.34620579256]"
EScore: 0.98 RTime: 1264.602,579.5626,4.0,0.011902582101813702,12ca5,"[38734166.11483922, 30155776.795767765, 27090505.006597262, 941765.6364002671, 423061.5504628376, 361835.45270768425]"
EScore: 0.98 RTime: 1211.799,480.2313,2.0,0.0644976078952995,Unclear,"[14583456.066002615, 6820878.814836218, 7292167.532148849, 1.40056, 186231.88109671368, 334753.3863332038]"
EScore: 0.98 RTime: 1205.301,480.2303,4.0,0.0644976193770521,Unclear,"[14583460.075701654, 6820883.352143536, 7292166.281937084, 1.66363, 186231.63582655392, 334756.3463190379]"
EScore: 0.98 RTime: 725.844,620.6687,3.0,0.017318084186329272,12ca5,"[5132703.883440444, 7290324.809444389, 4885036.661299643, 1.5324499999999999, 162749.50348674206, 174323.6430931953]"
EScore: 0.98 RTime: 718.38,620.6687,3.0,0.017318065651905502,12ca5,"[5132706.033655839, 7290324.240311708, 4885036.098349772, 1.97527, 162751.48579362166, 174326.05672195225]"
EScore: 0.98 RTime: 727.534,372.8041,5.0,0.01073292461419746,12ca5,"[15070070.515414147, 19598054.069619466, 14204777.197834734, 293418.74387799716, 414523.3079362314, 248055.52395331272]"
EScore: 0.98 RTime: 1637.16,636.3558,3.0,0.006359515561549132,12ca5,"[54163660.494003944, 48059249.11548246, 40563192.23716726, 1.5333999999999999, 1664019.4205528342, 1266448.683950588]"
EScore: 0.98 RTime: 845.104,498.0142,4.0,0.016846017693926782,12ca5,"[7729960.917658046, 5721152.004560057, 5080723.054969554, 119154.41253264822, 211041.07398099612, 84999.32620196314]"
EScore: 0.97 RTime: 1675.212,636.356,3.0,0.09206708726717887,Unclear,"[54891382.6231343, 14768647.143802058, 41466850.53976642, 1.00953, 1664016.5677739915, 1266443.6451829907]"
EScore: 0.97 RTime: 2052.493,510.7798,2.0,0.009696144696199543,12ca5,"[35341695.72294517, 29746842.33472494, 41668236.11744199, 1137565.8582548974, 755287.4100193727, 1058948.4592170096]"
EScore: 0.97 RTime: 726.945,431.5945,3.0,0.10069372402117316,Unclear,"[1414147.5910704883, 5487579.995151304, 3640194.017209052, 237654.05968029762, 1.18183, 62047.805631512834]"
EScore: 0.97 RTime: 757.687,546.7798,4.0,0.10185130047086216,Unclear,"[9653559.468346259, 10203314.85143446, 2444086.639985165, 438227.1794445069, 92118.19042995841, 140521.03184213224]"
EScore: 0.97 RTime: 781.807,416.9887,4.0,0.06240128837848978,Unclear,"[16665237.87750006, 15589276.602018943, 6362365.256667235, 452690.3046171574, 488675.82089237816, 286425.4420723444]"
EScore: 0.97 RTime: 787.472,416.9887,4.0,0.062401302282177946,Unclear,"[16665238.499502044, 15589274.700054642, 6362365.256667235, 452690.47714149224, 488678.95461937465, 286427.14506908116]"
EScore: 0.97 RTime: 822.273,417.2395,4.0,0.07858949143840714,Unclear,"[16564430.932617104, 14916325.004538188, 5235350.301261367, 411328.91776669805, 285760.99451210414, 478050.07698050234]"
EScore: 0.97 RTime: 4095.074,908.9296,2.0,0.004142700298341293,12ca5,"[74758601.8874423, 71374953.13731202, 58538017.57812536, 4353382.648803142, 1126354.5355542793, 1327062.7554785314]"
