Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"EScore: 1.0 RTime: 12.133 Area: 140262386.71468928 All areas: [96402077.64479718, 173313069.97232494, 151072012.52694577, 244958.10594383738, 47457.676580729196, 47523.242307358305] p-value: 0.02556786674964225 original RTs: [0, 761.2683051203996, 690.5620506163125, 0, 0, 0]",,(no adduct),384.7281,2.0,3,22
"EScore: 1.0 RTime: 11.97 Area: 140262386.53401104 All areas: [96402077.05323651, 173313070.06157187, 151072012.48722473, 244958.16765535888, 47456.807330181866, 47525.832773817114] p-value: 0.02556786747523848 original RTs: [688.8704791885875, 725.77366706453, 701.3950133757112, 0, 0, 0]",,(no adduct),384.7282,4.0,3,21
"EScore: 1.0 RTime: 11.284 Area: 140262386.5612867 All areas: [96402077.71523905, 173313069.6698535, 151072012.2987675, 244958.9710130311, 47458.923292798696, 48428.216336622485] p-value: 0.025567976406262977 original RTs: [0, 0, 672.7215972184192, 0, 0, 0]",,(no adduct),384.7281,4.0,3,21
"EScore: 1.0 RTime: 11.807 Area: 29375993.09157459 All areas: [17896055.578202054, 37862756.77978669, 32369166.916735016, 1.38757, 77421.16679128366, 114110.50303605695] p-value: 0.03887831434962948 original RTs: [687.0992002292713, 725.9153358157624, 673.520134000971, 0, 0, 0]",,(no adduct),512.635,3.0,3,21
"EScore: 0.99 RTime: 31.661 Area: 37406446.07158009 All areas: [30648228.301945847, 41505020.99165927, 40066088.92113514, 1.01605, 818551.4177263818, 1.13697] p-value: 0.007988326167583973 original RTs: [0, 1899.6844364320057, 0, 0, 0, 0]",,(no adduct),680.0351,3.0,21,41
"EScore: 0.99 RTime: 31.674 Area: 205093469.0565115 All areas: [197423247.99363974, 216082981.5005059, 201774177.67538884, 1087555.0690317978, 3648238.465596241, 1283292.2911588016] p-value: 0.0006132954278561274 original RTs: [1888.891316024052, 1894.3116817879686, 1895.8579375153388, 0, 0, 0]",,(no adduct),477.9323,3.0,21,41
"EScore: 0.99 RTime: 31.656 Area: 98535982.2969674 All areas: [83296980.60087422, 110093828.9707425, 102217137.31928551, 1068404.347230246, 1187516.9399832224, 641170.4250935913] p-value: 0.006557600641370174 original RTs: [0, 1899.3656756390471, 0, 0, 0, 0]",,(no adduct),510.5303,2.0,21,41
"EScore: 0.99 RTime: 21.821 Area: 22287244.013577703 All areas: [22706494.527848, 21197005.146049213, 22958232.3668359, 1.00393, 692255.7225768832, 1.8915899999999999] p-value: 0.00010352652260572922 original RTs: [1290.5756357574226, 1297.4567268912137, 0, 0, 0, 0]",,(no adduct),551.0518,4.0,11,31
"EScore: 0.99 RTime: 21.327 Area: 22287243.902025342 All areas: [22706493.269427005, 21197004.289466623, 22958234.1471824, 1.07519, 692257.0649515204, 1.30185] p-value: 0.00010352630409089194 original RTs: [0, 1279.6318135221754, 0, 0, 0, 0]",,(no adduct),551.0519,4.0,11,31
"EScore: 0.99 RTime: 31.668 Area: 98535993.91319151 All areas: [83296994.59105614, 110093831.32421516, 102217155.82430327, 1068407.7490054832, 1187520.2837992935, 905994.1955602316] p-value: 0.006583387360730805 original RTs: [0, 1900.0838038992795, 0, 0, 0, 0]",,(no adduct),510.5291,4.0,21,41
"EScore: 0.99 RTime: 20.875 Area: 12236836.146748148 All areas: [14676085.092285303, 11697704.34841605, 10336718.99954309, 235472.9506161309, 228473.06226903055, 1.62106] p-value: 0.010843882995934405 original RTs: [1232.2266762469667, 1241.998606298365, 0, 0, 0, 0]",,(no adduct),463.8514,5.0,10,30
"EScore: 0.98 RTime: 32.971 Area: 54545680.64881187 All areas: [41500322.99559143, 67807523.46464613, 54329195.486198045, 1137562.1442736443, 755274.1822080312, 1037162.8564074573] p-value: 0.019495747140835976 original RTs: [0, 0, 1983.1121536435442, 0, 0, 0]",,(no adduct),510.7797,4.0,22,42
"EScore: 0.98 RTime: 20.758 Area: 31993484.294244703 All areas: [38734168.464406416, 30155776.72411293, 27090507.694214758, 941764.6912364363, 423059.5795773467, 361831.34620579256] p-value: 0.011902578597352281 original RTs: [1215.478895046754, 0, 1244.2346231008414, 0, 0, 0]",,(no adduct),579.5628,4.0,10,30
"EScore: 0.98 RTime: 21.077 Area: 31993482.639068082 All areas: [38734166.11483922, 30155776.795767765, 27090505.006597262, 941765.6364002671, 423061.5504628376, 361835.45270768425] p-value: 0.011902582101813702 original RTs: [1233.0503910184937, 0, 1265.1604472035667, 0, 0, 0]",,(no adduct),579.5626,4.0,11,31
"EScore: 0.98 RTime: 12.097 Area: 5769355.118061491 All areas: [5132703.883440444, 7290324.809444389, 4885036.661299643, 1.5324499999999999, 162749.50348674206, 174323.6430931953] p-value: 0.017318084186329272 original RTs: [0, 749.4165593954002, 698.1608099925903, 0, 0, 0]",,(no adduct),620.6687,3.0,3,22
