Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
EScore: 1.0 p value: 2.557e-02 RTime: 11.97,,(no adduct),384.7282,4,3,21
EScore: 1.0 p value: 2.557e-02 RTime: 11.284,,(no adduct),384.7281,4,3,21
EScore: 1.0 p value: 3.888e-02 RTime: 11.807,,(no adduct),512.635,3,3,21
EScore: 0.98 p value: 1.732e-02 RTime: 11.973,,(no adduct),620.6687,3,3,21
EScore: 1.0 p value: 2.557e-02 RTime: 12.133,,(no adduct),384.7281,2,3,22
EScore: 0.98 p value: 1.732e-02 RTime: 12.097,,(no adduct),620.6687,3,3,22
EScore: 0.98 p value: 1.073e-02 RTime: 12.126,,(no adduct),372.8041,5,3,22
EScore: 0.92 p value: 4.997e-02 RTime: 12.995,,(no adduct),555.9833,3,3,22
EScore: 0.75 p value: 4.492e-02 RTime: 12.696,,(no adduct),458.7612,2,3,22
EScore: 0.95 p value: 8.920e-03 RTime: 13.162,,(no adduct),498.2659,2,3,23
EScore: 0.95 p value: 8.920e-03 RTime: 13.758,,(no adduct),498.2649,4,3,23
EScore: 0.94 p value: 1.025e-02 RTime: 13.794,,(no adduct),417.4901,4,3,23
EScore: 0.98 p value: 1.685e-02 RTime: 14.085,,(no adduct),498.0142,4,4,24
EScore: 0.92 p value: 1.311e-02 RTime: 15.274,,(no adduct),458.7214,2,5,25
EScore: 0.83 p value: 5.963e-03 RTime: 15.324,,(no adduct),366.9783,5,5,25
EScore: 0.95 p value: 1.399e-03 RTime: 18.659,,(no adduct),400.5463,3,8,28
EScore: 0.79 p value: 4.178e-03 RTime: 18.423,,(no adduct),428.4917,4,8,28
EScore: 0.72 p value: 4.735e-02 RTime: 18.901,,(no adduct),409.7244,4,8,28
EScore: 0.71 p value: 3.185e-02 RTime: 18.309,,(no adduct),415.4779,2,8,28
EScore: 0.7 p value: 4.684e-02 RTime: 18.303,,(no adduct),442.7292,2,8,28
EScore: 0.76 p value: 4.239e-02 RTime: 19.538,,(no adduct),435.9857,2,9,29
EScore: 0.75 p value: 3.510e-02 RTime: 19.984,,(no adduct),410.4557,2,9,29
EScore: 0.74 p value: 3.241e-02 RTime: 19.956,,(no adduct),427.4859,4,9,29
