Compound,m/z,z,p value,specificity
"EScore: 1.0 RTime: 727.997 Areas: [57933216.803938374, 29631556.376805283, 30211312.430123765, 13627038.226333894, 16249003.373676902, 24805474.70859332]",384.7281,2.0,0.02556786674964225,12ca5
"EScore: 1.0 RTime: 718.201 Areas: [23670434.25303672, 90762809.92749064, 32146769.31823734, 21926761.7595438, 24601944.926666573, 22706097.964000743]",384.7282,4.0,0.02556786747523848,12ca5
"EScore: 1.0 RTime: 677.01 Areas: [8593898.93717872, 880805.6132810372, 5046621.718554862, 1369041.6859630905, 3063726.586644592, 2174100.23896399]",384.7281,4.0,0.025567976406262977,12ca5
"EScore: 1.0 RTime: 708.435 Areas: [11100182.353385227, 31081180.139183477, 13219381.69834011, 19901709.96994691, 6059163.941347138, 9246802.393074233]",512.635,3.0,0.03887831434962948,12ca5
"EScore: 0.99 RTime: 1899.684 Areas: [10931013.033928681, 38667580.77571607, 29938695.81996878, 12621653.345428798, 18259146.641839676, 17824518.389675632]",680.0351,3.0,0.007988326167583973,12ca5
"EScore: 0.99 RTime: 1900.422 Areas: [37955845.6955907, 48476532.35936895, 41846467.144895285, 27412282.32528867, 43298291.03188353, 26730735.66006758]",477.9323,3.0,0.0006132954278561274,12ca5
"EScore: 0.99 RTime: 1899.366 Areas: [17922069.893131517, 14588753.456129378, 28778290.17274453, 45872439.46280666, 14680180.288275331, 6116897.049740856]",510.5303,2.0,0.006557600641370174,12ca5
"EScore: 0.99 RTime: 1309.236 Areas: [33748962.88840854, 110151637.00169514, 30656017.03155559, 21647458.862305935, 42686432.120125346, 45282884.68323458]",551.0518,4.0,0.00010352652260572922,12ca5
"EScore: 0.99 RTime: 1279.632 Areas: [26709559.743188508, 10489287.039046118, 9679213.097568104, 1330356.2293775245, 6546567.81781778, 4030359.925578359]",551.0519,4.0,0.00010352630409089194,12ca5
"EScore: 0.99 RTime: 1900.084 Areas: [55341825.199639566, 55258972.54873009, 36998873.75067862, 36384517.597400784, 53945343.18515116, 16862610.905934352]",510.5291,4.0,0.006583387360730805,12ca5
"EScore: 0.99 RTime: 1252.528 Areas: [65077022.03295447, 43466201.587026894, 32805755.043127038, 49903242.945333645, 30738799.37577028, 19386589.565904967]",463.8514,5.0,0.010843882995934405,12ca5
"EScore: 0.98 RTime: 1978.284 Areas: [10319502.56296731, 13488257.197036047, 19165936.545732625, 8168956.196184577, 15298478.647344228, 7948289.056091187]",510.7797,4.0,0.019495747140835976,12ca5
"EScore: 0.98 RTime: 1245.485 Areas: [49042484.12409787, 56958559.563150056, 16109328.707793374, 76403787.36064571, 34183835.47285056, 29185002.221144047]",579.5628,4.0,0.011902578597352281,12ca5
"EScore: 0.98 RTime: 1264.602 Areas: [16134023.69208211, 11000149.795110958, 8903892.615496106, 7954579.673324727, 16393488.583152296, 21305756.676136386]",579.5626,4.0,0.011902582101813702,12ca5
"EScore: 0.98 RTime: 725.844 Areas: [23454136.75147409, 24494843.453583147, 23379549.61914363, 19052390.721287653, 20761355.771182366, 14889695.392866965]",620.6687,3.0,0.017318084186329272,12ca5
"EScore: 0.98 RTime: 718.38 Areas: [18463023.577401236, 74399995.43597774, 41685863.57340422, 35750194.39833487, 23371432.056196306, 24823057.727628805]",620.6687,3.0,0.017318065651905502,12ca5
"EScore: 0.98 RTime: 727.534 Areas: [50510454.175766625, 30802872.986164756, 25419597.228170667, 61579800.51339545, 20494375.98103218, 14725983.83556272]",372.8041,5.0,0.01073292461419746,12ca5
"EScore: 0.98 RTime: 1637.16 Areas: [18547529.434772592, 78237732.98348796, 53251020.28373977, 36372256.152571455, 38372552.70520754, 15913116.119461209]",636.3558,3.0,0.006359515561549132,12ca5
"EScore: 0.98 RTime: 845.104 Areas: [17217622.189926237, 11541708.83344043, 7395223.909407479, 16465851.507435588, 9317164.335804662, 13501480.294574482]",498.0142,4.0,0.016846017693926782,12ca5
"EScore: 0.97 RTime: 2052.493 Areas: [18151053.068379603, 32137693.53906236, 21239966.917540822, 32530963.418428272, 20632777.87838278, 15359579.62263236]",510.7798,2.0,0.009696144696199543,12ca5
"EScore: 0.97 RTime: 4095.074 Areas: [71975397.25504804, 37617713.77608047, 17809916.89246413, 20099153.67812351, 53837131.023016974, 36010809.81939917]",908.9296,2.0,0.004142700298341293,12ca5
"EScore: 0.97 RTime: 4052.077 Areas: [14649626.682071947, 33668218.60394289, 20154721.377183348, 6292680.992757732, 12391537.5983103, 17417315.434824917]",908.4286,2.0,0.006918925282712196,12ca5
