Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
EScore: 0.97 p value: 4.155e-05 RTime: 27.235,,(no adduct),364.6443,3,17,37
EScore: 0.97 p value: 3.843e-02 RTime: 19.309,,(no adduct),493.7679,2,9,29
EScore: 0.92 p value: 3.128e-04 RTime: 43.927,,(no adduct),364.0937,4,33,53
EScore: 0.9 p value: 1.998e-02 RTime: 18.811,,(no adduct),448.9826,2,8,28
EScore: 0.84 p value: 1.922e-02 RTime: 88.403,,(no adduct),426.2455,2,78,98
EScore: 0.84 p value: 3.039e-03 RTime: 63.525,,(no adduct),449.912,4,53,73
EScore: 0.83 p value: 4.143e-03 RTime: 42.135,,(no adduct),319.304,5,32,52
EScore: 0.83 p value: 3.305e-05 RTime: 26.471,,(no adduct),427.9112,2,16,36
EScore: 0.82 p value: 1.558e-04 RTime: 26.647,,(no adduct),331.9885,3,16,36
EScore: 0.8 p value: 2.888e-03 RTime: 42.327,,(no adduct),399.1289,4,32,52
EScore: 0.8 p value: 9.381e-04 RTime: 41.848,,(no adduct),319.5044,5,31,51
EScore: 0.8 p value: 3.743e-02 RTime: 47.652,,(no adduct),405.8767,4,37,57
EScore: 0.79 p value: 9.208e-03 RTime: 15.447,,(no adduct),449.2311,4,5,25
EScore: 0.79 p value: 1.747e-02 RTime: 42.019,,(no adduct),398.8782,4,32,52
EScore: 0.78 p value: 2.579e-02 RTime: 15.938,,(no adduct),448.9811,2,5,25
EScore: 0.78 p value: 4.256e-02 RTime: 45.161,,(no adduct),402.9585,4,35,55
EScore: 0.77 p value: 3.457e-02 RTime: 44.11,,(no adduct),399.2148,2,34,54
EScore: 0.76 p value: 2.602e-02 RTime: 16.482,,(no adduct),363.6126,5,6,26
EScore: 0.74 p value: 2.283e-02 RTime: 11.696,,(no adduct),554.4004,4,3,21
EScore: 0.74 p value: 2.189e-02 RTime: 12.328,,(no adduct),554.3997,4,3,22
EScore: 0.74 p value: 3.388e-02 RTime: 11.822,,(no adduct),554.4021,2,3,21
EScore: 0.73 p value: 4.970e-03 RTime: 23.091,,(no adduct),435.4786,4,13,33
EScore: 0.73 p value: 1.673e-02 RTime: 64.731,,(no adduct),439.7503,2,54,74
EScore: 0.73 p value: 4.344e-02 RTime: 18.878,,(no adduct),410.7391,2,8,28
EScore: 0.72 p value: 1.397e-02 RTime: 45.024,,(no adduct),392.2093,2,35,55
EScore: 0.72 p value: 1.118e-02 RTime: 58.254,,(no adduct),469.001,2,48,68
EScore: 0.72 p value: 2.642e-02 RTime: 62.863,,(no adduct),635.6432,3,52,72
EScore: 0.71 p value: 2.306e-02 RTime: 15.499,,(no adduct),387.562,2,5,25
EScore: 0.71 p value: 2.306e-02 RTime: 16.387,,(no adduct),387.5619,3,6,26
EScore: 0.7 p value: 2.460e-02 RTime: 29.955,,(no adduct),338.1864,5,19,39
EScore: 0.7 p value: 2.483e-03 RTime: 34.002,,(no adduct),440.4993,2,24,44
EScore: 0.69 p value: 4.275e-02 RTime: 62.309,,(no adduct),614.9583,3,52,72
EScore: 0.68 p value: 3.206e-02 RTime: 55.005,,(no adduct),509.2863,3,45,65
EScore: 0.68 p value: 1.521e-02 RTime: 32.38,,(no adduct),339.7916,5,22,42
EScore: 0.68 p value: 6.571e-03 RTime: 66.886,,(no adduct),610.9708,3,56,76
EScore: 0.68 p value: 4.533e-02 RTime: 24.81,,(no adduct),431.4942,2,14,34
EScore: 0.67 p value: 7.132e-03 RTime: 74.023,,(no adduct),572.2889,3,64,84
