Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"EScore: 0.97 RTime: 27.235 Area: 80711624.93542917 All areas: [706189.6513488987, 5847409.975730566, 868481.3738388413, 75795533.92034051, 84159832.35583352, 82179508.53011352] p-value: 4.1549443751887075e-05 original RTs: [0, 0, 0, 0, 0, 1616.2245034740238]",,(no adduct),364.6443,3.0,17,37
"EScore: 0.97 RTime: 19.309 Area: 62299826.24341625 All areas: [1707323.1954806277, 2396146.109113352, 1740766.0146146629, 82661612.5023597, 63738736.69712523, 40499129.530763805] p-value: 0.038433535537629473 original RTs: [0, 0, 0, 1171.5973584361534, 1165.051432351806, 1166.5632483651102]",,(no adduct),493.7679,2.0,9,29
"EScore: 0.92 RTime: 43.927 Area: 17823115.785981815 All areas: [2180134.004071845, 2698360.0469354196, 1.86242, 17638076.534223653, 19671358.41880336, 16159912.404918442] p-value: 0.00031275295345154164 original RTs: [0, 0, 0, 0, 2638.5703672783698, 2630.6803597031426]",,(no adduct),364.0937,4.0,33,53
"EScore: 0.9 RTime: 18.811 Area: 13748966.49638073 All areas: [826387.4372413914, 2594141.6981689334, 1247651.061385565, 10953228.068195557, 12679846.21096377, 17613825.209982857] p-value: 0.019984764964480883 original RTs: [0, 1195.052790474113, 1060.6399240059397, 0, 0, 0]",,(no adduct),448.9826,2.0,8,28
"EScore: 0.84 RTime: 88.403 Area: 4202620.816043137 All areas: [367908.3664390507, 1413586.6074673424, 548143.1179189864, 5458747.046707278, 3880004.6867869683, 3269110.714635164] p-value: 0.019217112844493865 original RTs: [0, 0, 0, 0, 5353.69610261836, 0]",,(no adduct),426.2455,2.0,78,98
"EScore: 0.84 RTime: 63.525 Area: 39061436.39851599 All areas: [13108826.196685288, 6669490.119932401, 3232252.4156242134, 42418924.06662, 43004855.711071424, 31760529.41785654] p-value: 0.003038507294277605 original RTs: [0, 0, 0, 3862.0727318549984, 3835.3682758992068, 3826.4644595169516]",,(no adduct),449.912,4.0,53,73
"EScore: 0.83 RTime: 42.135 Area: 136202462.7553603 All areas: [36949690.34210781, 32095050.10424162, 13560880.893694587, 135646519.0862, 137123939.75869393, 135836929.42118698] p-value: 0.004142849848072925 original RTs: [0, 0, 0, 2592.1606944608006, 0, 0]",,(no adduct),319.304,5.0,32,52
"EScore: 0.83 RTime: 26.471 Area: 136995222.2779066 All areas: [33762136.971478745, 21599129.776831, 30715038.714422073, 143749049.7177924, 136552020.87301135, 130684596.24291605] p-value: 3.3046723320004514e-05 original RTs: [1579.3775734089559, 1585.517796993655, 0, 1641.4322153040378, 0, 0]",,(no adduct),427.9112,2.0,16,36
"EScore: 0.82 RTime: 26.647 Area: 1285243407.646447 All areas: [366760939.5014703, 229660420.25573418, 225280620.8520971, 1239707699.72727, 1341861959.5935857, 1274160563.6184852] p-value: 0.00015575999914229627 original RTs: [1578.6197054527945, 1584.106737370112, 1597.096447521527, 1616.6377182514268, 1614.6173315219423, 1613.3908541128749]",,(no adduct),331.9885,3.0,16,36
"EScore: 0.8 RTime: 42.327 Area: 136209153.43659782 All areas: [43605061.94873802, 20290372.991740786, 37516147.58944232, 114444214.49290346, 143084543.34895316, 151098702.46793687] p-value: 0.0028879834013572684 original RTs: [0, 0, 0, 2564.085309768432, 2581.6340307855685, 0]",,(no adduct),399.1289,4.0,32,52
