Compound,m/z,z,p value,specificity
"EScore: 0.97 RTime: 1634.112 Areas: [23397100.454202924, 15847586.047883285, 30164260.932445116, 39887456.60863881, 23875996.778617676, 21997040.27174406]",364.6443,3.0,4.1549443751887075e-05,BeadsOnly
"EScore: 0.97 RTime: 1158.535 Areas: [19573431.49544439, 60153113.29003751, 18160105.691943813, 29148331.459995754, 13867152.120700989, 28259677.3108742]",493.7679,2.0,0.038433535537629473,BeadsOnly
"EScore: 0.92 RTime: 2635.637 Areas: [16862708.695076, 7055863.362972599, 6802799.733054879, 8986028.69679073, 2584986.3012889065, 3782444.390110411]",364.0937,4.0,0.00031275295345154164,BeadsOnly
"EScore: 0.9 RTime: 1128.641 Areas: [27245213.161148086, 14828227.6950526, 22342180.97661588, 12362160.504333245, 28538183.7514768, 8478459.882500015]",448.9826,2.0,0.019984764964480883,BeadsOnly
"EScore: 0.84 RTime: 5304.192 Areas: [21598560.294605948, 11219413.988158008, 20629191.179739255, 30412033.58481015, 48426023.81062002, 30648794.893602442]",426.2455,2.0,0.019217112844493865,BeadsOnly
"EScore: 0.84 RTime: 3811.51 Areas: [29734614.987286992, 14831742.37643416, 53082641.00242769, 22752389.82668437, 25407132.92185317, 31892034.516406827]",449.912,4.0,0.003038507294277605,BeadsOnly
"EScore: 0.83 RTime: 2528.088 Areas: [15316365.1057338, 3881744.877498335, 13459240.303366542, 8235281.216109577, 2950922.267719131, 5143876.704925179]",319.304,5.0,0.004142849848072925,BeadsOnly
"EScore: 0.83 RTime: 1588.253 Areas: [21421616.69870815, 20428502.181608323, 6054751.413436608, 2976133.9525148347, 21565224.177616864, 17030513.039081953]",427.9112,2.0,3.3046723320004514e-05,BeadsOnly
"EScore: 0.82 RTime: 1598.798 Areas: [11584782.921329249, 27085120.271776702, 14610345.252930345, 30150800.997565597, 36340040.15869574, 14373625.476133429]",331.9885,3.0,0.00015575999914229627,BeadsOnly
"EScore: 0.8 RTime: 2539.619 Areas: [15576096.928432994, 23959823.953055408, 30004656.209680498, 12391657.863375884, 7846286.164969289, 6425767.120105728]",399.1289,4.0,0.0028879834013572684,BeadsOnly
"EScore: 0.8 RTime: 2510.855 Areas: [70716074.31910038, 30669743.04573467, 75443626.63182886, 10768966.69159779, 18848279.367865797, 42955525.92425242]",319.5044,5.0,0.0009380611273408477,BeadsOnly
"EScore: 0.8 RTime: 2859.109 Areas: [34712149.041066214, 18926969.784525372, 19543722.677735623, 41778078.85593741, 18536963.871952273, 14904235.438895345]",405.8767,4.0,0.0374333065577538,BeadsOnly
"EScore: 0.79 RTime: 926.796 Areas: [38007712.02202835, 16608171.066060647, 11902102.04509822, 7236200.485120472, 23267635.260306805, 9815903.021443998]",449.2311,4.0,0.009207797815941773,BeadsOnly
"EScore: 0.79 RTime: 2521.139 Areas: [24245595.27813402, 28525544.188383788, 11985468.911621423, 29343372.106118508, 13845722.576449916, 34458519.40751565]",398.8782,4.0,0.017472577756017765,BeadsOnly
"EScore: 0.78 RTime: 956.298 Areas: [95130157.03313003, 46058915.821232505, 31762225.88997035, 45869860.31556565, 32484068.55751077, 21280249.461405393]",448.9811,2.0,0.025790200705952185,BeadsOnly
"EScore: 0.78 RTime: 2709.642 Areas: [72325736.57655205, 36412238.417908914, 17336145.613954574, 45851843.775949195, 38495622.68428219, 29090631.355131615]",402.9585,4.0,0.04256394259970033,BeadsOnly
"EScore: 0.77 RTime: 2646.62 Areas: [51575173.081242174, 68078149.6295914, 53830741.31512679, 28116985.871711478, 29292552.027746122, 38829654.53140437]",399.2148,2.0,0.034565541595847196,BeadsOnly
"EScore: 0.76 RTime: 988.904 Areas: [102943291.67016101, 101873659.11295867, 45053256.5147542, 49971181.932005264, 51788528.22905843, 34065208.14430133]",363.6126,5.0,0.026015198145913014,BeadsOnly
"EScore: 0.74 RTime: 701.756 Areas: [44301417.21661574, 56162115.113012336, 31327610.506110795, 11832673.570874982, 46055149.24299436, 40356201.09123052]",554.4004,4.0,0.022834447594354403,BeadsOnly
"EScore: 0.74 RTime: 739.658 Areas: [46895565.6059575, 29162505.08824345, 46704314.02682887, 51702344.93963023, 20121361.49929234, 17880828.71999432]",554.3997,4.0,0.02188582225455321,BeadsOnly
"EScore: 0.74 RTime: 709.291 Areas: [56456936.02727588, 10401693.876038816, 17607756.447146237, 25446233.735213473, 13214508.774469541, 22582197.403828193]",554.4021,2.0,0.033884235324811184,BeadsOnly
"EScore: 0.73 RTime: 1385.48 Areas: [35560134.5369128, 41756710.55738017, 18870447.657023013, 34280919.040803134, 23152549.33231972, 16189143.134481695]",435.4786,4.0,0.004969649372235204,BeadsOnly
"EScore: 0.73 RTime: 3883.854 Areas: [17337876.153232984, 37219640.18553751, 21972221.29918838, 29947136.028276157, 7837363.194074081, 15377534.700628256]",439.7503,2.0,0.016725268060645018,BeadsOnly
"EScore: 0.73 RTime: 1132.674 Areas: [26125376.286532648, 22946254.720021416, 19805476.087244056, 15065594.748100411, 17422279.61126744, 12811540.658865226]",410.7391,2.0,0.04343952594707888,BeadsOnly
"EScore: 0.72 RTime: 2701.412 Areas: [27182736.2495388, 27155285.10759466, 39489056.362180814, 29287453.034869704, 53219489.47258212, 40381588.46444603]",392.2093,2.0,0.013969712336222724,BeadsOnly
"EScore: 0.72 RTime: 3495.241 Areas: [366760939.5014703, 229660420.25573418, 225280620.8520971, 1239707699.72727, 1341861959.5935857, 1274160563.6184852]",469.001,2.0,0.011182585936928993,BeadsOnly
"EScore: 0.72 RTime: 3771.795 Areas: [25321713.740337983, 18769831.876799285, 11910461.796949219, 14339512.36393478, 17675793.510858312, 6344830.615444573]",635.6432,3.0,0.02641907259222028,BeadsOnly
"EScore: 0.71 RTime: 929.933 Areas: [78148881.87481515, 67891631.1232452, 30961711.440310784, 21266454.933977403, 1.8654899999999999, 39059428.02100806]",387.562,2.0,0.02305585512973434,BeadsOnly
"EScore: 0.71 RTime: 983.205 Areas: [51722982.63940741, 99131820.39329714, 48123490.83056873, 45803333.357113704, 18468009.639912575, 26432203.932360042]",387.5619,3.0,0.023055884165862982,BeadsOnly
"EScore: 0.7 RTime: 1797.295 Areas: [71876661.79497308, 25287525.41300127, 88379288.24307495, 24668325.699948438, 16305955.300074417, 63815136.446683094]",338.1864,5.0,0.024598805272007262,BeadsOnly
"EScore: 0.7 RTime: 2040.147 Areas: [28431095.573127106, 17621455.645096757, 16461542.712794384, 27420417.589090817, 13485896.318071302, 13697980.759040266]",440.4993,2.0,0.0024825359962638662,BeadsOnly
"EScore: 0.69 RTime: 3738.515 Areas: [35085601.427266136, 39148231.63438784, 21449079.99064803, 53159576.71968626, 46490454.160379335, 11825555.409701161]",614.9583,3.0,0.042752207683502456,BeadsOnly
"EScore: 0.68 RTime: 3300.28 Areas: [38579762.12609574, 46290123.31652424, 63867750.134614274, 57411990.52957353, 49696847.432719015, 43170229.35185478]",509.2863,3.0,0.0320568613700106,BeadsOnly
"EScore: 0.68 RTime: 1942.774 Areas: [19085677.669487588, 19485606.742369924, 18353370.88693664, 21604564.17795616, 10170926.525914084, 9827554.922373978]",339.7916,5.0,0.015209098963133955,BeadsOnly
"EScore: 0.68 RTime: 4013.175 Areas: [10826820.023656763, 26972308.59834465, 24036542.8586337, 19586626.029918008, 15612893.95726503, 29389981.916224558]",610.9708,3.0,0.006570868467754024,BeadsOnly
"EScore: 0.68 RTime: 1488.58 Areas: [14183505.467966214, 29976630.287693564, 36131169.29281201, 54437165.03153993, 19148383.882214364, 19904764.06494423]",431.4942,2.0,0.04533460211364309,BeadsOnly
"EScore: 0.67 RTime: 4441.362 Areas: [105185568.4661713, 45899445.17545335, 27987328.22641949, 16367290.632867334, 18128891.441911977, 16535624.69011129]",572.2889,3.0,0.007131835148193667,BeadsOnly
"EScore: 0.67 RTime: 2729.615 Areas: [62716933.61503385, 23680818.647861574, 33984514.176591806, 34974612.505699605, 21329155.794811413, 17027607.282365058]",426.4795,4.0,0.021418963817964952,BeadsOnly
"EScore: 0.67 RTime: 3781.664 Areas: [36221685.522895694, 91868821.59971738, 39711110.38623968, 70283039.81899904, 38062868.33521287, 36190182.81610887]",575.3178,3.0,0.018702620593597254,BeadsOnly
"EScore: 0.66 RTime: 2636.819 Areas: [9301585.478528012, 29903030.795186225, 23910381.514091916, 39430733.67168092, 8724222.975748397, 5325665.850204048]",450.9935,2.0,0.021640053636297934,BeadsOnly
"EScore: 0.66 RTime: 2345.594 Areas: [26325037.458061412, 25706428.58375365, 39593554.02976796, 33787591.32043591, 16490864.886740573, 41379416.82016858]",437.7179,2.0,0.008818323519995288,BeadsOnly
"EScore: 0.64 RTime: 4065.905 Areas: [44596423.50705927, 6178637.5507225115, 8616980.944642907, 18477027.592822704, 1501191.8389540538, 13836028.442307409]",600.99,3.0,0.014664201561020286,BeadsOnly
"EScore: 0.64 RTime: 3363.799 Areas: [7182145.159960909, 11555961.35181185, 26758501.867430393, 8975723.348606389, 10801385.219104806, 6598626.515854121]",456.7416,2.0,0.03534229711472121,BeadsOnly
"EScore: 0.64 RTime: 2419.189 Areas: [47421901.43572904, 94472710.77654086, 88730024.5130429, 24965596.02260048, 46294301.746815994, 26830724.890164316]",426.4691,4.0,0.032627354523925726,BeadsOnly
"EScore: 0.64 RTime: 3390.928 Areas: [21518876.77859921, 23344848.06034364, 36017871.32941844, 48908026.637154534, 48575622.16757172, 27171041.603013124]",470.2509,2.0,0.002925311458799042,BeadsOnly
"EScore: 0.64 RTime: 3163.797 Areas: [43316537.44615014, 23608895.478309285, 36236186.831459865, 30808980.510061227, 42566901.55437317, 100393825.33445758]",466.9797,2.0,0.01639804619416441,BeadsOnly
"EScore: 0.63 RTime: 1114.176 Areas: [48845950.74147041, 1.00005, 154262257.74853843, 42128387.35424132, 35615660.69276829, 53279325.008697346]",336.1903,5.0,0.0003207930673721205,BeadsOnly
"EScore: 0.63 RTime: 2131.36 Areas: [27297154.57525879, 58940370.397641554, 18373829.938791897, 10737730.59953469, 9518994.478765117, 7198050.397118419]",407.23,4.0,0.01008376812595573,BeadsOnly
"EScore: 0.62 RTime: 3244.583 Areas: [53998431.49020217, 31900299.46198219, 13526359.213095995, 29990703.74220997, 12184186.435400888, 12465038.315184547]",439.2465,4.0,0.045229726176648076,BeadsOnly
"EScore: 0.62 RTime: 1958.089 Areas: [13201041.253900578, 21865747.46886917, 20073947.737228654, 16214162.077986564, 29964509.637147535, 14680074.14686662]",338.1815,5.0,0.03474143936732728,BeadsOnly
"EScore: 0.62 RTime: 4109.703 Areas: [37241991.41931962, 48897603.08333924, 34920161.48607014, 26284083.381312493, 32160060.677801087, 38109470.983814456]",585.6445,3.0,0.0025968614485919507,BeadsOnly
"EScore: 0.62 RTime: 1977.178 Areas: [104512427.39988844, 41310081.10730566, 20516762.346927352, 36937719.62449148, 29482079.639869004, 51229816.513938]",425.9793,2.0,0.03204253491117362,BeadsOnly
"EScore: 0.61 RTime: 4981.689 Areas: [27419078.30028761, 25723568.808577143, 23691118.450362574, 21399402.248177785, 11856187.879702298, 48852861.7474983]",730.2395,2.0,0.012167492006641701,BeadsOnly
"EScore: 0.61 RTime: 3397.346 Areas: [12052875.60503503, 16449965.87039982, 7336498.58034645, 23319359.894910462, 12527024.68429404, 18847685.8912304]",494.2448,2.0,0.03310548976697408,BeadsOnly
"EScore: 0.61 RTime: 3538.922 Areas: [27816748.749687653, 55485103.14705901, 72348901.87590775, 48621193.334381536, 35493277.80800642, 29594067.155643016]",559.6081,3.0,0.0020894571582248584,BeadsOnly
