m/z,RT (min),z,Obs Mass,Specificity,P-value,Escore 12ca5,Escore Norm 12ca5,Ln(Fold Change) 12ca5,Escore Rank 12ca5,Escore Norm Rank 12ca5,Fold Change Rank 12ca5,Total Rank 12ca5,Total Norm Rank 12ca5,Escore BeadsOnly,Escore Norm BeadsOnly,Ln(Fold Change) BeadsOnly,Escore Rank BeadsOnly,Escore Norm Rank BeadsOnly,Fold Change Rank BeadsOnly,Total Rank BeadsOnly,Total Norm Rank BeadsOnly
403.72365485550955,33.5145410259907,4.0,1610.8655135420381,Unclear,0.3242373298264977,0.3971848493239906,53280248.446036294,26.31620798582043,3399,3780,1173,4572,4953,0.6028151506760093,80864466.63239476,0.0,2507,58,10854,13361,10912
408.4743462944279,33.429942546803794,4.0,1629.8682792977115,Unclear,0.27927537856608486,0.6812366632293417,125211909.39842713,17.571078248437576,1173,58,6807,7980,6865,0.3187633367706582,58588987.05490117,-17.571078248437576,10178,3780,6997,17175,10777
406.2227625771877,23.811172951136417,2.0,810.4309722143754,Unclear,0.7919910420427788,0.5353890800055597,47904870.29375308,26.017160522032555,7242,897,7119,14361,8016,0.4646109199944402,41571871.16921365,0.0,2509,897,8020,10529,8917
424.9860937826681,39.90270871025333,4.0,1695.9152692506723,Unclear,0.2425045364173534,0.6183193864794414,137178735.36470652,15.75851717376357,1163,2806,3350,4513,6156,0.3816806135205586,84678670.96015176,-15.75851717376357,10130,2806,3646,13776,6452
434.23371998917537,43.41367898908903,4.0,1732.9057740767014,Unclear,0.12255107661637195,0.7090131228448059,176829443.99666393,26.53294263026647,2821,1171,6814,9635,7985,0.2909868771551941,72572771.98371601,0.0,2508,1704,4297,6805,6001
426.4801196286524,44.17062736323249,4.0,1701.8913726346095,Unclear,0.5904713796848206,0.5857245782628886,166339270.85412145,16.070368733179333,1169,3399,4262,5431,7661,0.4142754217371114,117649615.7782985,-16.070368733179333,4712,1249,5319,10031,6568
416.2329477546596,43.19925999697153,4.0,1660.9026851386384,12ca5,0.01901791557427505,0.6431928277335326,173484064.0259604,26.880010374542046,8001,7242,142,8143,7384,0.35680717226646735,96239192.43086198,0.0,3283,4428,6607,9890,11035
399.7161993619581,38.99758382607237,4.0,1594.8356915678323,12ca5,0.029252728134004483,0.6032510521402569,68877107.09379813,26.85690436842826,1156,1173,963,2119,2136,0.39674894785974313,45299415.018233076,0.0,2374,8382,11086,13460,19468
421.4780404473313,33.88852891862354,4.0,1681.883055909325,Unclear,0.7624306036851027,0.46202415399261876,80291305.04847178,26.68487217638397,5307,8375,2821,8128,11196,0.5379758460073812,93490312.97869852,0.0,6572,8375,976,7548,9351
441.2342866256235,43.20885998733033,4.0,1760.908040622494,Unclear,0.3319490795668878,0.6344846416536203,172951298.7443329,26.307407513161017,7998,7118,8001,15999,15119,0.3655153583463796,99634178.33448182,0.0,9357,3709,7087,16444,10796
512.6113919131327,50.852523993315906,3.0,1534.8123463293982,Unclear,0.594729067187492,0.5786569065751089,97886650.47742571,15.550898718296724,7112,3709,6417,13529,10126,0.421343093424891,71275160.89157096,-15.550898718296724,2514,3178,2956,5470,6134
449.9951796723163,38.20607558250758,2.0,897.9758064046325,Unclear,0.6547939121645401,0.5495143108548766,97648998.36614884,16.098183246993752,1162,11162,205,1367,11367,0.4504856891451235,80051557.26494437,-16.098183246993752,8382,11168,10445,18827,21613
