m/z,RT (min),z,Obs Mass,Specificity,P-value,Escore 12ca5,Escore Norm 12ca5,Ln(Fold Change) 12ca5,Escore Rank 12ca5,Escore Norm Rank 12ca5,Fold Change Rank 12ca5,Total Rank 12ca5,Total Norm Rank 12ca5,Escore BeadsOnly,Escore Norm BeadsOnly,Ln(Fold Change) BeadsOnly,Escore Rank BeadsOnly,Escore Norm Rank BeadsOnly,Fold Change Rank BeadsOnly,Total Rank BeadsOnly,Total Norm Rank BeadsOnly
499.9330546780402,49.30753971882293,3.0,1496.7773346241206,12ca5,0.04509111034761392,0.7007750141111757,67425819.12835799,15.738134589608984,409,3561,146,555,3707,0.2992249858888242,28790252.750113826,-15.738134589608984,957,2505,9278,10235,11783
620.66873400584,12.097408181731028,3.0,1858.9843726075198,12ca5,0.017318084186329272,0.9808970244273809,17308065.354184475,25.167683277272946,747,2135,130,877,2265,0.019102975572619047,337074.67902993737,0.0,9998,9979,5511,15509,15490
549.9501552217622,36.56582527535943,3.0,1646.8286362552867,12ca5,0.01894621006801089,0.6996081052246398,81599786.15540439,15.493636650236786,215,7646,1397,1612,9043,0.3003918947753602,35036635.78713901,-15.493636650236786,6128,3509,8509,14637,12018
403.19677368134086,27.594362642787686,4.0,1608.7579888453633,12ca5,0.021780691915113837,0.6531854476817625,13203822.702332461,15.020587666171158,199,6270,1513,1712,7783,0.3468145523182376,7010685.672271557,-15.020587666171156,6049,8867,10581,16630,19448
389.97362040050547,31.213539767073573,4.0,1555.8653757220218,12ca5,0.0019816076656036887,0.7307935039514272,62062649.5796552,17.826796779896952,702,1434,1101,1803,2535,0.2692064960485729,22862365.82357456,-17.826796779896952,6835,6011,3087,9922,9098
421.22026397916017,25.45870524191396,2.0,840.4259750183203,12ca5,0.04395421051960603,0.709401500917438,49235885.122500196,14.550317925277037,1526,2177,307,1833,2484,0.29059849908256197,20168937.194376174,-14.550317925277037,3073,5647,9165,12238,14812
426.72606527131927,35.959216246200654,2.0,851.4375776026385,12ca5,0.000644151781218159,0.7312903227476416,174669487.5793726,16.820366067740267,1717,7532,145,1862,7677,0.2687096772523583,64181598.16054995,-16.820366067740267,9517,1537,817,10334,2354
550.9495833504534,34.94341888295479,3.0,1649.8269206413602,12ca5,0.01212721700941245,0.6716662965751635,92296801.50879708,17.4131859794958,1845,1659,168,2013,1827,0.32833370342483653,45117867.024401404,-17.4131859794958,9125,9605,3972,13097,13577
399.7161993619581,38.99758382607237,4.0,1594.8356915678323,12ca5,0.029252728134004483,0.6032510521402569,68877107.09379813,26.85690436842826,1156,1173,963,2119,2136,0.39674894785974313,45299415.018233076,0.0,2374,8382,11086,13460,19468
408.4835880865379,49.5265177690046,2.0,814.9526232330758,12ca5,0.02480231177244308,0.6633217536076381,78751191.31012449,26.29670271390153,1820,8414,456,2276,8870,0.3366782463923619,39971270.1225314,0.0,5778,10517,8353,14131,18870
436.9726724375779,41.54481738249355,4.0,1743.8615838703115,12ca5,0.04041653799054549,0.7127444537608972,139266157.62354916,15.37009167396933,1185,2762,1159,2344,3921,0.2872555462391027,56128077.8400753,-15.37009167396933,484,3482,3909,4393,7391
636.3557564349493,27.28599456829182,3.0,1906.0454398948477,12ca5,0.006359515561549132,0.979889249328008,142786101.84665367,16.03005529825805,115,2059,2229,2344,4288,0.02011075067199197,2930469.637903422,-16.03005529825805,3438,8669,4310,7748,12979
538.9380559314363,41.97873849194861,3.0,1613.792338384309,12ca5,0.01649352747400682,0.6532069835849801,54553643.9468108,25.289138012827586,1435,4419,998,2433,5417,0.34679301641502003,28962982.968911014,0.0,9884,4036,9562,19446,13598
567.328395204402,64.7178967399446,2.0,1132.642237468804,12ca5,0.03398245048581819,0.5707815964597567,65690156.482626475,25.510153831534907,1729,6447,750,2479,7197,0.42921840354024327,49397920.79608445,0.0,4967,10131,10576,15543,20707
908.9304375609773,69.48966815013067,2.0,1815.8463221819547,12ca5,0.007355512403035405,0.9653949622166991,202769842.21948335,17.719644131905138,1746,11135,754,2500,11889,0.034605037783300915,7268380.637917743,-17.719644131905138,5287,4907,5782,11069,10689
510.5291074045572,31.668063398321326,4.0,2038.0873237382286,12ca5,0.006583387360730805,0.989416864997539,295607981.73957455,18.78433821296382,1261,4827,1269,2530,6096,0.010583135002460987,3161922.2283650087,-18.78433821296382,598,4144,8774,9372,12918
460.73935831965554,50.78250843926034,2.0,919.464163699311,12ca5,0.0024032410421441614,0.7240468097179682,101410745.42131692,26.391141958970376,239,1569,2330,2569,3899,0.27595319028203175,38650289.390532576,0.0,2148,9732,5207,7355,14939
397.7133173330093,24.678819121723638,2.0,793.4120817260185,12ca5,0.017003298719130096,0.6318013563486543,36990366.38317538,25.45384430798626,729,101,1862,2591,1963,0.3681986436513457,21557096.377829768,0.0,7375,4871,5791,13166,10662
386.9699143061364,41.34056482750095,2.0,771.9252756722727,12ca5,0.036422498794984715,0.7065576236297079,79562255.7370485,17.10864661455892,1869,1210,764,2633,1974,0.29344237637029214,33043217.72500762,-17.10864661455892,9225,2882,5697,14922,8579
436.21290480462517,32.083709612368196,4.0,1740.8225133385006,12ca5,0.027647426437535767,0.6463214954677908,33716618.14258482,15.196899330949659,1807,775,1002,2809,1777,0.3536785045322093,18450327.222866174,-15.196899330949659,5831,2796,7730,13561,10526
605.6233504753138,54.90107566498211,3.0,1813.8482220159415,12ca5,0.0321505495305513,0.6104835004038434,38531345.78444848,24.97219605377498,243,3086,2618,2861,5704,0.38951649959615664,24584767.524034806,0.0,3231,2126,7133,10364,9259
431.2317703416973,28.04703775865104,4.0,1720.8979754867892,12ca5,0.02324588087482956,0.7518158953145606,90455451.72474802,25.49120007594165,2788,2464,77,2865,2541,0.24818410468543947,29860508.98914639,0.0,8939,8011,8719,17658,16730
546.9703754003999,41.552726452635525,3.0,1637.8892967911997,12ca5,0.007458288708255484,0.8279567424189043,80468032.87304665,26.114566501126884,1229,7750,1804,3033,9554,0.17204325758109565,16720659.181029148,0.0,5579,10166,4872,10451,15038
405.2320021282193,30.414564558790143,4.0,1616.898902632877,12ca5,0.02603640726724535,0.7450289171910807,140437465.1551756,17.12843610295643,2471,4286,626,3097,4912,0.2549710828089194,48061882.87638144,-17.12843610295643,6983,9393,470,7453,9863
504.6080970789528,41.435329021393805,3.0,1510.8024618268585,12ca5,0.003415798906033044,0.7873182658050043,86536677.58342004,26.306888849910084,2152,4501,964,3116,5465,0.21268173419499567,23376532.031930916,0.0,10184,2268,4239,14423,6507
438.71747241864284,35.4722820671656,2.0,875.4203918972856,12ca5,0.0156716142753328,0.6470045872731732,84533225.07495356,14.928045546600162,758,5811,2391,3149,8202,0.3529954127268267,46119983.16769928,-14.928045546600162,4861,7163,2920,7781,10083
391.9781039342785,27.948818276779242,2.0,781.941654928557,12ca5,0.01940703898175182,0.7798900864514259,62463557.37883587,15.385212456740991,112,1301,3110,3222,4411,0.22010991354857415,17629212.697330892,-15.385212456740991,4750,2212,8031,12781,10243
402.4807493418566,35.2899397791928,2.0,802.9469457437132,12ca5,0.046989198115722296,0.6630017007142541,107793291.73182787,17.292357233721813,543,10460,2764,3307,13224,0.3369982992857459,54790441.636731766,-17.292357233721813,2319,3080,1560,3879,4640
