Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Sel Score: 0.95 p value: 1.664e-05 RTime: 15.978,,(no adduct),421.4673,2,5,25
Sel Score: 0.95 p value: 5.235e-06 RTime: 15.774,,(no adduct),421.4673,2,5,25
Sel Score: 0.95 p value: 1.542e-03 RTime: 15.567,,(no adduct),398.7257,2,5,25
Sel Score: 0.95 p value: 2.842e-03 RTime: 15.594,,(no adduct),398.7222,4,5,25
Sel Score: 0.93 p value: 3.644e-05 RTime: 15.735,,(no adduct),421.4672,4,5,25
Sel Score: 0.93 p value: 4.859e-05 RTime: 15.703,,(no adduct),421.7179,2,5,25
Sel Score: 0.88 p value: 1.807e-02 RTime: 15.796,,(no adduct),407.9619,4,5,25
Sel Score: 0.86 p value: 1.366e-04 RTime: 15.988,,(no adduct),422.2227,4,5,25
Sel Score: 0.84 p value: 1.974e-02 RTime: 15.045,,(no adduct),398.471,2,5,25
Sel Score: 0.81 p value: 6.817e-03 RTime: 15.743,,(no adduct),413.2166,4,5,25
Sel Score: 0.95 p value: 2.613e-03 RTime: 16.71,,(no adduct),398.7234,4,6,26
Sel Score: 0.94 p value: 5.233e-05 RTime: 16.118,,(no adduct),421.4674,2,6,26
Sel Score: 0.92 p value: 8.889e-03 RTime: 16.476,,(no adduct),370.7089,4,6,26
Sel Score: 0.88 p value: 1.421e-02 RTime: 16.462,,(no adduct),433.9722,4,6,26
Sel Score: 0.88 p value: 3.730e-03 RTime: 16.279,,(no adduct),401.7181,2,6,26
Sel Score: 0.76 p value: 1.935e-02 RTime: 16.067,,(no adduct),443.7416,2,6,26
Sel Score: 0.74 p value: 2.723e-03 RTime: 16.287,,(no adduct),430.7307,2,6,26
Sel Score: 0.69 p value: 6.867e-02 RTime: 16.457,,(no adduct),422.9945,2,6,26
Sel Score: 0.68 p value: 1.116e-01 RTime: 16.594,,(no adduct),423.4793,2,6,26
Sel Score: 0.65 p value: 1.049e-01 RTime: 16.475,,(no adduct),423.7372,4,6,26
Sel Score: 0.98 p value: 1.517e-02 RTime: 17.934,,(no adduct),395.1784,4,7,27
