Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Sel Score: 0.92 p value: 9.193e-02 RTime: 15.929,,(no adduct),408.7162,2,5,25
Sel Score: 0.86 p value: 9.581e-03 RTime: 15.344,,(no adduct),415.2176,4,5,25
Sel Score: 0.83 p value: 3.342e-02 RTime: 15.352,,(no adduct),381.7252,4,5,25
Sel Score: 0.83 p value: 4.883e-03 RTime: 15.224,,(no adduct),338.1814,5,5,25
Sel Score: 0.82 p value: 9.292e-03 RTime: 15.477,,(no adduct),409.465,2,5,25
Sel Score: 0.76 p value: 1.176e-01 RTime: 15.757,,(no adduct),425.7355,4,5,25
Sel Score: 0.69 p value: 1.172e-01 RTime: 15.775,,(no adduct),414.7175,4,5,25
Sel Score: 0.66 p value: 7.252e-02 RTime: 15.327,,(no adduct),412.4768,4,5,25
Sel Score: 0.64 p value: 1.333e-01 RTime: 15.804,,(no adduct),400.9734,2,5,25
Sel Score: 0.94 p value: 3.253e-02 RTime: 16.373,,(no adduct),415.2105,2,6,26
Sel Score: 0.78 p value: 7.483e-03 RTime: 16.692,,(no adduct),367.2056,5,6,26
Sel Score: 0.77 p value: 5.326e-02 RTime: 16.535,,(no adduct),415.2188,4,6,26
Sel Score: 0.89 p value: 1.329e-02 RTime: 17.444,,(no adduct),381.7225,2,7,27
Sel Score: 0.87 p value: 1.802e-02 RTime: 17.611,,(no adduct),385.2358,3,7,27
Sel Score: 0.86 p value: 3.932e-03 RTime: 17.892,,(no adduct),422.4651,2,7,27
Sel Score: 0.84 p value: 2.404e-02 RTime: 17.863,,(no adduct),415.2126,2,7,27
Sel Score: 0.79 p value: 7.778e-02 RTime: 17.485,,(no adduct),435.4929,2,7,27
Sel Score: 0.77 p value: 8.497e-02 RTime: 17.134,,(no adduct),409.4883,4,7,27
Sel Score: 0.77 p value: 8.537e-02 RTime: 17.32,,(no adduct),409.4883,4,7,27
Sel Score: 0.74 p value: 1.047e-01 RTime: 17.583,,(no adduct),415.4697,2,7,27
Sel Score: 0.72 p value: 1.173e-02 RTime: 17.782,,(no adduct),412.7292,4,7,27
Sel Score: 0.72 p value: 9.779e-02 RTime: 17.28,,(no adduct),409.4883,4,7,27
Sel Score: 0.96 p value: 2.238e-02 RTime: 18.823,,(no adduct),338.4299,4,8,28
Sel Score: 0.95 p value: 1.283e-02 RTime: 18.377,,(no adduct),422.4621,4,8,28
Sel Score: 0.94 p value: 1.326e-02 RTime: 18.115,,(no adduct),422.4615,4,8,28
Sel Score: 0.94 p value: 1.166e-02 RTime: 18.15,,(no adduct),366.9507,4,8,28
Sel Score: 0.93 p value: 1.302e-02 RTime: 18.97,,(no adduct),366.9507,4,8,28
Sel Score: 0.92 p value: 1.468e-02 RTime: 18.556,,(no adduct),380.7085,2,8,28
Sel Score: 0.92 p value: 2.190e-03 RTime: 18.908,,(no adduct),380.4621,4,8,28
Sel Score: 0.92 p value: 1.383e-02 RTime: 18.04,,(no adduct),422.4654,4,8,28
Sel Score: 0.89 p value: 2.698e-02 RTime: 18.281,,(no adduct),334.7775,5,8,28
Sel Score: 0.89 p value: 1.514e-02 RTime: 18.789,,(no adduct),381.7205,4,8,28
Sel Score: 0.95 p value: 9.481e-02 RTime: 19.618,,(no adduct),380.4614,4,9,29
