Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"Sel Score: 1.0 RTime: 42.293 Area: 10867482.108008929 All areas: [10575553.656851912, 11035204.547843521, 10991688.11933135, 9716, 3875.6533949059303, 6178.482053852917] p-value: 0.00018157403843132802 original RTs: [2585.846283778977, 2548.7201245415463, 2550.7157010772917, 0, 0, 0]",,(no adduct),773.837,2.0,32,52
"Sel Score: 1.0 RTime: 42.464 Area: 10867481.982688991 All areas: [10575550.88356148, 11035204.901613303, 10991690.162892187, 9963, 3873.811830872788, 6178.2135637348765] p-value: 0.00018154932995732465 original RTs: [2557.6910547716266, 2578.4099442613206, 2580.126222371982, 0, 0, 0]",,(no adduct),773.8364,2.0,32,52
"Sel Score: 1.0 RTime: 40.818 Area: 9571212.10523191 All areas: [6686742.962892905, 11035205.131595096, 10991688.221207723, 9703, 3874.4695559214074, 9909] p-value: 0.021996907370287783 original RTs: [2552.857087917818, 0, 0, 0, 0, 0]",,(no adduct),773.8377,2.0,30,50
"Sel Score: 1.0 RTime: 40.949 Area: 9600771.17388621 All areas: [8944427.940780545, 9755493.354978818, 10102392.225899266, 9931, 3226.9001667490647, 15979.246628318308] p-value: 0.0012758981908066144 original RTs: [2484.1037026731983, 2478.1940023093143, 2483.5337558443307, 0, 0, 0]",,(no adduct),750.3348,2.0,30,50
"Sel Score: 1.0 RTime: 36.401 Area: 7791971.036593487 All areas: [8544823.094506282, 7948530.661638292, 6882559.353635889, 8676.676664851291, 6507.2524052424305, 10811.663788960503] p-value: 0.0038792039472551423 original RTs: [0, 2168.675152540362, 0, 0, 0, 0]",,(no adduct),531.907,3.0,26,46
"Sel Score: 1.0 RTime: 47.088 Area: 8732837.22985434 All areas: [11449527.899148636, 9807972.706480945, 4941011.083933439, 9361.557431629126, 9967, 10242] p-value: 0.04670283466969497 original RTs: [2877.6316809973164, 0, 2855.6266233587157, 0, 0, 0]",,(no adduct),1038.2324,2.0,37,57
"Sel Score: 1.0 RTime: 35.613 Area: 7791969.602261152 All areas: [8544820.380108647, 7948530.184906745, 6882558.241768064, 8676.5024699037, 8931.506217946164, 10811.072298166911] p-value: 0.0038801345247517238 original RTs: [2169.4216130936156, 2158.0370143909245, 2166.681275496345, 0, 0, 0]",,(no adduct),531.9065,3.0,25,45
"Sel Score: 1.0 RTime: 35.194 Area: 6554673.254020295 All areas: [6374918.074112621, 7635741.020702164, 5653360.667246099, 6045.419075351641, 8920.573724072772, 11025.871255934699] p-value: 0.007739987756386722 original RTs: [2144.672170492955, 2133.4527312399055, 2141.2233147839256, 0, 0, 0]",,(no adduct),477.5619,3.0,25,45
"Sel Score: 1.0 RTime: 38.17 Area: 6956744.114765749 All areas: [7058780.163521407, 7350029.226194141, 6461422.954581699, 5978.491620918664, 11962.494794662227, 9944] p-value: 0.001413597840938999 original RTs: [2318.620843996711, 2312.3123281066933, 2319.261823806809, 0, 0, 0]",,(no adduct),693.319,2.0,28,48
"Sel Score: 1.0 RTime: 38.207 Area: 15098517.747719722 All areas: [16396981.244404666, 15342728.964804329, 13555843.03395017, 19894.541115651467, 29187.632824525615, 12098.643545748113] p-value: 0.003009827739511135 original RTs: [0, 0, 2279.8422278342696, 0, 0, 0]",,(no adduct),399.1824,2.0,28,48
