Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Sel Score: 1.0 p value: 1.816e-04 RTime: 42.293,,(no adduct),773.837,2,32,52
Sel Score: 1.0 p value: 1.815e-04 RTime: 42.464,,(no adduct),773.8364,2,32,52
Sel Score: 1.0 p value: 2.200e-02 RTime: 40.818,,(no adduct),773.8377,2,30,50
Sel Score: 1.0 p value: 1.276e-03 RTime: 40.949,,(no adduct),750.3348,2,30,50
Sel Score: 1.0 p value: 3.879e-03 RTime: 36.401,,(no adduct),531.907,3,26,46
Sel Score: 1.0 p value: 4.670e-02 RTime: 47.088,,(no adduct),1038.2324,2,37,57
Sel Score: 1.0 p value: 3.880e-03 RTime: 35.613,,(no adduct),531.9065,3,25,45
Sel Score: 1.0 p value: 7.740e-03 RTime: 35.194,,(no adduct),477.5619,3,25,45
Sel Score: 1.0 p value: 1.414e-03 RTime: 38.17,,(no adduct),693.319,2,28,48
Sel Score: 1.0 p value: 3.010e-03 RTime: 38.207,,(no adduct),399.1824,2,28,48
Sel Score: 1.0 p value: 3.013e-03 RTime: 35.615,,(no adduct),399.1817,4,25,45
Sel Score: 1.0 p value: 2.395e-02 RTime: 57.925,,(no adduct),779.3476,2,47,67
Sel Score: 1.0 p value: 6.194e-04 RTime: 38.591,,(no adduct),704.322,2,28,48
Sel Score: 1.0 p value: 6.194e-04 RTime: 39.322,,(no adduct),704.3223,2,29,49
Sel Score: 1.0 p value: 1.527e-03 RTime: 38.747,,(no adduct),749.3377,2,28,48
Sel Score: 1.0 p value: 3.725e-03 RTime: 46.145,,(no adduct),763.8598,2,36,56
Sel Score: 1.0 p value: 1.400e-02 RTime: 60.797,,(no adduct),782.8854,2,50,70
Sel Score: 1.0 p value: 1.399e-02 RTime: 61.546,,(no adduct),782.8859,2,51,71
Sel Score: 1.0 p value: 5.921e-03 RTime: 45.636,,(no adduct),763.8589,2,35,55
Sel Score: 1.0 p value: 1.935e-02 RTime: 61.12,,(no adduct),782.8855,2,51,71
Sel Score: 1.0 p value: 3.185e-02 RTime: 51.163,,(no adduct),743.8565,2,41,61
Sel Score: 1.0 p value: 3.446e-03 RTime: 47.997,,(no adduct),732.841,2,37,57
Sel Score: 1.0 p value: 1.361e-04 RTime: 44.668,,(no adduct),761.8614,2,34,54
Sel Score: 1.0 p value: 4.925e-03 RTime: 47.872,,(no adduct),1038.0654,2,37,57
Sel Score: 1.0 p value: 1.127e-01 RTime: 48.236,,(no adduct),749.8654,2,38,58
Sel Score: 1.0 p value: 3.590e-02 RTime: 50.209,,(no adduct),743.8563,2,40,60
