Compound,m/z,z,p value,specificity
"Sel Score: 1.0 RTime: 2537.604 Areas: [832442.5669764224, 408123.63992660167, 1194306.227817639, 1138260.5715566194, 180216.67973340163, 160936.62296102935]",773.837,2.0,0.00018157403843132802,12ca5
"Sel Score: 1.0 RTime: 2547.818 Areas: [808991.4922221045, 955086.3864837185, 947124.3940884544, 662035.2510782017, 703636.0660211099, 618527.5165092718]",773.8364,2.0,0.00018154932995732465,12ca5
"Sel Score: 1.0 RTime: 2449.089 Areas: [1424283.2005300992, 214394.2989608845, 483383.2115154924, 582543.1258009297, 300074.7727578436, 263116.83323085785]",773.8377,2.0,0.021996907370287783,12ca5
"Sel Score: 1.0 RTime: 2456.94 Areas: [169850.46592535079, 2468096.312932989, 1971403.5304097014, 175112.22180510656, 403700.46489266824, 193232.6368520914]",750.3348,2.0,0.0012758981908066144,12ca5
"Sel Score: 1.0 RTime: 2184.05 Areas: [1152054.2940288347, 637379.6413414981, 372169.43947668036, 1892624.3604113671, 528801.4041950793, 176849.68933158563]",531.907,3.0,0.0038792039472551423,12ca5
"Sel Score: 1.0 RTime: 2825.303 Areas: [369605.78657045396, 168567.567940205, 265755.13843839336, 203641.98063615622, 855698.9506372057, 429846.6382134662]",1038.2324,2.0,0.04670283466969497,12ca5
"Sel Score: 1.0 RTime: 2136.802 Areas: [692302.6085664555, 134238.7053353803, 500657.72516215616, 370188.0125893624, 247505.11683820465, 232423.5113235878]",531.9065,3.0,0.0038801345247517238,12ca5
"Sel Score: 1.0 RTime: 2111.643 Areas: [1514749.4317521814, 1398704.6854143518, 649987.4634648815, 1165479.3104214312, 466984.6905917407, 276932.0212406741]",477.5619,3.0,0.007739987756386722,12ca5
"Sel Score: 1.0 RTime: 2290.206 Areas: [203185.53363248642, 89923.29976474796, 54020.732130242606, 347902.4958359581, 254678.28194865852, 345700.16177618003]",693.319,2.0,0.001413597840938999,12ca5
"Sel Score: 1.0 RTime: 2292.419 Areas: [618917.3372728449, 1206849.0683988838, 544343.4421281652, 382616.1991273983, 221718.38157933264, 142283.48260394484]",399.1824,2.0,0.003009827739511135,12ca5
"Sel Score: 1.0 RTime: 2136.913 Areas: [991542.9210002277, 732251.5210577046, 394010.6294085252, 271040.0954468405, 1356893.0799967814, 504192.5376236975]",399.1817,4.0,0.003012693449699965,12ca5
"Sel Score: 1.0 RTime: 3475.507 Areas: [4678085.909425889, 488106.2337764208, 751572.8958409737, 854984.5678042985, 1463465.79030017, 238882.11062138923]",779.3476,2.0,0.023952208083344587,12ca5
"Sel Score: 1.0 RTime: 2315.444 Areas: [795532.5089226544, 118183.99511565841, 471390.3319832782, 268041.6389567024, 120622.17357819306, 408800.46977180935]",704.322,2.0,0.0006193801615451413,12ca5
"Sel Score: 1.0 RTime: 2359.303 Areas: [302234.4505531182, 472816.26316242845, 1148260.4728968334, 259228.08417296608, 134876.4737173746, 173992.68532323276]",704.3223,2.0,0.0006193701097357117,12ca5
"Sel Score: 1.0 RTime: 2324.833 Areas: [354604.90597217926, 1087995.8684680164, 433249.6272476483, 223897.95943482636, 366059.3524916474, 77497.96242713324]",749.3377,2.0,0.0015272719063567203,12ca5
"Sel Score: 1.0 RTime: 2768.713 Areas: [1024486.306733764, 695985.7768757065, 324026.4753802509, 231756.0102131668, 299265.8875679466, 292648.26308928913]",763.8598,2.0,0.00372486749722934,12ca5
"Sel Score: 1.0 RTime: 3647.802 Areas: [566771.3394133303, 936904.5536649183, 940197.5046396236, 229568.16800283262, 188204.54259884174, 406479.09061636677]",782.8854,2.0,0.01399728433197027,12ca5
"Sel Score: 1.0 RTime: 3692.733 Areas: [254324.73161863416, 295046.6284633806, 125815.88802381765, 67916.92029994023, 212098.03740603733, 62055.836264644764]",782.8859,2.0,0.01399398690999719,12ca5
"Sel Score: 1.0 RTime: 2738.137 Areas: [984977.4004907205, 877901.9342315362, 569603.99032692, 742525.3644958073, 690422.6782065673, 304338.3747873977]",763.8589,2.0,0.0059211582986871914,12ca5
"Sel Score: 1.0 RTime: 3667.192 Areas: [779847.8265788712, 573925.3915497907, 918838.1928767838, 173116.1016614047, 1181239.7030637895, 960185.1235605081]",782.8855,2.0,0.019350582643292192,12ca5
"Sel Score: 1.0 RTime: 3069.752 Areas: [945197.3064742587, 406283.84009383165, 185546.3579439976, 551192.6233955898, 803961.334879884, 527361.8928765146]",743.8565,2.0,0.03184861560025222,12ca5
"Sel Score: 1.0 RTime: 2879.81 Areas: [948583.8159261196, 431418.62042371597, 154944.67829663464, 677345.9343594983, 380078.22669297265, 247304.84261718448]",732.841,2.0,0.0034458164216932237,12ca5
"Sel Score: 1.0 RTime: 2680.074 Areas: [848894.7372713623, 130427.79684851928, 156127.71064428124, 863803.8774694288, 201066.1602028688, 513158.5443304628]",761.8614,2.0,0.00013605817669934381,12ca5
