Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"Sel Score: 0.99 RTime: 25.236 Area: 1936504.8787570763 All areas: [15006.340142782983, 18441.059580092515, 7210.823907411222, 1727755.4067319115, 2786914.674689113, 1294844.5548502035] p-value: 0.04922128170760069 original RTs: [0, 0, 0, 1528.655588518308, 0, 1505.1928492114534]",,(no adduct),504.6187,3.0,15,35
"Sel Score: 0.99 RTime: 46.552 Area: 910375.0580903193 All areas: [8884.35567987049, 4365.48704078599, 7468.373200759038, 1263458.1581395948, 833505.3859507507, 634161.6301806124] p-value: 0.0397326469293182 original RTs: [0, 0, 0, 2796.6472791778133, 2791.407961992872, 2789.682988198897]",,(no adduct),797.8992,2.0,36,56
"Sel Score: 0.99 RTime: 25.113 Area: 1936505.4355461274 All areas: [15007.059603549267, 22724.766334433007, 7210.746881414682, 1727755.9018264294, 2786914.16920129, 1294846.2356106625] p-value: 0.04928301119695354 original RTs: [0, 0, 0, 1521.362297134392, 1501.2603355990877, 1502.4094416412365]",,(no adduct),504.6186,3.0,15,35
"Sel Score: 0.99 RTime: 25.069 Area: 1558770.6727843543 All areas: [5973.580229209712, 12100.226033108456, 21632.179372693405, 1460286.5837412088, 2205918.3564887927, 1010107.0781230606] p-value: 0.04729629405664446 original RTs: [0, 0, 0, 0, 1503.353637163341, 0]",,(no adduct),504.9529,3.0,15,35
"Sel Score: 0.99 RTime: 59.477 Area: 873529.5493819403 All areas: [6450.708597784561, 9608.03618566041, 6737.9658647783845, 1049210.517619262, 912259.4345681481, 659118.6959584111] p-value: 0.016963718340181 original RTs: [0, 0, 0, 3569.1869750200103, 0, 3568.753561529981]",,(no adduct),834.8994,2.0,49,69
"Sel Score: 0.99 RTime: 59.578 Area: 801824.0764111001 All areas: [6450.401382394984, 9608.439500192346, 6739.578642213058, 834090.1991928489, 912262.7937487798, 659119.2362916714] p-value: 0.008752480012495654 original RTs: [0, 0, 0, 3572.6718795138972, 3572.517420993387, 3573.2901401454537]",,(no adduct),834.8994,2.0,49,69
"Sel Score: 0.99 RTime: 52.606 Area: 1181789.4596234276 All areas: [33242.96768898816, 4581.587730109038, 8583.083392786306, 1389103.0731383688, 1352862.6053190434, 803402.7004128709] p-value: 0.02517503211465638 original RTs: [0, 0, 0, 0, 0, 3156.3473151078288]",,(no adduct),781.881,2.0,42,62
"Sel Score: 0.99 RTime: 49.667 Area: 1750512.477960066 All areas: [11679.790709772537, 17003.798779486093, 45245.2953438057, 1999646.283466937, 2077264.3677161415, 1174626.782697119] p-value: 0.026749229279388914 original RTs: [0, 0, 0, 0, 0, 2980.035165668326]",,(no adduct),449.5798,3.0,39,59
"Sel Score: 0.99 RTime: 77.45 Area: 1182796.1810275994 All areas: [17452.12512541102, 7349.220482974597, 25406.689792863577, 1596228.3944496193, 1155829.9359651613, 796330.2126680173] p-value: 0.037108504813322646 original RTs: [0, 0, 0, 0, 4638.0758832854135, 0]",,(no adduct),820.4246,2.0,67,87
"Sel Score: 0.98 RTime: 22.839 Area: 3567716.381387511 All areas: [66177.61359601546, 46981.99671404559, 52119.809752340734, 1687610.2435334797, 5943192.998924524, 3072345.901704528] p-value: 0.10720053388000447 original RTs: [0, 0, 0, 0, 1369.9008692698055, 0]",,(no adduct),378.9711,4.0,12,32
"Sel Score: 0.98 RTime: 42.955 Area: 796648.5103398208 All areas: [10067, 4361.842346444987, 22921.522978646157, 1212243.2470307518, 615871.8880088617, 561830.3959798488] p-value: 0.06381793340188559 original RTs: [0, 0, 0, 2581.810240633665, 2575.8020223267085, 2573.674282636593]",,(no adduct),519.6516,3.0,32,52
"Sel Score: 0.98 RTime: 77.319 Area: 1182796.5525022221 All areas: [17451.993954217927, 14792.080583483403, 25407.943295658104, 1596228.5993049776, 1155832.9000395604, 796328.158162128] p-value: 0.03729601124386584 original RTs: [0, 0, 0, 4632.214716128451, 4635.367988163775, 0]",,(no adduct),820.4243,2.0,67,87
"Sel Score: 0.98 RTime: 21.005 Area: 449348.7252893806 All areas: [10752.852871554676, 5217.335474020188, 6842.547130576985, 585586.2099621199, 437812.423154124, 324647.5427518979] p-value: 0.02797549033827399 original RTs: [0, 0, 0, 1270.5251723283225, 0, 1256.1817642001201]",,(no adduct),470.9398,3.0,11,31
"Sel Score: 0.98 RTime: 51.376 Area: 1027530.6217581816 All areas: [26161.9586514353, 18519.577128965386, 7567.681002856604, 1345805.3416630623, 969536.4055601824, 767250.1180513] p-value: 0.026923497249520242 original RTs: [0, 0, 0, 0, 0, 3082.540417878518]",,(no adduct),602.6634,3.0,41,61
"Sel Score: 0.98 RTime: 53.814 Area: 1462431.1485032828 All areas: [30753.58037280506, 35157.03878141584, 10161.482684264356, 1699323.1347609144, 1641163.669291237, 1046806.6414576968] p-value: 0.020287388485510347 original RTs: [0, 0, 0, 0, 0, 3228.8149729638535]",,(no adduct),604.6018,3.0,43,63
"Sel Score: 0.98 RTime: 49.921 Area: 1211083.2705498321 All areas: [24647.05255375578, 23755.968678681744, 14914.203170217392, 1533443.1206934117, 1787088.5910943942, 312718.09986169066] p-value: 0.12040845617552007 original RTs: [0, 0, 0, 2997.062341301569, 0, 2995.4158307388207]",,(no adduct),576.2545,3.0,39,59
"Sel Score: 0.98 RTime: 49.861 Area: 1211081.745702064 All areas: [24646.08283484902, 23761.239475263075, 14912.819708006575, 1533441.3738903245, 1787085.7633541764, 312718.09986169066] p-value: 0.12040851838437705 original RTs: [0, 0, 0, 0, 0, 2991.681451708714]",,(no adduct),576.2546,3.0,39,59
"Sel Score: 0.98 RTime: 24.481 Area: 621693.9938055865 All areas: [6438.182273954964, 18153.720549550595, 8571.52428974729, 377570.0869466756, 752561.9340950266, 734949.9603750573] p-value: 0.037670408999413 original RTs: [0, 0, 0, 1470.5919072681895, 1471.104446653138, 1469.8680243173642]",,(no adduct),516.9514,3.0,14,34
"Sel Score: 0.98 RTime: 24.723 Area: 621694.0665244841 All areas: [6438.872606490904, 18154.218518161364, 8571.189068008227, 377570.0869466756, 752561.9340950266, 734950.1785317499] p-value: 0.03767045030187079 original RTs: [0, 0, 0, 0, 0, 1483.3796647432068]",,(no adduct),516.9518,3.0,14,34
"Sel Score: 0.98 RTime: 24.367 Area: 621693.9845680888 All areas: [6437.824714246631, 18155.516571324766, 8571.489998899902, 377570.0869466756, 752561.9340950266, 734949.9326625641] p-value: 0.03767042415768751 original RTs: [0, 0, 0, 0, 1457.9520899515514, 1465.4640279047853]",,(no adduct),516.9519,3.0,14,34
"Sel Score: 0.98 RTime: 24.47 Area: 621693.9866040054 All areas: [6439.033459048343, 18154.803082035043, 8571.10244393994, 377570.0869466756, 752561.9340950266, 734949.9387703142] p-value: 0.03767045407289564 original RTs: [0, 0, 0, 0, 1455.066490193714, 1480.6467647924076]",,(no adduct),516.9517,3.0,14,34
"Sel Score: 0.98 RTime: 52.948 Area: 996845.883752618 All areas: [21563.517634478965, 23975.08942996264, 9121.632166746622, 1273735.1007195036, 1005367.2678282653, 711435.282710085] p-value: 0.02636357512060762 original RTs: [0, 0, 0, 3178.475890624907, 0, 0]",,(no adduct),581.5944,3.0,42,62
"Sel Score: 0.98 RTime: 50.828 Area: 1325959.893018091 All areas: [9581.306334035566, 38487.27431235435, 25156.0362597841, 1354487.2222899597, 1419727.5402872378, 1203664.916477076] p-value: 0.002087162631008358 original RTs: [0, 0, 0, 3050.616056894347, 3048.7057048544157, 3046.9027373268955]",,(no adduct),782.8961,2.0,40,60
"Sel Score: 0.98 RTime: 50.322 Area: 343768.79330810724 All areas: [9739, 3947.549563785867, 5305.630950403884, 485071.2162976744, 185671.45052330923, 360563.7131033382] p-value: 0.06024011412382091 original RTs: [0, 0, 0, 3021.2518939287556, 0, 0]",,(no adduct),423.5244,4.0,40,60
"Sel Score: 0.98 RTime: 26.128 Area: 1002418.2635319134 All areas: [38028.152815693094, 11635.626036228583, 7695.981151001499, 970805.6372194898, 1293877.7786398353, 742571.374736415] p-value: 0.025104625552572358 original RTs: [0, 0, 0, 1577.1563456081626, 1567.2157890412157, 1563.068659246085]",,(no adduct),507.9505,3.0,16,36
"Sel Score: 0.98 RTime: 26.073 Area: 1002412.3412994385 All areas: [38028.99161868594, 11634.6979067872, 7696.239370962072, 970804.9408432094, 1293878.1391148854, 742553.9439402206] p-value: 0.025106392559587132 original RTs: [0, 0, 0, 1579.138643158929, 1559.7123396480965, 1558.7568273500278]",,(no adduct),507.9505,3.0,16,36
"Sel Score: 0.98 RTime: 38.03 Area: 526509.5170157198 All areas: [10131, 8461.462733010887, 12082.664382171719, 681619.3655999826, 520284.757683503, 377624.427763674] p-value: 0.027715874184747597 original RTs: [0, 0, 0, 0, 2279.0178325939637, 0]",,(no adduct),521.6514,3.0,28,48
"Sel Score: 0.98 RTime: 52.742 Area: 1289288.5124641422 All areas: [62410.38127851037, 5769.39332599099, 8136.2878332604005, 1512913.0312099867, 1519783.656891432, 835168.8492910081] p-value: 0.03009370852662927 original RTs: [0, 0, 0, 3165.0451485552667, 3160.5940810247635, 0]",,(no adduct),781.3794,2.0,42,62
"Sel Score: 0.98 RTime: 21.623 Area: 1160066.380696742 All areas: [15331.40891649193, 37401.12837506596, 17093.57522823122, 1361599.3356103715, 1210664.6379752597, 907935.168504595] p-value: 0.013298260021860412 original RTs: [0, 0, 0, 1307.2622441193078, 1293.2101968425698, 0]",,(no adduct),488.2435,3.0,11,31
"Sel Score: 0.98 RTime: 36.033 Area: 1861994.8341865188 All areas: [64365.24963639667, 39127.120584055134, 10919.90191000272, 2165966.5282038287, 1881551.6655249593, 1538466.3088307686] p-value: 0.009356641991813316 original RTs: [0, 0, 0, 0, 0, 2161.981960006848]",,(no adduct),489.5741,3.0,26,46
"Sel Score: 0.98 RTime: 25.922 Area: 5117841.067187667 All areas: [101066.30767241099, 130859.3407364317, 85584.84291657909, 5562899.717233413, 6493571.580697211, 3297051.903632377] p-value: 0.034024211481354566 original RTs: [1629.2503597942318, 1500.797572366555, 1597.9071679287574, 0, 1580.9289067410452, 1566.105062178309]",,(no adduct),378.9657,4.0,15,35
"Sel Score: 0.98 RTime: 25.686 Area: 3540995.983405289 All areas: [72689.44068677428, 80785.79310943077, 66569.67893001299, 3003271.7783542993, 6133928.575303876, 1485787.5965576915] p-value: 0.12678850596909183 original RTs: [0, 0, 1520.8102767523496, 0, 0, 1551.9430747339086]",,(no adduct),387.9693,2.0,15,35
"Sel Score: 0.98 RTime: 21.645 Area: 1160066.029096869 All areas: [19866.684082860338, 37400.8221153112, 17093.43899441767, 1361599.1751781914, 1210664.2618592016, 907934.6502532145] p-value: 0.0133699834048038 original RTs: [0, 0, 0, 1303.8799663790046, 1299.8833426199794, 1298.1707259460798]",,(no adduct),488.2435,3.0,11,31
"Sel Score: 0.98 RTime: 24.724 Area: 6211868.418216321 All areas: [300295.91264338285, 51717.68861587697, 70620.22755647125, 6638347.110645674, 8005891.301047876, 3991366.8429554086] p-value: 0.03514635955124893 original RTs: [0, 1411.789389665897, 1473.738345691744, 1520.1075748973265, 1501.8349522038895, 1492.9177379042524]",,(no adduct),378.717,4.0,14,34
"Sel Score: 0.98 RTime: 43.106 Area: 2661109.963028639 All areas: [89133.89081356316, 65951.4405793995, 30956.345222264557, 3345648.9595095078, 2691739.934620758, 1945940.994955651] p-value: 0.02319529007464702 original RTs: [0, 0, 0, 2589.5892659855913, 2584.232096033054, 2584.7280861893328]",,(no adduct),483.596,3.0,33,53
"Sel Score: 0.98 RTime: 39.284 Area: 3294532.0089226677 All areas: [32041.25187790135, 132137.1518992708, 68176.55769637514, 4141882.5752518764, 3300661.221379365, 2441052.230136761] p-value: 0.022186628615644837 original RTs: [0, 0, 0, 2361.713785296396, 2354.959624883196, 2354.8868936618874]",,(no adduct),476.9168,3.0,29,49
"Sel Score: 0.98 RTime: 35.838 Area: 1149790.7280576716 All areas: [11059.002199322662, 52614.24025675768, 18392.053648819416, 1386166.795248734, 1069169.8345957175, 994035.5543285633] p-value: 0.01060078523990599 original RTs: [0, 0, 0, 0, 0, 2150.3022561863454]",,(no adduct),583.3046,3.0,25,45
"Sel Score: 0.98 RTime: 23.523 Area: 386298.0072159634 All areas: [10204.985824226716, 11079.789378256957, 6683.163171187288, 301526.9707079642, 574778.9526649939, 282588.09827493195] p-value: 0.05733572880179613 original RTs: [0, 0, 0, 0, 1410.8647409648133, 0]",,(no adduct),572.9501,3.0,13,33
"Sel Score: 0.98 RTime: 38.738 Area: 322975.427142812 All areas: [9898, 9828, 3869.6922255293907, 422730.6535739301, 280827.4576593878, 265368.1701951181] p-value: 0.024185084058608843 original RTs: [0, 0, 0, 2327.8967563835813, 0, 0]",,(no adduct),764.4003,2.0,28,48
"Sel Score: 0.98 RTime: 50.251 Area: 557722.9034920506 All areas: [18056.23996505639, 14342.256913125431, 8373.44639845959, 638606.9337780636, 652584.5903451904, 381977.1863528977] p-value: 0.025052782313454224 original RTs: [0, 0, 0, 3017.0352982129534, 0, 0]",,(no adduct),476.5644,3.0,40,60
"Sel Score: 0.98 RTime: 24.03 Area: 3540995.983405289 All areas: [85231.05690051707, 74429.15742593592, 101244.15111030947, 3003271.7783542993, 6133928.575303876, 1485787.5965576915] p-value: 0.12760341298382885 original RTs: [0, 0, 0, 0, 0, 1441.77481293116]",,(no adduct),387.9669,2.0,14,34
"Sel Score: 0.98 RTime: 49.192 Area: 1182840.8465241191 All areas: [52082.99287143493, 23378.14708332788, 12781.911957321272, 1440000.0020600772, 1315585.0722244016, 792937.465287878] p-value: 0.02793052622877047 original RTs: [0, 0, 0, 2954.0328211155547, 2950.675698353551, 2947.438166618689]",,(no adduct),799.888,2.0,39,59
