Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Sel Score: 0.99 p value: 4.922e-02 RTime: 25.236,,(no adduct),504.6187,3,15,35
Sel Score: 0.99 p value: 3.973e-02 RTime: 46.552,,(no adduct),797.8992,2,36,56
Sel Score: 0.99 p value: 4.928e-02 RTime: 25.113,,(no adduct),504.6186,3,15,35
Sel Score: 0.99 p value: 4.730e-02 RTime: 25.069,,(no adduct),504.9529,3,15,35
Sel Score: 0.99 p value: 1.696e-02 RTime: 59.477,,(no adduct),834.8994,2,49,69
Sel Score: 0.99 p value: 8.752e-03 RTime: 59.578,,(no adduct),834.8994,2,49,69
Sel Score: 0.99 p value: 2.518e-02 RTime: 52.606,,(no adduct),781.881,2,42,62
Sel Score: 0.99 p value: 2.675e-02 RTime: 49.667,,(no adduct),449.5798,3,39,59
Sel Score: 0.99 p value: 3.711e-02 RTime: 77.45,,(no adduct),820.4246,2,67,87
Sel Score: 0.98 p value: 1.072e-01 RTime: 22.839,,(no adduct),378.9711,4,12,32
Sel Score: 0.98 p value: 6.382e-02 RTime: 42.955,,(no adduct),519.6516,3,32,52
Sel Score: 0.98 p value: 3.730e-02 RTime: 77.319,,(no adduct),820.4243,2,67,87
Sel Score: 0.98 p value: 2.798e-02 RTime: 21.005,,(no adduct),470.9398,3,11,31
Sel Score: 0.98 p value: 2.692e-02 RTime: 51.376,,(no adduct),602.6634,3,41,61
Sel Score: 0.98 p value: 2.029e-02 RTime: 53.814,,(no adduct),604.6018,3,43,63
Sel Score: 0.98 p value: 1.204e-01 RTime: 49.921,,(no adduct),576.2545,3,39,59
Sel Score: 0.98 p value: 1.204e-01 RTime: 49.861,,(no adduct),576.2546,3,39,59
Sel Score: 0.98 p value: 3.767e-02 RTime: 24.481,,(no adduct),516.9514,3,14,34
Sel Score: 0.98 p value: 3.767e-02 RTime: 24.723,,(no adduct),516.9518,3,14,34
Sel Score: 0.98 p value: 3.767e-02 RTime: 24.367,,(no adduct),516.9519,3,14,34
Sel Score: 0.98 p value: 3.767e-02 RTime: 24.47,,(no adduct),516.9517,3,14,34
Sel Score: 0.98 p value: 2.636e-02 RTime: 52.948,,(no adduct),581.5944,3,42,62
Sel Score: 0.98 p value: 2.087e-03 RTime: 50.828,,(no adduct),782.8961,2,40,60
Sel Score: 0.98 p value: 6.024e-02 RTime: 50.322,,(no adduct),423.5244,4,40,60
Sel Score: 0.98 p value: 2.510e-02 RTime: 26.128,,(no adduct),507.9505,3,16,36
Sel Score: 0.98 p value: 2.511e-02 RTime: 26.073,,(no adduct),507.9505,3,16,36
Sel Score: 0.98 p value: 2.772e-02 RTime: 38.03,,(no adduct),521.6514,3,28,48
Sel Score: 0.98 p value: 3.009e-02 RTime: 52.742,,(no adduct),781.3794,2,42,62
Sel Score: 0.98 p value: 1.330e-02 RTime: 21.623,,(no adduct),488.2435,3,11,31
Sel Score: 0.98 p value: 9.357e-03 RTime: 36.033,,(no adduct),489.5741,3,26,46
Sel Score: 0.98 p value: 3.402e-02 RTime: 25.922,,(no adduct),378.9657,4,15,35
Sel Score: 0.98 p value: 1.268e-01 RTime: 25.686,,(no adduct),387.9693,2,15,35
Sel Score: 0.98 p value: 1.337e-02 RTime: 21.645,,(no adduct),488.2435,3,11,31
Sel Score: 0.98 p value: 3.515e-02 RTime: 24.724,,(no adduct),378.717,4,14,34
Sel Score: 0.98 p value: 2.320e-02 RTime: 43.106,,(no adduct),483.596,3,33,53
Sel Score: 0.98 p value: 2.219e-02 RTime: 39.284,,(no adduct),476.9168,3,29,49
Sel Score: 0.98 p value: 1.060e-02 RTime: 35.838,,(no adduct),583.3046,3,25,45
Sel Score: 0.98 p value: 5.734e-02 RTime: 23.523,,(no adduct),572.9501,3,13,33
Sel Score: 0.98 p value: 2.419e-02 RTime: 38.738,,(no adduct),764.4003,2,28,48
Sel Score: 0.98 p value: 2.505e-02 RTime: 50.251,,(no adduct),476.5644,3,40,60
Sel Score: 0.98 p value: 1.276e-01 RTime: 24.03,,(no adduct),387.9669,2,14,34
Sel Score: 0.98 p value: 2.793e-02 RTime: 49.192,,(no adduct),799.888,2,39,59
Sel Score: 0.98 p value: 1.247e-01 RTime: 20.976,,(no adduct),353.4567,4,10,30
Sel Score: 0.98 p value: 1.048e-02 RTime: 49.918,,(no adduct),557.323,3,39,59
Sel Score: 0.97 p value: 3.010e-02 RTime: 51.898,,(no adduct),585.6605,3,41,61
Sel Score: 0.97 p value: 1.792e-02 RTime: 40.497,,(no adduct),396.4928,4,30,50
Sel Score: 0.97 p value: 2.347e-02 RTime: 43.177,,(no adduct),483.5959,3,33,53
Sel Score: 0.97 p value: 9.570e-03 RTime: 56.78,,(no adduct),504.2921,3,46,66
Sel Score: 0.97 p value: 9.569e-03 RTime: 56.903,,(no adduct),504.2922,3,46,66
Sel Score: 0.97 p value: 1.283e-01 RTime: 25.378,,(no adduct),387.9665,2,15,35
Sel Score: 0.97 p value: 4.016e-02 RTime: 51.826,,(no adduct),585.3253,3,41,61
Sel Score: 0.97 p value: 1.877e-07 RTime: 24.547,,(no adduct),467.2109,4,14,34
Sel Score: 0.97 p value: 2.417e-02 RTime: 52.701,,(no adduct),781.8812,2,42,62
Sel Score: 0.97 p value: 5.299e-02 RTime: 23.74,,(no adduct),525.6053,3,13,33
Sel Score: 0.97 p value: 2.809e-02 RTime: 49.039,,(no adduct),563.6632,3,39,59
Sel Score: 0.97 p value: 1.529e-02 RTime: 42.803,,(no adduct),447.2694,3,32,52
Sel Score: 0.97 p value: 1.275e-01 RTime: 50.454,,(no adduct),423.0232,4,40,60
Sel Score: 0.97 p value: 9.064e-03 RTime: 72.173,,(no adduct),845.9218,2,62,82
Sel Score: 0.97 p value: 2.814e-02 RTime: 49.145,,(no adduct),563.6631,3,39,59
Sel Score: 0.97 p value: 3.951e-02 RTime: 71.476,,(no adduct),810.8828,2,61,81
Sel Score: 0.97 p value: 1.502e-02 RTime: 40.291,,(no adduct),527.9875,3,30,50
Sel Score: 0.97 p value: 3.412e-02 RTime: 49.741,,(no adduct),449.9136,3,39,59
Sel Score: 0.97 p value: 9.355e-03 RTime: 72.342,,(no adduct),845.9226,2,62,82
Sel Score: 0.97 p value: 9.674e-03 RTime: 57.005,,(no adduct),504.2922,3,47,67
Sel Score: 0.97 p value: 3.968e-02 RTime: 71.641,,(no adduct),810.8831,2,61,81
Sel Score: 0.97 p value: 4.444e-02 RTime: 49.961,,(no adduct),432.4426,2,39,59
Sel Score: 0.97 p value: 6.514e-02 RTime: 28.893,,(no adduct),419.253,2,18,38
Sel Score: 0.97 p value: 8.055e-02 RTime: 28.153,,(no adduct),381.4644,2,18,38
Sel Score: 0.97 p value: 1.279e-01 RTime: 49.975,,(no adduct),576.2544,3,39,59
Sel Score: 0.97 p value: 2.763e-02 RTime: 53.732,,(no adduct),604.2674,3,43,63
Sel Score: 0.97 p value: 2.763e-02 RTime: 53.923,,(no adduct),604.2675,3,43,63
Sel Score: 0.97 p value: 1.295e-01 RTime: 26.395,,(no adduct),387.9646,2,16,36
Sel Score: 0.97 p value: 2.762e-02 RTime: 55.938,,(no adduct),601.3256,3,45,65
Sel Score: 0.97 p value: 1.279e-01 RTime: 30.997,,(no adduct),371.9493,4,20,40
Sel Score: 0.97 p value: 3.534e-02 RTime: 72.19,,(no adduct),847.427,2,62,82
Sel Score: 0.97 p value: 1.019e-02 RTime: 49.839,,(no adduct),557.3233,3,39,59
Sel Score: 0.96 p value: 2.238e-02 RTime: 18.823,,(no adduct),338.4299,4,8,28
Sel Score: 0.96 p value: 2.711e-02 RTime: 57.151,,(no adduct),594.313,3,47,67
Sel Score: 0.96 p value: 1.322e-01 RTime: 29.242,,(no adduct),419.0025,2,19,39
Sel Score: 0.96 p value: 1.322e-01 RTime: 28.88,,(no adduct),419.0022,2,18,38
Sel Score: 0.96 p value: 1.322e-01 RTime: 29.018,,(no adduct),419.0025,2,19,39
Sel Score: 0.96 p value: 1.322e-01 RTime: 29.218,,(no adduct),419.0025,4,19,39
Sel Score: 0.96 p value: 4.068e-03 RTime: 49.875,,(no adduct),454.577,3,39,59
Sel Score: 0.96 p value: 2.704e-03 RTime: 43.911,,(no adduct),551.6537,3,33,53
Sel Score: 0.96 p value: 2.625e-02 RTime: 49.281,,(no adduct),397.7219,4,39,59
Sel Score: 0.96 p value: 1.587e-02 RTime: 42.756,,(no adduct),447.2693,3,32,52
Sel Score: 0.96 p value: 9.235e-03 RTime: 27.621,,(no adduct),525.2819,3,17,37
Sel Score: 0.96 p value: 1.053e-02 RTime: 52.95,,(no adduct),581.9288,3,42,62
Sel Score: 0.96 p value: 3.669e-02 RTime: 61.33,,(no adduct),775.3993,2,51,71
Sel Score: 0.96 p value: 1.330e-01 RTime: 29.616,,(no adduct),419.0021,2,19,39
Sel Score: 0.96 p value: 2.733e-02 RTime: 56.953,,(no adduct),594.3133,3,46,66
Sel Score: 0.96 p value: 2.668e-02 RTime: 50.009,,(no adduct),397.7239,2,40,60
Sel Score: 0.96 p value: 2.831e-02 RTime: 49.69,,(no adduct),397.7263,4,39,59
Sel Score: 0.96 p value: 1.312e-01 RTime: 22.786,,(no adduct),387.9627,2,12,32
Sel Score: 0.96 p value: 1.571e-02 RTime: 43.07,,(no adduct),607.9963,3,33,53
Sel Score: 0.96 p value: 6.386e-02 RTime: 68.408,,(no adduct),425.0055,4,58,78
Sel Score: 0.96 p value: 6.386e-02 RTime: 68.409,,(no adduct),425.0056,2,58,78
Sel Score: 0.96 p value: 4.813e-02 RTime: 49.915,,(no adduct),432.4426,4,39,59
Sel Score: 0.96 p value: 7.241e-02 RTime: 28.99,,(no adduct),416.4953,4,18,38
