Compound,m/z,z,p value,specificity
"Sel Score: 0.99 RTime: 1514.184 Areas: [1079464.1128330869, 1130044.2668852, 634326.3737383161, 2497477.5760894357, 2579533.8545707003, 1701486.6805432618]",504.6187,3.0,0.04922128170760069,ACE2
"Sel Score: 0.99 RTime: 2793.122 Areas: [478019.5013143963, 216439.47929864193, 368093.8499612365, 306916.9349392447, 363125.17017489823, 112315.05376972916]",797.8992,2.0,0.0397326469293182,ACE2
"Sel Score: 0.99 RTime: 1506.769 Areas: [2381866.0361419055, 681117.8130823736, 676840.8344542682, 1225031.6632848005, 540331.246347214, 721025.117108063]",504.6186,3.0,0.04928301119695354,ACE2
"Sel Score: 0.99 RTime: 1504.13 Areas: [141309.4224111992, 135188.15766743218, 539822.585468391, 32963.705839755654, 303916.5843606762, 199172.44420269757]",504.9529,3.0,0.04729629405664446,ACE2
"Sel Score: 0.99 RTime: 3568.64 Areas: [694781.525766378, 617205.1023842357, 782943.5460743576, 1477565.8064962323, 709391.294585307, 127625.70870498366]",834.8994,2.0,0.016963718340181,ACE2
"Sel Score: 0.99 RTime: 3574.655 Areas: [512996.65985299327, 1157324.0292214418, 1118966.804532336, 1155496.832047024, 1172592.0012485639, 1130364.4123468306]",834.8994,2.0,0.008752480012495654,ACE2
"Sel Score: 0.99 RTime: 3156.347 Areas: [1134928.1417520554, 695600.7051997225, 495662.8374462664, 567767.6608586515, 353280.1006884321, 639205.3965633775]",781.881,2.0,0.02517503211465638,ACE2
"Sel Score: 0.99 RTime: 2980.035 Areas: [134178.1746250614, 615406.4529149455, 438749.64189379255, 1246522.140475385, 1053300.296542297, 285251.59297544346]",449.5798,3.0,0.026749229279388914,ACE2
"Sel Score: 0.99 RTime: 4646.973 Areas: [1589088.9591354302, 2002184.0355050804, 1003585.7892425066, 1262264.7174450115, 480295.90707795403, 689718.6159118776]",820.4246,2.0,0.037108504813322646,ACE2
"Sel Score: 0.98 RTime: 1370.332 Areas: [2347653.3173580207, 434846.898369509, 347250.729964213, 273008.5959481934, 305471.49133889744, 550656.5623421151]",378.9711,4.0,0.10720053388000447,ACE2
"Sel Score: 0.98 RTime: 2577.283 Areas: [1268948.5181799051, 1573250.979854955, 1509712.3765548884, 960909.4808429503, 674093.9866746307, 390388.1291607821]",519.6516,3.0,0.06381793340188559,ACE2
"Sel Score: 0.98 RTime: 4639.162 Areas: [535883.5874554857, 2241246.7597727203, 303986.83238488977, 300650.52323065937, 181346.79360176568, 281184.5884076313]",820.4243,2.0,0.03729601124386584,ACE2
"Sel Score: 0.98 RTime: 1260.308 Areas: [1005024.8462365371, 957780.1769266839, 712840.2106274372, 362095.5389967129, 127056.32227547972, 418915.9879029911]",470.9398,3.0,0.02797549033827399,ACE2
"Sel Score: 0.98 RTime: 3082.54 Areas: [434672.8342588293, 790865.0609037818, 772739.8765460157, 1709091.2613418794, 478648.60766463587, 358461.3181049539]",602.6634,3.0,0.026923497249520242,ACE2
"Sel Score: 0.98 RTime: 3228.815 Areas: [1722420.500069905, 1165598.9363449935, 1379460.8346440587, 661113.5693086212, 861880.5850015404, 550268.0189994631]",604.6018,3.0,0.020287388485510347,ACE2
"Sel Score: 0.98 RTime: 2995.233 Areas: [804311.0116548201, 259708.88630792027, 1053372.6478914921, 512065.7514220284, 558964.3597618466, 88494.12383885881]",576.2545,3.0,0.12040845617552007,ACE2
"Sel Score: 0.98 RTime: 2991.681 Areas: [750847.1861767165, 992558.7844879436, 282192.3978370925, 687058.2183602533, 199445.79633936204, 472442.2686445921]",576.2546,3.0,0.12040851838437705,ACE2
"Sel Score: 0.98 RTime: 1468.88 Areas: [968920.0503173785, 448718.5420387004, 1490521.5327765117, 522837.45869325846, 1304691.9582656447, 378474.8950328679]",516.9514,3.0,0.037670408999413,ACE2
"Sel Score: 0.98 RTime: 1483.38 Areas: [1643515.787545654, 3246960.8055169885, 1563922.8511286161, 1143013.5193944979, 456615.15569768747, 333052.9252152825]",516.9518,3.0,0.03767045030187079,ACE2
"Sel Score: 0.98 RTime: 1462.038 Areas: [567293.7125045357, 226763.4562665866, 1120828.7709081727, 505213.4817065531, 436535.49404194066, 444622.77728489786]",516.9519,3.0,0.03767042415768751,ACE2
"Sel Score: 0.98 RTime: 1468.182 Areas: [542011.3679707451, 440778.88399164996, 240192.46293570456, 1121730.9627533136, 270098.8994788496, 111633.33770077411]",516.9517,3.0,0.03767045407289564,ACE2
"Sel Score: 0.98 RTime: 3176.892 Areas: [388819.17274514935, 1987656.513388907, 316846.05669197784, 377576.15239564585, 190580.5189349249, 177178.8305218947]",581.5944,3.0,0.02636357512060762,ACE2
"Sel Score: 0.98 RTime: 3049.706 Areas: [580537.0459728992, 644297.294540185, 1128098.577943921, 809220.1283148143, 756387.92985944, 165791.75597236634]",782.8961,2.0,0.002087162631008358,ACE2
"Sel Score: 0.98 RTime: 3019.297 Areas: [220722.99382667916, 481666.08811577514, 216117.71103025036, 46223.889537898285, 265705.13469484303, 104773.27864395015]",423.5244,4.0,0.06024011412382091,ACE2
"Sel Score: 0.98 RTime: 1567.672 Areas: [522514.3639805838, 254509.84698633733, 223760.36162991033, 1049424.9272191082, 654749.8500727135, 118926.1591964881]",507.9505,3.0,0.025104625552572358,ACE2
"Sel Score: 0.98 RTime: 1564.39 Areas: [1303011.0390760254, 1200253.0399264817, 1031894.8576717187, 431491.2228468441, 188282.91665002692, 146221.52340002087]",507.9505,3.0,0.025106392559587132,ACE2
"Sel Score: 0.98 RTime: 2281.804 Areas: [900393.1542906178, 386947.9888303116, 113895.33461837891, 332229.14916701644, 443048.645963301, 130275.2998389971]",521.6514,3.0,0.027715874184747597,ACE2
"Sel Score: 0.98 RTime: 3164.547 Areas: [72854.772898124, 491948.4054838089, 626256.9408621165, 2740989.555470059, 410553.5987338064, 145941.60209691778]",781.3794,2.0,0.03009370852662927,ACE2
"Sel Score: 0.98 RTime: 1297.351 Areas: [530395.1901812492, 349072.6026654523, 202152.6547800224, 119393.6887316373, 351882.8303449332, 243786.484829006]",488.2435,3.0,0.013298260021860412,ACE2
"Sel Score: 0.98 RTime: 2161.982 Areas: [1621558.4865466417, 280520.27289500274, 1151769.0781833583, 302601.60094021854, 282035.7062251441, 309927.56311385334]",489.5741,3.0,0.009356641991813316,ACE2
"Sel Score: 0.98 RTime: 1555.339 Areas: [1152844.068684811, 710508.0768126347, 635702.8696999867, 497494.5077752047, 511159.83611631836, 306441.9541291012]",378.9657,4.0,0.034024211481354566,ACE2
"Sel Score: 0.98 RTime: 1541.184 Areas: [901806.4341174251, 451360.25726365176, 160573.9060330459, 1012398.647386175, 654925.6918041784, 327995.51493082463]",387.9693,2.0,0.12678850596909183,ACE2
"Sel Score: 0.98 RTime: 1298.724 Areas: [1069148.7908920364, 444901.9520368638, 704446.9192198489, 706927.5276920791, 674129.0857771654, 321178.1987335547]",488.2435,3.0,0.0133699834048038,ACE2
"Sel Score: 0.98 RTime: 1483.436 Areas: [1279722.704707261, 1093110.5122698043, 533350.0938719054, 966646.0524340001, 482786.96157313435, 170024.51221726192]",378.717,4.0,0.03514635955124893,ACE2
"Sel Score: 0.98 RTime: 2586.384 Areas: [1152737.3042811868, 1231301.86385124, 600699.3391249052, 2162493.122686454, 1189013.8261109244, 856694.6616954716]",483.596,3.0,0.02319529007464702,ACE2
"Sel Score: 0.98 RTime: 2357.01 Areas: [1856045.1031092193, 757823.1225740795, 910375.0280919771, 515971.15185604984, 182408.25286622558, 698743.6071325153]",476.9168,3.0,0.022186628615644837,ACE2
