Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 3 Sel Score: 1.0 CDE: 18.3794 p value: 2.430e-02 RTime: 11.284,,(no adduct),384.7281,4,3,21
Overall rank: 4 Sel Score: 1.0 CDE: 18.3791 p value: 2.430e-02 RTime: 11.97,,(no adduct),384.7282,4,3,21
Overall rank: 22 Sel Score: 1.0 CDE: 16.8196 p value: 3.837e-02 RTime: 11.807,,(no adduct),512.635,3,3,21
Overall rank: 299 Sel Score: 0.98 CDE: 15.1639 p value: 1.739e-02 RTime: 11.973,,(no adduct),620.6687,3,3,21
Overall rank: 2 Sel Score: 1.0 CDE: 18.3792 p value: 2.430e-02 RTime: 12.133,,(no adduct),384.7281,2,3,22
Overall rank: 73 Sel Score: 0.98 CDE: 16.2248 p value: 1.056e-02 RTime: 12.126,,(no adduct),372.8041,5,3,22
Overall rank: 301 Sel Score: 0.98 CDE: 15.1632 p value: 1.739e-02 RTime: 12.097,,(no adduct),620.6687,3,3,22
Overall rank: 522 Sel Score: 0.92 CDE: 13.9087 p value: 4.990e-02 RTime: 12.995,,(no adduct),555.9833,3,3,22
Overall rank: 711 Sel Score: 0.74 CDE: 13.114 p value: 4.701e-02 RTime: 12.696,,(no adduct),458.7612,2,3,22
Overall rank: 274 Sel Score: 0.95 CDE: 15.342 p value: 8.961e-03 RTime: 13.162,,(no adduct),498.2659,2,3,23
Overall rank: 299 Sel Score: 0.95 CDE: 15.216 p value: 8.961e-03 RTime: 13.758,,(no adduct),498.2649,4,3,23
Overall rank: 327 Sel Score: 0.94 CDE: 15.1121 p value: 7.842e-03 RTime: 13.794,,(no adduct),417.4901,4,3,23
Overall rank: 283 Sel Score: 0.98 CDE: 15.2426 p value: 1.794e-02 RTime: 14.085,,(no adduct),498.0142,4,4,24
Overall rank: 506 Sel Score: 0.92 CDE: 14.1032 p value: 1.313e-02 RTime: 15.274,,(no adduct),458.7214,2,5,25
Overall rank: 574 Sel Score: 0.83 CDE: 13.2764 p value: 5.691e-03 RTime: 15.324,,(no adduct),366.9783,5,5,25
Overall rank: 815 Sel Score: 0.68 CDE: 14.5265 p value: 2.019e-02 RTime: 17.37,,(no adduct),412.7305,4,7,27
Overall rank: 469 Sel Score: 0.96 CDE: 14.334 p value: 3.480e-03 RTime: 18.659,,(no adduct),400.5463,3,8,28
Overall rank: 501 Sel Score: 0.76 CDE: 14.8562 p value: 1.166e-02 RTime: 18.72,,(no adduct),427.2423,4,8,28
Overall rank: 507 Sel Score: 0.79 CDE: 14.584 p value: 5.207e-03 RTime: 18.423,,(no adduct),428.4917,4,8,28
Overall rank: 573 Sel Score: 0.76 CDE: 14.3941 p value: 2.590e-02 RTime: 19.984,,(no adduct),410.4557,2,9,29
Overall rank: 26 Sel Score: 0.96 CDE: 17.6079 p value: 7.692e-03 RTime: 20.748,,(no adduct),498.5363,4,10,30
