Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 14 Sel Score: 0.74 CDE: 3.1467 p value: 2.187e-02 RTime: 11.696,,(no adduct),554.4004,4,3,21
Overall rank: 15 Sel Score: 0.81 CDE: 1.6967 p value: 2.647e-03 RTime: 15.447,,(no adduct),449.2311,4,5,25
Overall rank: 17 Sel Score: 0.77 CDE: 1.9631 p value: 2.403e-02 RTime: 15.938,,(no adduct),448.9811,2,5,25
Overall rank: 10 Sel Score: 0.76 CDE: 3.3731 p value: 2.627e-02 RTime: 16.482,,(no adduct),363.6126,5,6,26
Overall rank: 24 Sel Score: 0.71 CDE: 2.5038 p value: 2.306e-02 RTime: 16.324,,(no adduct),387.5619,3,6,26
Overall rank: 14 Sel Score: 0.73 CDE: 3.4006 p value: 4.162e-02 RTime: 18.87,,(no adduct),410.7391,2,8,28
Overall rank: 14 Sel Score: 0.89 CDE: 1.5826 p value: 3.255e-04 RTime: 18.811,,(no adduct),448.9826,2,8,28
Overall rank: 51 Sel Score: 0.63 CDE: 1.1965 p value: 3.206e-04 RTime: 18.57,,(no adduct),336.1903,5,8,28
Overall rank: 34 Sel Score: 0.68 CDE: 2.0526 p value: 2.515e-03 RTime: 22.149,,(no adduct),439.2441,4,12,32
Overall rank: 35 Sel Score: 0.77 CDE: 0.73 p value: 3.400e-02 RTime: 22.462,,(no adduct),443.2316,4,12,32
Overall rank: 42 Sel Score: 0.59 CDE: 2.1912 p value: 4.972e-02 RTime: 22.842,,(no adduct),426.2418,2,12,32
Overall rank: 44 Sel Score: 0.7 CDE: 0.9857 p value: 3.498e-02 RTime: 22.232,,(no adduct),362.2091,5,12,32
Overall rank: 47 Sel Score: 0.72 CDE: 0.3396 p value: 4.240e-02 RTime: 22.167,,(no adduct),408.7241,4,12,32
Overall rank: 38 Sel Score: 0.69 CDE: 1.3439 p value: 2.953e-02 RTime: 23.501,,(no adduct),349.1956,5,13,33
Overall rank: 42 Sel Score: 0.74 CDE: 0.5667 p value: 4.148e-03 RTime: 23.091,,(no adduct),435.4786,4,13,33
Overall rank: 54 Sel Score: 0.67 CDE: 0.8954 p value: 4.389e-02 RTime: 23.396,,(no adduct),396.2176,4,13,33
Overall rank: 31 Sel Score: 0.76 CDE: 1.1958 p value: 1.705e-02 RTime: 26.465,,(no adduct),427.9112,2,16,36
Overall rank: 30 Sel Score: 0.67 CDE: 3.3079 p value: 3.923e-02 RTime: 28.649,,(no adduct),333.3884,5,18,38
Overall rank: 50 Sel Score: 0.63 CDE: 1.2413 p value: 4.321e-02 RTime: 28.797,,(no adduct),412.4855,4,18,38
Overall rank: 51 Sel Score: 0.67 CDE: 1.0912 p value: 2.696e-03 RTime: 30.993,,(no adduct),415.7393,2,20,40
Overall rank: 51 Sel Score: 0.7 CDE: 0.3237 p value: 4.503e-02 RTime: 31.843,,(no adduct),396.218,2,21,41
Overall rank: 43 Sel Score: 0.71 CDE: 0.9776 p value: 3.654e-02 RTime: 33.499,,(no adduct),427.4785,4,23,43
Overall rank: 31 Sel Score: 0.68 CDE: 2.7387 p value: 8.961e-03 RTime: 38.459,,(no adduct),424.7258,2,28,48
Overall rank: 19 Sel Score: 0.78 CDE: 1.5265 p value: 5.775e-03 RTime: 41.827,,(no adduct),319.5044,5,31,51
Overall rank: 26 Sel Score: 0.73 CDE: 1.7357 p value: 1.118e-02 RTime: 42.125,,(no adduct),319.304,5,32,52
Overall rank: 68 Sel Score: 0.59 CDE: 0.0685 p value: 4.080e-02 RTime: 44.687,,(no adduct),407.9732,4,34,54
Overall rank: 61 Sel Score: 0.62 CDE: 0.7961 p value: 4.753e-02 RTime: 54.229,,(no adduct),452.2361,2,44,64
Overall rank: 29 Sel Score: 0.68 CDE: 2.7214 p value: 1.647e-02 RTime: 61.223,,(no adduct),587.9748,3,51,71
Overall rank: 34 Sel Score: 0.77 CDE: 0.9087 p value: 4.624e-02 RTime: 63.218,,(no adduct),621.643,3,53,73
Overall rank: 38 Sel Score: 0.69 CDE: 1.2863 p value: 2.981e-02 RTime: 63.961,,(no adduct),562.9822,3,53,73
Overall rank: 19 Sel Score: 0.79 CDE: 1.437 p value: 7.887e-03 RTime: 64.731,,(no adduct),439.7503,2,54,74
Overall rank: 17 Sel Score: 0.74 CDE: 2.759 p value: 3.598e-02 RTime: 67.711,,(no adduct),612.9663,3,57,77
Overall rank: 43 Sel Score: 0.68 CDE: 1.2172 p value: 2.716e-02 RTime: 73.329,,(no adduct),779.9103,2,63,83
Overall rank: 29 Sel Score: 0.66 CDE: 3.9578 p value: 4.179e-02 RTime: 83.043,,(no adduct),730.2395,2,73,93
Overall rank: 25 Sel Score: 0.84 CDE: 0.9946 p value: 1.849e-02 RTime: 88.372,,(no adduct),426.2455,2,78,98
