Compound,m/z,z,p value,specificity,areas
Sel Score: 1.0 RTime: 727.997,384.7281,2.0,0.02430006108448222,12ca5,"[96402078.04985332, 170075789.1385711, 151072012.71356618, 240487.73890575478, 60176.68604726692, 55994.19499753152]"
Sel Score: 1.0 RTime: 718.205,384.7282,4.0,0.024300061585269404,12ca5,"[96402077.55048488, 170075789.1148499, 151072012.8510513, 240487.92092532493, 60176.46158012321, 55995.12362778592]"
Sel Score: 1.0 RTime: 677.01,384.7281,4.0,0.024300299755033766,12ca5,"[96402078.19328915, 170075789.14530233, 151072013.04469237, 240489.08310405546, 60177.9589300099, 58043.66261046848]"
Sel Score: 1.0 RTime: 708.438,512.635,3.0,0.038367826186606405,12ca5,"[17896056.490664195, 37610814.20810572, 32369167.396741267, 10061.0, 81842.84205956435, 113999.8683713044]"
Sel Score: 1.0 RTime: 736.123,465.7532,4.0,0.09381684728345166,Unclear,"[22169383.48046055, 89703126.83092527, 75914375.58282141, 252913.7322352152, 167642.82312802493, 73100.90442079764]"
Sel Score: 1.0 RTime: 729.476,465.7543,2.0,0.0938563786213599,Unclear,"[22169381.091361597, 89703127.65484509, 75914373.83169548, 252912.49914293905, 167642.77402722472, 118302.69875506625]"
Sel Score: 1.0 RTime: 753.728,465.7544,2.0,0.09385637140321726,Unclear,"[22169384.001338437, 89703127.88788779, 75914373.35704616, 252913.01694640866, 167644.06936833813, 118303.86080033846]"
Sel Score: 1.0 RTime: 720.539,465.7533,4.0,0.09385638199963792,Unclear,"[22169381.229909487, 89703127.93291055, 75914374.71130869, 252914.02842664358, 167643.5450323941, 118304.59111970334]"
Sel Score: 1.0 RTime: 742.318,466.0051,2.0,0.10889599323309498,Unclear,"[21244384.00896148, 95720836.71788336, 63235735.40494553, 408827.80565577286, 101219.9837816878, 94603.76587950732]"
Sel Score: 1.0 RTime: 753.043,466.0051,4.0,0.10889599001511258,Unclear,"[21244384.41061451, 95720835.0876218, 63235735.4069839, 408828.32424358913, 101219.39525809333, 94604.2198969147]"
Sel Score: 1.0 RTime: 1900.424,477.9323,3.0,0.0006622547942201875,12ca5,"[193953148.0458529, 211704788.5778729, 198726666.27380556, 1059923.381571841, 92659.16934301441, 1296601.185069163]"
Sel Score: 0.99 RTime: 708.962,307.9838,5.0,0.10865070814243859,Unclear,"[4612995.738023048, 22465101.898731146, 20804582.03479372, 284026.9808224314, 10250.0, 94115.49774490883]"
Sel Score: 0.99 RTime: 1309.24,551.0518,4.0,0.0004914850820177494,12ca5,"[20475154.812603902, 21197002.183895182, 22958236.946253177, 9935.0, 690379.3647248456, 9776.0]"
Sel Score: 0.99 RTime: 1279.632,551.0519,4.0,0.07488251440300946,Unclear,"[20475159.228400476, 7319430.897186677, 22958233.265607696, 9981.0, 690380.7841573145, 9906.0]"
Sel Score: 0.99 RTime: 1899.684,680.0351,3.0,0.06112395818741435,Unclear,"[9966171.42084752, 26262044.331416592, 18897158.129140224, 9811.0, 801181.8445381565, 10249.0]"
Sel Score: 0.98 RTime: 1252.532,463.8514,5.0,0.08745597987200027,Unclear,"[14676084.83797335, 11697701.016869634, 4052600.9894580483, 241314.32568555526, 241921.7389973379, 9945.0]"
Sel Score: 0.98 RTime: 727.534,372.8041,5.0,0.010555368094837833,12ca5,"[15070072.33058661, 19598053.01899279, 14204777.615081223, 287952.0052791807, 414522.51821668784, 107922.2458441148]"
Sel Score: 0.98 RTime: 1211.803,480.2313,2.0,0.06923965660288484,Unclear,"[14583454.493205993, 6460653.5537543725, 7292167.701040643, 9769.0, 175897.7020902005, 323079.5068102188]"
Sel Score: 0.98 RTime: 1205.301,480.2303,4.0,0.06924035941781148,Unclear,"[14583453.225818096, 6460652.843934718, 7292167.653032438, 9896.0, 175894.9992100025, 323081.21574424836]"
Sel Score: 0.98 RTime: 1245.489,579.5628,4.0,0.011904368479873681,12ca5,"[38734164.64628674, 30155771.480736207, 27090508.313912436, 938698.666506528, 418441.28636196785, 366755.8389650399]"
Sel Score: 0.98 RTime: 1264.606,579.5626,4.0,0.011904370259380763,12ca5,"[38734166.91200965, 30155780.008154407, 27090506.771011576, 938698.5456175508, 418445.90821453027, 366754.68810736394]"
Sel Score: 0.98 RTime: 718.38,620.6687,3.0,0.017391357037565364,12ca5,"[5132704.388530249, 7290326.9783335775, 4885035.998310011, 10029.0, 156213.62508712232, 166974.12933506447]"
Sel Score: 0.98 RTime: 725.844,620.6687,3.0,0.01739238149793333,12ca5,"[5132705.423764964, 7290326.258096355, 4885034.983408446, 10187.0, 156213.92414417802, 166975.0449842565]"
Sel Score: 0.98 RTime: 1899.366,510.5303,2.0,0.049485173724505074,12ca5,"[36445052.09759328, 70366468.38534227, 38498087.80942965, 1049407.0273662193, 1174741.9968850298, 600822.914387446]"
