Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"Sel Score: 1.0 RTime: 12.133 Area: 139183293.30066356 All areas: [96402078.04985332, 170075789.1385711, 151072012.71356618, 240487.73890575478, 60176.68604726692, 55994.19499753152] p-value: 0.02430006108448222 original RTs: [0, 761.2683051204048, 690.5620506163125, 0, 0, 0]",,(no adduct),384.7281,2.0,3,22
"Sel Score: 1.0 RTime: 11.97 Area: 139183293.17212868 All areas: [96402077.55048488, 170075789.1148499, 151072012.8510513, 240487.92092532493, 60176.46158012321, 55995.12362778592] p-value: 0.024300061585269404 original RTs: [688.8704791781861, 725.7736670626417, 701.395013254102, 0, 0, 0]",,(no adduct),384.7282,4.0,3,21
"Sel Score: 1.0 RTime: 11.284 Area: 139183293.46109462 All areas: [96402078.19328915, 170075789.14530233, 151072013.04469237, 240489.08310405546, 60177.9589300099, 58043.66261046848] p-value: 0.024300299755033766 original RTs: [0, 0, 672.7215972244007, 0, 0, 0]",,(no adduct),384.7281,4.0,3,21
"Sel Score: 1.0 RTime: 11.807 Area: 29292012.69850373 All areas: [17896056.490664195, 37610814.20810572, 32369167.396741267, 10061, 81842.84205956435, 113999.8683713044] p-value: 0.038367826186606405 original RTs: [687.0992009156982, 725.9153358320414, 673.5201340075382, 0, 0, 0]",,(no adduct),512.635,3.0,3,21
"Sel Score: 1.0 RTime: 31.674 Area: 201461534.29917708 All areas: [193953148.0458529, 211704788.5778729, 198726666.27380556, 1059923.381571841, 92659.16934301441, 1296601.185069163] p-value: 0.0006622547942201875 original RTs: [1888.8913159972317, 1894.311681826415, 1895.8579375216452, 0, 0, 0]",,(no adduct),477.9323,3.0,21,41
"Sel Score: 0.99 RTime: 21.821 Area: 21543464.647584084 All areas: [20475154.812603902, 21197002.183895182, 22958236.946253177, 9935, 690379.3647248456, 9776] p-value: 0.0004914850820177494 original RTs: [1290.5756356767654, 1297.456726880577, 0, 0, 0, 0]",,(no adduct),551.0518,4.0,11,31
"Sel Score: 0.98 RTime: 12.126 Area: 16290967.654886873 All areas: [15070072.33058661, 19598053.01899279, 14204777.615081223, 287952.0052791807, 414522.51821668784, 107922.2458441148] p-value: 0.010555368094837833 original RTs: [0, 753.1127562042616, 697.8424087930666, 0, 0, 0]",,(no adduct),372.8041,5.0,3,22
"Sel Score: 0.98 RTime: 20.758 Area: 31993481.480311796 All areas: [38734164.64628674, 30155771.480736207, 27090508.313912436, 938698.666506528, 418441.28636196785, 366755.8389650399] p-value: 0.011904368479873681 original RTs: [1215.4788951240653, 0, 1244.2346230746978, 0, 0, 0]",,(no adduct),579.5628,4.0,10,30
"Sel Score: 0.98 RTime: 21.077 Area: 31993484.563725207 All areas: [38734166.91200965, 30155780.008154407, 27090506.771011576, 938698.5456175508, 418445.90821453027, 366754.68810736394] p-value: 0.011904370259380763 original RTs: [1233.0503910375373, 0, 1265.1604471609742, 0, 0, 0]",,(no adduct),579.5626,4.0,11,31
"Sel Score: 0.98 RTime: 11.973 Area: 5769355.78839128 All areas: [5132704.388530249, 7290326.9783335775, 4885035.998310011, 10029, 156213.62508712232, 166974.12933506447] p-value: 0.017391357037565364 original RTs: [0, 753.6282559366675, 678.885231577626, 0, 0, 0]",,(no adduct),620.6687,3.0,3,21
"Sel Score: 0.98 RTime: 12.097 Area: 5769355.555089922 All areas: [5132705.423764964, 7290326.258096355, 4885034.983408446, 10187, 156213.92414417802, 166975.0449842565] p-value: 0.01739238149793333 original RTs: [0, 749.4165594100465, 698.1608100394849, 0, 0, 0]",,(no adduct),620.6687,3.0,3,22
"Sel Score: 0.98 RTime: 31.656 Area: 48436536.09745506 All areas: [36445052.09759328, 70366468.38534227, 38498087.80942965, 1049407.0273662193, 1174741.9968850298, 600822.914387446] p-value: 0.049485173724505074 original RTs: [0, 1899.3656752895452, 0, 0, 0, 0]",,(no adduct),510.5303,2.0,21,41
"Sel Score: 0.98 RTime: 31.668 Area: 48436537.438346416 All areas: [36445051.53508891, 70366467.95188802, 38498092.82806232, 1049395.845798416, 1174743.2645548538, 919263.4536693783] p-value: 0.049717940088719215 original RTs: [0, 1900.0838036952691, 0, 0, 0, 0]",,(no adduct),510.5291,4.0,21,41
"Sel Score: 0.98 RTime: 14.085 Area: 6146544.84979488 All areas: [7729960.802948979, 5721152.78117951, 4988520.965256152, 117905.1159288221, 211040.84311363383, 87827.601684998] p-value: 0.017936835944595386 original RTs: [0, 0, 841.9931322505483, 0, 0, 0]",,(no adduct),498.0142,4.0,4,24
"Sel Score: 0.97 RTime: 34.208 Area: 27385678.353761017 All areas: [35341703.118204445, 29746843.97590467, 17068487.967173938, 1117323.2985722355, 743059.719685876, 1004325.322326491] p-value: 0.03932266822373827 original RTs: [2026.9931172619429, 0, 0, 0, 0, 0]",,(no adduct),510.7798,2.0,24,44
"Sel Score: 0.96 RTime: 31.188 Area: 54765843.928689875 All areas: [53086999.960395865, 65565378.30188065, 45645153.523793116, 1154676.0102004432, 2616269.0565659716, 2481624.262634929] p-value: 0.011551879093204053 original RTs: [0, 1871.260073052673, 0, 0, 0, 0]",,(no adduct),510.2795,2.0,21,41
