Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Sel Score: 1.0 p value: 2.430e-02 RTime: 11.97,,(no adduct),384.7282,4,3,21
Sel Score: 1.0 p value: 2.430e-02 RTime: 11.284,,(no adduct),384.7281,4,3,21
Sel Score: 1.0 p value: 3.837e-02 RTime: 11.807,,(no adduct),512.635,3,3,21
Sel Score: 0.98 p value: 1.739e-02 RTime: 11.973,,(no adduct),620.6687,3,3,21
Sel Score: 1.0 p value: 2.430e-02 RTime: 12.133,,(no adduct),384.7281,2,3,22
Sel Score: 0.98 p value: 1.056e-02 RTime: 12.126,,(no adduct),372.8041,5,3,22
Sel Score: 0.98 p value: 1.739e-02 RTime: 12.097,,(no adduct),620.6687,3,3,22
Sel Score: 0.92 p value: 4.990e-02 RTime: 12.995,,(no adduct),555.9833,3,3,22
Sel Score: 0.74 p value: 4.701e-02 RTime: 12.696,,(no adduct),458.7612,2,3,22
Sel Score: 0.95 p value: 8.961e-03 RTime: 13.162,,(no adduct),498.2659,2,3,23
Sel Score: 0.95 p value: 8.961e-03 RTime: 13.758,,(no adduct),498.2649,4,3,23
Sel Score: 0.94 p value: 7.842e-03 RTime: 13.794,,(no adduct),417.4901,4,3,23
Sel Score: 0.98 p value: 1.794e-02 RTime: 14.085,,(no adduct),498.0142,4,4,24
Sel Score: 0.92 p value: 1.313e-02 RTime: 15.274,,(no adduct),458.7214,2,5,25
Sel Score: 0.83 p value: 5.691e-03 RTime: 15.324,,(no adduct),366.9783,5,5,25
Sel Score: 0.68 p value: 2.019e-02 RTime: 17.37,,(no adduct),412.7305,4,7,27
Sel Score: 0.96 p value: 3.480e-03 RTime: 18.659,,(no adduct),400.5463,3,8,28
Sel Score: 0.79 p value: 5.207e-03 RTime: 18.423,,(no adduct),428.4917,4,8,28
Sel Score: 0.76 p value: 1.166e-02 RTime: 18.72,,(no adduct),427.2423,4,8,28
Sel Score: 0.76 p value: 2.590e-02 RTime: 19.984,,(no adduct),410.4557,2,9,29
Sel Score: 0.98 p value: 1.190e-02 RTime: 20.758,,(no adduct),579.5628,4,10,30
Sel Score: 0.96 p value: 7.692e-03 RTime: 20.748,,(no adduct),498.5363,4,10,30
Sel Score: 0.94 p value: 9.574e-03 RTime: 20.836,,(no adduct),399.0307,5,10,30
Sel Score: 0.78 p value: 1.985e-02 RTime: 20.273,,(no adduct),440.2456,2,10,30
Sel Score: 0.77 p value: 4.477e-02 RTime: 20.026,,(no adduct),424.7147,2,10,30
Sel Score: 0.74 p value: 3.059e-02 RTime: 20.374,,(no adduct),413.4648,4,10,30
Sel Score: 0.74 p value: 3.069e-02 RTime: 20.886,,(no adduct),420.7264,4,10,30
Sel Score: 0.73 p value: 1.703e-02 RTime: 20.341,,(no adduct),381.4633,4,10,30
Sel Score: 0.73 p value: 4.569e-02 RTime: 20.334,,(no adduct),370.0061,5,10,30
Sel Score: 0.7 p value: 1.295e-02 RTime: 20.551,,(no adduct),398.7068,2,10,30
Sel Score: 0.99 p value: 4.915e-04 RTime: 21.821,,(no adduct),551.0518,4,11,31
Sel Score: 0.98 p value: 1.190e-02 RTime: 21.077,,(no adduct),579.5626,4,11,31
Sel Score: 0.9 p value: 3.986e-02 RTime: 21.69,,(no adduct),470.0255,4,11,31
Sel Score: 0.87 p value: 3.115e-02 RTime: 21.037,,(no adduct),395.1935,2,11,31
Sel Score: 0.86 p value: 9.393e-03 RTime: 21.852,,(no adduct),446.9715,2,11,31
Sel Score: 0.83 p value: 1.817e-02 RTime: 21.616,,(no adduct),391.9611,4,11,31
Sel Score: 0.82 p value: 2.233e-02 RTime: 21.766,,(no adduct),391.9606,2,11,31
Sel Score: 0.77 p value: 2.929e-02 RTime: 21.093,,(no adduct),393.7079,2,11,31
Sel Score: 0.77 p value: 1.263e-03 RTime: 21.143,,(no adduct),427.483,4,11,31
Sel Score: 0.72 p value: 4.948e-02 RTime: 21.935,,(no adduct),433.987,2,11,31
Sel Score: 0.9 p value: 2.444e-02 RTime: 22.36,,(no adduct),382.2165,3,12,32
Sel Score: 0.84 p value: 3.896e-02 RTime: 22.19,,(no adduct),408.9756,4,12,32
Sel Score: 0.77 p value: 1.362e-02 RTime: 22.104,,(no adduct),447.2219,2,12,32
Sel Score: 0.77 p value: 2.730e-02 RTime: 22.97,,(no adduct),439.2073,4,12,32
Sel Score: 0.7 p value: 4.987e-02 RTime: 22.251,,(no adduct),453.4925,2,12,32
Sel Score: 0.69 p value: 2.299e-02 RTime: 22.556,,(no adduct),409.459,4,12,32
Sel Score: 0.66 p value: 1.284e-02 RTime: 22.97,,(no adduct),429.7148,4,12,32
Sel Score: 0.81 p value: 3.182e-03 RTime: 23.532,,(no adduct),409.9519,4,13,33
Sel Score: 0.81 p value: 7.397e-03 RTime: 23.39,,(no adduct),439.2079,2,13,33
Sel Score: 0.7 p value: 1.276e-02 RTime: 23.171,,(no adduct),427.2269,4,13,33
