Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Sel Score: 1.0 p value: 2.430e-02 RTime: 12.133,,(no adduct),384.7281,2,3,22
Sel Score: 1.0 p value: 2.430e-02 RTime: 11.97,,(no adduct),384.7282,4,3,21
Sel Score: 1.0 p value: 2.430e-02 RTime: 11.284,,(no adduct),384.7281,4,3,21
Sel Score: 1.0 p value: 3.837e-02 RTime: 11.807,,(no adduct),512.635,3,3,21
Sel Score: 1.0 p value: 6.623e-04 RTime: 31.674,,(no adduct),477.9323,3,21,41
Sel Score: 0.99 p value: 4.915e-04 RTime: 21.821,,(no adduct),551.0518,4,11,31
Sel Score: 0.98 p value: 1.056e-02 RTime: 12.126,,(no adduct),372.8041,5,3,22
Sel Score: 0.98 p value: 1.190e-02 RTime: 20.758,,(no adduct),579.5628,4,10,30
Sel Score: 0.98 p value: 1.190e-02 RTime: 21.077,,(no adduct),579.5626,4,11,31
Sel Score: 0.98 p value: 1.739e-02 RTime: 11.973,,(no adduct),620.6687,3,3,21
Sel Score: 0.98 p value: 1.739e-02 RTime: 12.097,,(no adduct),620.6687,3,3,22
Sel Score: 0.98 p value: 4.949e-02 RTime: 31.656,,(no adduct),510.5303,2,21,41
Sel Score: 0.98 p value: 4.972e-02 RTime: 31.668,,(no adduct),510.5291,4,21,41
Sel Score: 0.98 p value: 1.794e-02 RTime: 14.085,,(no adduct),498.0142,4,4,24
Sel Score: 0.97 p value: 3.932e-02 RTime: 34.208,,(no adduct),510.7798,2,24,44
Sel Score: 0.96 p value: 1.155e-02 RTime: 31.188,,(no adduct),510.2795,2,21,41
Sel Score: 0.96 p value: 6.150e-03 RTime: 67.535,,(no adduct),908.4286,2,57,77
Sel Score: 0.96 p value: 2.634e-02 RTime: 32.971,,(no adduct),510.7797,4,22,42
Sel Score: 0.96 p value: 7.692e-03 RTime: 20.748,,(no adduct),498.5363,4,10,30
Sel Score: 0.96 p value: 3.480e-03 RTime: 18.659,,(no adduct),400.5463,3,8,28
Sel Score: 0.95 p value: 3.391e-03 RTime: 69.49,,(no adduct),908.9304,2,59,79
Sel Score: 0.95 p value: 8.961e-03 RTime: 13.162,,(no adduct),498.2659,2,3,23
Sel Score: 0.95 p value: 8.961e-03 RTime: 13.758,,(no adduct),498.2649,4,3,23
Sel Score: 0.95 p value: 7.922e-03 RTime: 71.085,,(no adduct),789.8664,2,61,81
Sel Score: 0.95 p value: 9.539e-03 RTime: 68.251,,(no adduct),908.9296,2,58,78
Sel Score: 0.94 p value: 4.019e-02 RTime: 27.926,,(no adduct),477.7709,2,17,37
Sel Score: 0.94 p value: 7.842e-03 RTime: 13.794,,(no adduct),417.4901,4,3,23
Sel Score: 0.94 p value: 9.574e-03 RTime: 20.836,,(no adduct),399.0307,5,10,30
Sel Score: 0.93 p value: 1.099e-06 RTime: 26.695,,(no adduct),477.7694,4,16,36
Sel Score: 0.92 p value: 1.313e-02 RTime: 15.274,,(no adduct),458.7214,2,5,25
Sel Score: 0.92 p value: 4.990e-02 RTime: 12.995,,(no adduct),555.9833,3,3,22
Sel Score: 0.91 p value: 3.195e-02 RTime: 25.116,,(no adduct),384.9388,2,15,35
Sel Score: 0.9 p value: 2.444e-02 RTime: 22.36,,(no adduct),382.2165,3,12,32
Sel Score: 0.9 p value: 3.986e-02 RTime: 21.69,,(no adduct),470.0255,4,11,31
Sel Score: 0.89 p value: 2.181e-03 RTime: 65.72,,(no adduct),941.0307,2,55,75
Sel Score: 0.89 p value: 6.743e-03 RTime: 25.262,,(no adduct),406.1978,4,15,35
Sel Score: 0.88 p value: 2.713e-03 RTime: 48.957,,(no adduct),453.2451,4,38,58
Sel Score: 0.87 p value: 3.115e-02 RTime: 21.037,,(no adduct),395.1935,2,11,31
Sel Score: 0.86 p value: 9.218e-04 RTime: 37.934,,(no adduct),426.2057,2,27,47
Sel Score: 0.86 p value: 9.393e-03 RTime: 21.852,,(no adduct),446.9715,2,11,31
Sel Score: 0.84 p value: 9.625e-03 RTime: 55.066,,(no adduct),472.7463,2,45,65
Sel Score: 0.84 p value: 3.796e-04 RTime: 24.194,,(no adduct),440.242,4,14,34
Sel Score: 0.84 p value: 2.441e-02 RTime: 49.401,,(no adduct),411.24,2,39,59
Sel Score: 0.84 p value: 2.324e-02 RTime: 35.766,,(no adduct),383.2243,2,25,45
Sel Score: 0.84 p value: 1.045e-02 RTime: 28.736,,(no adduct),438.7076,4,18,38
Sel Score: 0.84 p value: 3.896e-02 RTime: 22.19,,(no adduct),408.9756,4,12,32
