Compound,m/z,z,p value,specificity
"Sel Score: 1.0 RTime: 727.997 Areas: [15191927.2040829, 8541302.883619215, 10248014.382293489, 9144883.177401677, 10196959.753164334, 5478367.036771572]",384.7281,2.0,0.02430006108448222,12ca5
"Sel Score: 1.0 RTime: 718.205 Areas: [21798541.788914632, 21191489.707127973, 20652072.26559979, 12277254.037748735, 8080685.321409721, 13764525.645703476]",384.7282,4.0,0.024300061585269404,12ca5
"Sel Score: 1.0 RTime: 677.01 Areas: [3493179.402254553, 880802.9639732059, 5046621.089705411, 1369040.6750825804, 3063726.788918551, 1824587.8921006557]",384.7281,4.0,0.024300299755033766,12ca5
"Sel Score: 1.0 RTime: 708.438 Areas: [12766739.073656334, 36469090.65583831, 17095008.2797913, 10729954.979415609, 10701870.88341974, 13499204.338745998]",512.635,3.0,0.038367826186606405,12ca5
"Sel Score: 1.0 RTime: 1900.424 Areas: [5886908.726434008, 9073002.467999632, 15994819.597726246, 14688789.643972112, 3904139.443470425, 9208564.957566308]",477.9323,3.0,0.0006622547942201875,12ca5
"Sel Score: 0.99 RTime: 1309.24 Areas: [24957757.958452936, 9293864.557758674, 19458495.428459674, 6214824.832551911, 5766786.595470687, 9954832.383567808]",551.0518,4.0,0.0004914850820177494,12ca5
"Sel Score: 0.98 RTime: 727.534 Areas: [4832809.238159011, 8294184.96816565, 8621176.979013655, 4010403.535481274, 6644504.425715476, 3836014.1386505575]",372.8041,5.0,0.010555368094837833,12ca5
"Sel Score: 0.98 RTime: 1245.489 Areas: [5193682.542621902, 16113801.517976098, 18787025.724802405, 13735092.51358088, 13584964.721134707, 5139574.288187274]",579.5628,4.0,0.011904368479873681,12ca5
"Sel Score: 0.98 RTime: 1264.606 Areas: [7577397.517553214, 5876903.328422835, 1886867.3900546427, 4936954.533586223, 2703111.2274650107, 1963563.2129786764]",579.5626,4.0,0.011904370259380763,12ca5
"Sel Score: 0.98 RTime: 718.38 Areas: [14731744.700441664, 14258168.164936295, 6738352.027937761, 12285600.33655805, 5042423.534173162, 11109034.534361651]",620.6687,3.0,0.017391357037565364,12ca5
"Sel Score: 0.98 RTime: 725.844 Areas: [6015662.701011965, 9468638.430831715, 9812843.49964757, 22802365.378381785, 5394857.502197811, 14461344.700878121]",620.6687,3.0,0.01739238149793333,12ca5
"Sel Score: 0.98 RTime: 1899.366 Areas: [11663379.820761386, 9482753.424495507, 8499068.15685252, 19417572.0058922, 9547295.322930912, 4396229.660057452]",510.5303,2.0,0.049485173724505074,12ca5
"Sel Score: 0.98 RTime: 1900.084 Areas: [17551470.02581686, 5411956.840741267, 10930426.142288085, 16291917.020068426, 12512519.539154721, 4039618.5723346486]",510.5291,4.0,0.049717940088719215,12ca5
"Sel Score: 0.98 RTime: 845.104 Areas: [31958825.732946232, 8705457.667082027, 4128126.486736946, 16360704.80838831, 3754889.1036850363, 12707607.657721225]",498.0142,4.0,0.017936835944595386,12ca5
"Sel Score: 0.97 RTime: 2052.499 Areas: [59822917.064230084, 13281245.255621597, 23010532.411533933, 10994732.349650808, 4913903.021084997, 17875944.693409674]",510.7798,2.0,0.03932266822373827,12ca5
"Sel Score: 0.96 RTime: 1871.26 Areas: [7512528.029050747, 10635582.260904748, 10391036.89197803, 10878411.00903126, 6865709.7254433995, 4833746.121122493]",510.2795,2.0,0.011551879093204053,12ca5
"Sel Score: 0.96 RTime: 4052.078 Areas: [14135228.227194456, 15053458.003801279, 14634514.359370492, 19304067.741883058, 17049549.138032272, 15763789.520760372]",908.4286,2.0,0.006150000718082151,12ca5
"Sel Score: 0.96 RTime: 1978.284 Areas: [6884476.669189678, 4774713.642993865, 5393691.5110055525, 12682565.805280644, 6924198.576620162, 3665345.7197313146]",510.7797,4.0,0.026340865876665457,12ca5
"Sel Score: 0.96 RTime: 1244.893 Areas: [6184091.745209624, 12706519.715404633, 12642863.26073571, 6010569.692856271, 4121805.581817487, 5198379.557450821]",498.5363,4.0,0.007691795445606179,12ca5
"Sel Score: 0.96 RTime: 1119.545 Areas: [11732396.569859004, 6485694.711512964, 12566183.855418434, 13747087.760921042, 2451022.152525414, 4126146.173580629]",400.5463,3.0,0.003479534626303867,12ca5
"Sel Score: 0.95 RTime: 4169.38 Areas: [20373826.59712646, 16218714.711751617, 14182219.58651431, 33938920.44194996, 8723403.95701526, 5447156.754399813]",908.9304,2.0,0.003390763708074186,12ca5
"Sel Score: 0.95 RTime: 789.727 Areas: [10535813.664782953, 2668999.412458491, 2763255.8898634417, 5929635.184108612, 7909898.892208013, 7562915.625624395]",498.2659,2.0,0.008960717819256232,12ca5
"Sel Score: 0.95 RTime: 825.497 Areas: [18925802.348894496, 15409300.266489625, 13243049.17338008, 7830584.009587468, 5491190.062997567, 21238371.86185554]",498.2649,4.0,0.00896072236235638,12ca5
"Sel Score: 0.95 RTime: 4265.08 Areas: [15447467.33875319, 21755956.64417814, 11005798.572392603, 14240846.411887612, 12289124.289557187, 14227193.306788014]",789.8664,2.0,0.007922136523431293,12ca5
"Sel Score: 0.95 RTime: 4095.074 Areas: [15901353.027127763, 16797810.263824675, 16456969.847075395, 15419133.318067277, 18288061.436147615, 12659183.594721444]",908.9296,2.0,0.009539336791371351,12ca5
"Sel Score: 0.94 RTime: 1675.535 Areas: [8901307.764026705, 7735090.577714695, 10215121.60293878, 7667606.677615028, 9811.0, 6573689.89986326]",477.7709,2.0,0.04019299979616725,12ca5
"Sel Score: 0.94 RTime: 827.668 Areas: [52078726.350758724, 26181130.098247934, 28852268.264758907, 8486251.13100266, 12680842.391761828, 6496615.613628285]",417.4901,4.0,0.007842157120481674,12ca5
"Sel Score: 0.94 RTime: 1250.13 Areas: [4743442.183143759, 16984151.700871963, 10250639.371524507, 5544990.8704853635, 7294960.67158441, 4441342.606634287]",399.0307,5.0,0.009574335609982238,12ca5
"Sel Score: 0.93 RTime: 1601.687 Areas: [15990179.69685626, 9976020.279470315, 7849989.466903339, 9471330.067380115, 4073415.625605369, 2509324.8622261127]",477.7694,4.0,1.0989116727021517e-06,12ca5
"Sel Score: 0.92 RTime: 916.452 Areas: [7189954.838455377, 14439526.92387586, 21408973.419662006, 20087888.71399759, 4344826.543210205, 8199892.504089847]",458.7214,2.0,0.013126281599766297,12ca5
"Sel Score: 0.92 RTime: 779.681 Areas: [8401650.800126677, 25782816.488132834, 22489803.90127804, 15203665.611878201, 3947804.421193937, 2624208.070397745]",555.9833,3.0,0.04990095611357325,12ca5
"Sel Score: 0.91 RTime: 1506.947 Areas: [11291242.45489463, 10084221.86268245, 12184122.598608352, 37063622.708936386, 12256604.233581098, 10158392.242536278]",384.9388,2.0,0.03194775817403716,12ca5
"Sel Score: 0.9 RTime: 1341.587 Areas: [25769631.431224648, 16710406.842781313, 22453267.805038705, 7004619.952499671, 12747550.397288008, 11357545.787776358]",382.2165,3.0,0.024442236601181163,12ca5
"Sel Score: 0.9 RTime: 1301.375 Areas: [22352241.923581664, 16841749.390934087, 136149803.94389477, 8950947.49490924, 6308500.913428563, 18820046.540670797]",470.0255,4.0,0.03985779067044449,12ca5
"Sel Score: 0.89 RTime: 3943.182 Areas: [3008039.127339811, 3592652.9334118874, 1422267.8689678262, 1462159.2459883457, 4205590.449843808, 3906841.4477636744]",941.0307,2.0,0.0021805587821769534,12ca5
"Sel Score: 0.89 RTime: 1515.745 Areas: [21030952.30995316, 9588417.609499311, 12141234.595587863, 17158181.210144624, 18304675.505445465, 14071272.846768532]",406.1978,4.0,0.006743368066506552,12ca5
"Sel Score: 0.88 RTime: 2937.429 Areas: [13929146.478954239, 17956398.024061516, 16030601.090477062, 12055296.879502213, 15639997.557620553, 9950639.894869443]",453.2451,4.0,0.002713448963260712,12ca5
"Sel Score: 0.87 RTime: 1262.224 Areas: [943254.2831627494, 6356728.857322837, 3035603.084693944, 13996011.181294274, 2204859.2837007083, 1071088.900305742]",395.1935,2.0,0.031154511294158586,12ca5
"Sel Score: 0.86 RTime: 2276.059 Areas: [12644893.432720827, 6704689.112353003, 10074918.507565446, 3271714.8916852027, 7865974.036891016, 5189631.174853592]",426.2057,2.0,0.0009217563529011172,12ca5
"Sel Score: 0.86 RTime: 1311.141 Areas: [24393022.346902188, 9891950.916904438, 7316511.710591528, 20627321.694600858, 17570671.821613036, 2821200.5713079367]",446.9715,2.0,0.009392704689524412,12ca5
"Sel Score: 0.84 RTime: 3303.985 Areas: [37109705.58776164, 16778618.662266646, 17634516.35336968, 22303556.299257226, 17170797.20985616, 11936023.249852499]",472.7463,2.0,0.009625266688890728,12ca5
"Sel Score: 0.84 RTime: 1451.658 Areas: [16211438.717428649, 11663492.908284653, 12462913.243190411, 8811534.16921528, 13959108.386614705, 5553244.902746392]",440.242,4.0,0.0003796176455989396,12ca5
"Sel Score: 0.84 RTime: 2964.06 Areas: [31053844.806950957, 17100040.803091466, 5883648.328965028, 14041671.055424675, 129112.77422640566, 12556079.412041757]",411.24,2.0,0.02441253688786454,12ca5
"Sel Score: 0.84 RTime: 2145.936 Areas: [23188351.134452697, 49515847.78052442, 9055142.153050296, 14195731.820166325, 4680692.5710057095, 3615976.2350844936]",383.2243,2.0,0.023240943342884214,12ca5
"Sel Score: 0.84 RTime: 1724.137 Areas: [31227426.13777759, 31086979.309230156, 56961025.46821071, 25071071.116693076, 7836030.243097218, 15867418.929816263]",438.7076,4.0,0.010450404604018174,12ca5
"Sel Score: 0.84 RTime: 1331.414 Areas: [29605384.183953334, 7966927.2574482355, 17064744.13625377, 23500958.743448872, 8890415.502230216, 8911027.072449705]",408.9756,4.0,0.03895654603277806,12ca5
"Sel Score: 0.83 RTime: 2273.287 Areas: [5845688.661758499, 12869263.24845226, 5295736.337344173, 19587188.817964982, 2291664.952199254, 8902556.616770929]",511.6138,3.0,0.0012027785388453208,12ca5
"Sel Score: 0.83 RTime: 1486.459 Areas: [18469397.479261823, 16498539.734781314, 22781060.511739664, 9816457.17901111, 13928460.49546915, 12826572.489649367]",398.4712,4.0,0.04494354698984104,12ca5
"Sel Score: 0.83 RTime: 919.435 Areas: [20249443.734665398, 21131150.6303808, 53809758.628383994, 17273195.520646624, 4370804.456187159, 18410062.07222585]",366.9783,5.0,0.005691059767581028,12ca5
"Sel Score: 0.83 RTime: 1296.945 Areas: [10533263.056207864, 6232575.41499196, 2630708.914185901, 4942073.130802183, 7589321.178822569, 2322123.50320707]",391.9611,4.0,0.018170741525698902,12ca5
"Sel Score: 0.83 RTime: 2923.774 Areas: [15766009.16798571, 11130616.915481457, 10732272.091781802, 9113862.11735267, 15734199.78651626, 15967912.53645873]",442.2371,4.0,0.017008173574913795,12ca5
"Sel Score: 0.83 RTime: 2891.813 Areas: [11189591.425032435, 6443641.717910285, 11089568.520549083, 7236197.268264868, 5482447.906286897, 1142466.1305415572]",432.2308,4.0,0.015826014582734256,12ca5
"Sel Score: 0.83 RTime: 1943.815 Areas: [12919059.438530045, 19058702.271720685, 12379068.755276026, 18822934.155456558, 13330388.66990816, 12570340.749186656]",420.7334,2.0,0.014377454285815893,12ca5
"Sel Score: 0.83 RTime: 2490.06 Areas: [14019623.348414155, 16398332.543145668, 8506325.13344976, 15609189.77894898, 3822227.5617333204, 4454561.529128347]",546.9704,3.0,0.007850238421927938,12ca5
"Sel Score: 0.82 RTime: 2387.657 Areas: [3693492.212116662, 5544169.304666021, 8841872.530590506, 5385238.924502238, 6118837.339530085, 1695406.019549423]",527.9511,3.0,0.018553329038785312,12ca5
"Sel Score: 0.82 RTime: 3369.256 Areas: [20757239.608455416, 20216018.578106474, 21246650.196395934, 11156770.444953235, 9771468.478486385, 19302264.323642336]",797.9147,2.0,0.02647939504426073,12ca5
"Sel Score: 0.82 RTime: 3137.859 Areas: [366760940.22705287, 229660420.54033, 225280620.9356322, 782309920.5166273, 1341861960.7898817, 771624960.6989373]",545.9615,3.0,0.030861808452702526,12ca5
"Sel Score: 0.82 RTime: 3876.459 Areas: [8121202.179841863, 22839786.362722162, 11743292.92778111, 10626924.741707725, 5682997.437317691, 12139678.737437544]",547.6177,3.0,0.01356308110203576,12ca5
"Sel Score: 0.82 RTime: 1643.136 Areas: [6182232.783921439, 1115988.5859918825, 6860935.289066426, 19183711.989487574, 7011885.85243022, 4029293.657950096]",390.2162,2.0,0.037613768197666396,12ca5
"Sel Score: 0.82 RTime: 2096.608 Areas: [18642570.04618834, 13565414.00842109, 9157151.695034845, 24783635.419564243, 10234037.10188152, 16529449.49645316]",550.9496,3.0,0.027389502230693336,12ca5
"Sel Score: 0.82 RTime: 1305.987 Areas: [17397847.37693731, 3261781.9903405244, 6687936.380502719, 3660153.8352159546, 6793755.218143028, 7620696.648794156]",391.9606,2.0,0.022333583923955506,12ca5
"Sel Score: 0.82 RTime: 3380.974 Areas: [14943841.110538337, 8776181.216098985, 16719731.104859967, 7732587.056071546, 22402112.576011453, 4249474.106142888]",465.2455,2.0,0.013141978757861177,12ca5
"Sel Score: 0.82 RTime: 2615.244 Areas: [12887565.641884683, 22946251.55829372, 19591950.344166357, 7658125.46261253, 4472153.167690128, 5617861.622251138]",396.2273,2.0,0.01455318241355459,12ca5
"Sel Score: 0.81 RTime: 1931.806 Areas: [13580031.948842373, 7196756.158834675, 7031678.003416594, 16545334.056570511, 8788507.956998507, 7305210.330225427]",451.9888,4.0,0.012318205134012767,12ca5
"Sel Score: 0.81 RTime: 2922.667 Areas: [22035748.55844228, 20286332.265685197, 21710425.202204745, 33553579.22952864, 8563764.361249128, 7730084.0710890945]",448.2451,2.0,0.020141465032006752,12ca5
"Sel Score: 0.81 RTime: 1411.932 Areas: [4902167.806183634, 8879046.013125125, 12908524.056341333, 19742514.863559637, 3232020.1671456224, 15285138.206214959]",409.9519,4.0,0.00318247428417879,12ca5
"Sel Score: 0.81 RTime: 2141.293 Areas: [14966789.268532291, 30434721.187269844, 70078572.6051021, 12184291.47843764, 14467276.146190725, 18165297.153046243]",399.4661,2.0,0.005344180176436064,12ca5
"Sel Score: 0.81 RTime: 1403.375 Areas: [9916518.852350436, 20654906.86710342, 24630980.44131446, 7375594.387242908, 8126209.048129633, 11497812.413378913]",439.2079,2.0,0.007396860447176919,12ca5
"Sel Score: 0.81 RTime: 1574.087 Areas: [27759271.23751499, 25879806.092149474, 29756741.139626745, 22747775.416452125, 14608604.16933742, 11317128.16585025]",355.1935,5.0,0.023397075752075863,12ca5
"Sel Score: 0.81 RTime: 1757.11 Areas: [17923660.15195207, 26763755.604047466, 10931772.795421837, 12289960.766122509, 20665722.20581282, 12365322.710464833]",438.7072,2.0,0.0070752765916050255,12ca5
"Sel Score: 0.81 RTime: 2247.131 Areas: [10057.0, 15159154.049036525, 28176462.66700631, 5129942.1392144505, 7083450.728236148, 8124610.521306744]",429.9949,2.0,0.026350123967222423,12ca5
