Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"Sel Score: 0.97 RTime: 19.281 Area: 62299825.75486327 All areas: [1461585.8203710045, 2175517.890880386, 1740763.3540081626, 82661611.04188326, 63738736.7718509, 40499129.450855635] p-value: 0.03825305861619253 original RTs: [0, 0, 0, 1171.597358456736, 1165.0514323593122, 1166.5632483646884]",,(no adduct),493.7679,2.0,9,29
"Sel Score: 0.95 RTime: 27.235 Area: 43404326.073827535 All areas: [680423.6531491138, 5848130.035125272, 848094.6908416264, 46303945.15842464, 30859027.142090604, 53050005.92096737] p-value: 0.019433171704378846 original RTs: [0, 0, 0, 0, 0, 1616.2245034740238]",,(no adduct),364.6443,3.0,17,37
"Sel Score: 0.89 RTime: 18.811 Area: 11425425.459480107 All areas: [780440.8704066484, 2594152.789324985, 1014987.2620381374, 10953228.594070131, 12679846.626398064, 10643201.157972129] p-value: 0.000325548019078745 original RTs: [0, 1195.052790624856, 1060.6399371428793, 0, 0, 0]",,(no adduct),448.9826,2.0,8,28
"Sel Score: 0.84 RTime: 88.372 Area: 4096451.9467758755 All areas: [368452.3442077345, 1413578.7059733523, 536374.1066465897, 5290567.75662382, 3849164.580471047, 3149623.503232759] p-value: 0.018490424553626983 original RTs: [0, 0, 0, 0, 5353.696102670825, 0]",,(no adduct),426.2455,2.0,78,98
"Sel Score: 0.81 RTime: 15.447 Area: 11692861.242275571 All areas: [4732412.455782194, 2194452.3238360942, 1475513.0396982785, 11214453.553237684, 13377943.3647578, 10486186.808831234] p-value: 0.0026472699729135946 original RTs: [893.6942574360968, 0, 0, 0, 0, 0]",,(no adduct),449.2311,4.0,5,25
"Sel Score: 0.79 RTime: 64.731 Area: 6465468.642025854 All areas: [2056495.5704601882, 1147132.3155241816, 2084134.1090881824, 5942573.697779938, 7735530.852681198, 5718301.3756164275] p-value: 0.007886687674165558 original RTs: [0, 0, 0, 0, 0, 3894.4033880619268]",,(no adduct),439.7503,2.0,54,74
"Sel Score: 0.78 RTime: 41.827 Area: 91303033.6211736 All areas: [40310920.42534744, 27998718.390390694, 10571790.547080053, 100396655.21732984, 74397877.05075681, 99114568.59543414] p-value: 0.0057748753267062155 original RTs: [2473.646156378287, 0, 0, 2560.1244517102086, 2542.1233189423324, 0]",,(no adduct),319.5044,5.0,31,51
"Sel Score: 0.77 RTime: 22.462 Area: 5378337.592550487 All areas: [628755.7040494208, 2473397.915326711, 1670128.7208401973, 4041396.6237577237, 4949376.2541830605, 7144239.899710676] p-value: 0.033995585997830494 original RTs: [0, 0, 1348.1148448654233, 0, 0, 0]",,(no adduct),443.2316,4.0,12,32
"Sel Score: 0.77 RTime: 15.938 Area: 13346522.99829416 All areas: [7965064.290572092, 2413498.288403775, 1489946.4236515288, 10953228.091682691, 12679846.2305114, 16406494.672688387] p-value: 0.0240311033139536 original RTs: [0, 972.4055671497589, 929.3394121470662, 0, 0, 938.2952348887839]",,(no adduct),448.9811,2.0,5,25
"Sel Score: 0.77 RTime: 42.217 Area: 15786928.469478672 All areas: [6843078.279615483, 7216394.367585162, 10219, 21838975.633051448, 13341896.249386279, 12179913.525998283] p-value: 0.04815810388578279 original RTs: [0, 0, 0, 2597.615211026075, 0, 0]",,(no adduct),442.735,4.0,32,52
"Sel Score: 0.77 RTime: 63.218 Area: 8917284.686784988 All areas: [3891551.7490606066, 1509602.599890354, 2714261.6734200497, 5663108.800863809, 10486829.24964939, 10601916.009841766] p-value: 0.04624333080054968 original RTs: [0, 3793.091377376705, 0, 0, 0, 0]",,(no adduct),621.643,3.0,53,73
