Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Sel Score: 0.97 p value: 3.825e-02 RTime: 19.281,,(no adduct),493.7679,2,9,29
Sel Score: 0.95 p value: 1.943e-02 RTime: 27.235,,(no adduct),364.6443,3,17,37
Sel Score: 0.89 p value: 3.255e-04 RTime: 18.811,,(no adduct),448.9826,2,8,28
Sel Score: 0.84 p value: 1.849e-02 RTime: 88.372,,(no adduct),426.2455,2,78,98
Sel Score: 0.81 p value: 2.647e-03 RTime: 15.447,,(no adduct),449.2311,4,5,25
Sel Score: 0.79 p value: 7.887e-03 RTime: 64.731,,(no adduct),439.7503,2,54,74
Sel Score: 0.78 p value: 5.775e-03 RTime: 41.827,,(no adduct),319.5044,5,31,51
Sel Score: 0.77 p value: 3.400e-02 RTime: 22.462,,(no adduct),443.2316,4,12,32
Sel Score: 0.77 p value: 2.403e-02 RTime: 15.938,,(no adduct),448.9811,2,5,25
Sel Score: 0.77 p value: 4.816e-02 RTime: 42.217,,(no adduct),442.735,4,32,52
Sel Score: 0.77 p value: 4.624e-02 RTime: 63.218,,(no adduct),621.643,3,53,73
Sel Score: 0.76 p value: 2.627e-02 RTime: 16.482,,(no adduct),363.6126,5,6,26
Sel Score: 0.76 p value: 1.561e-03 RTime: 32.345,,(no adduct),430.2356,4,22,42
Sel Score: 0.76 p value: 4.133e-02 RTime: 52.98,,(no adduct),420.7306,2,42,62
Sel Score: 0.76 p value: 1.705e-02 RTime: 26.465,,(no adduct),427.9112,2,16,36
Sel Score: 0.74 p value: 2.187e-02 RTime: 11.696,,(no adduct),554.4004,4,3,21
Sel Score: 0.74 p value: 4.919e-02 RTime: 86.688,,(no adduct),559.6208,3,76,96
Sel Score: 0.74 p value: 4.148e-03 RTime: 23.091,,(no adduct),435.4786,4,13,33
Sel Score: 0.74 p value: 3.598e-02 RTime: 67.711,,(no adduct),612.9663,3,57,77
Sel Score: 0.73 p value: 2.054e-02 RTime: 12.328,,(no adduct),554.3997,4,3,22
Sel Score: 0.73 p value: 6.337e-03 RTime: 42.297,,(no adduct),399.1289,4,32,52
