Compound,m/z,z,p value,specificity
"Sel Score: 0.97 RTime: 1156.838 Areas: [31886435.60763809, 14771476.533505512, 27575466.5628756, 20472019.507073447, 8993707.575151145, 14395120.341555197]",493.7679,2.0,0.03825305861619253,BeadsOnly
"Sel Score: 0.95 RTime: 1634.112 Areas: [14747296.436014088, 17023301.884360272, 24986880.040381324, 18131960.899686158, 9595952.237441305, 22467264.982510258]",364.6443,3.0,0.019433171704378846,BeadsOnly
"Sel Score: 0.89 RTime: 1128.641 Areas: [11834084.829875585, 5216678.808812395, 53082641.10269318, 6609290.916665858, 8012177.86165412, 13858663.384134505]",448.9826,2.0,0.000325548019078745,BeadsOnly
"Sel Score: 0.84 RTime: 5302.323 Areas: [10566162.541051123, 7823048.223431576, 15509230.511166846, 13975489.221829547, 10170494.474074433, 12592665.169627052]",426.2455,2.0,0.018490424553626983,BeadsOnly
"Sel Score: 0.81 RTime: 926.806 Areas: [29406429.563913003, 23672036.58029087, 30961710.29064316, 21266454.008931648, 10266.0, 9175642.59577665]",449.2311,4.0,0.0026472699729135946,BeadsOnly
"Sel Score: 0.79 RTime: 3883.854 Areas: [22277015.593362078, 6518482.394398817, 33984508.89796667, 12563531.846801676, 3642436.021037237, 17027606.38305431]",439.7503,2.0,0.007886687674165558,BeadsOnly
"Sel Score: 0.78 RTime: 2509.634 Areas: [38680047.299933754, 17343185.091434237, 6937486.134355519, 13368071.522167487, 12175553.565356273, 17804274.731960136]",319.5044,5.0,0.0057748753267062155,BeadsOnly
"Sel Score: 0.77 RTime: 1347.704 Areas: [36221681.47748329, 40361213.89945113, 40256221.978555985, 16758035.34213652, 11564263.962387677, 10816899.224166103]",443.2316,4.0,0.033995585997830494,BeadsOnly
"Sel Score: 0.77 RTime: 956.298 Areas: [8953604.895983402, 22953393.507016443, 32505563.62847994, 15736785.7005638, 19148376.811731655, 19904762.74879363]",448.9811,2.0,0.0240311033139536,BeadsOnly
"Sel Score: 0.77 RTime: 2533.015 Areas: [16999821.12918363, 4889602.672663924, 4198431.834679602, 8448153.127863264, 4848624.743195959, 3789999.245313154]",442.735,4.0,0.04815810388578279,BeadsOnly
"Sel Score: 0.77 RTime: 3793.091 Areas: [6814076.683295054, 6217025.673693738, 5962291.995711175, 19408335.22407257, 6089234.569259933, 9827559.853765601]",621.643,3.0,0.04624333080054968,BeadsOnly
"Sel Score: 0.76 RTime: 988.904 Areas: [11529402.377628746, 7563667.55102928, 22342176.45040919, 12362161.168829806, 9110456.019559132, 8478455.936516687]",363.6126,5.0,0.026267183081146433,BeadsOnly
"Sel Score: 0.76 RTime: 1940.697 Areas: [23737470.69716578, 20056467.2676193, 16393213.82921332, 13391443.857071307, 12173580.98526128, 14407034.30741524]",430.2356,4.0,0.001560813385600656,BeadsOnly
"Sel Score: 0.76 RTime: 3178.784 Areas: [27182729.090649858, 27155281.37088533, 19605088.405543026, 12562322.548107738, 22353349.36674881, 11099186.846061109]",420.7306,2.0,0.041333090601849545,BeadsOnly
"Sel Score: 0.76 RTime: 1587.878 Areas: [8476274.32796849, 11976964.305643236, 3847177.1409828425, 2976134.9654901996, 21565223.341437142, 9805040.759033607]",427.9112,2.0,0.0170508372472041,BeadsOnly
"Sel Score: 0.74 RTime: 701.755 Areas: [7182145.5761797065, 5271479.011581907, 10559596.293995034, 5657059.951705408, 5478851.813889691, 6598623.859345403]",554.4004,4.0,0.021869962034200316,BeadsOnly
"Sel Score: 0.74 RTime: 5201.258 Areas: [9301584.903008949, 22432832.730833635, 19309645.32860112, 15817298.348744847, 7774440.677056827, 3349427.7719307006]",559.6208,3.0,0.04918536710032925,BeadsOnly
"Sel Score: 0.74 RTime: 1385.48 Areas: [5347721.63588155, 4570805.831169982, 6484837.264849789, 23319366.277774405, 1948298.919011694, 9031972.445586089]",435.4786,4.0,0.004147778151837008,BeadsOnly
"Sel Score: 0.74 RTime: 4062.652 Areas: [15279891.707357807, 26709026.893222477, 4832652.437793697, 6013185.405895483, 5710805.985140484, 5053417.762753125]",612.9663,3.0,0.03598449985612805,BeadsOnly
"Sel Score: 0.73 RTime: 739.658 Areas: [4542051.459050838, 14862598.140223464, 21972223.418385334, 9903591.388481513, 5987968.652982182, 7159997.79777485]",554.3997,4.0,0.020536085784865075,BeadsOnly
"Sel Score: 0.73 RTime: 2537.795 Areas: [20932454.57528008, 13711628.484945903, 18760320.046986107, 10228028.132468509, 13465708.351026777, 8609334.283513272]",399.1289,4.0,0.006336971884106486,BeadsOnly
"Sel Score: 0.73 RTime: 709.291 Areas: [11353983.240618184, 11747110.76256675, 10260258.860133363, 8409713.049962506, 11739505.99250783, 17792774.959735174]",554.4021,2.0,0.03242287052614453,BeadsOnly
"Sel Score: 0.73 RTime: 1132.227 Areas: [12887565.641884683, 22946251.55829372, 19591950.344166357, 7658125.46261253, 4472153.167690128, 5617861.622251138]",410.7391,2.0,0.04161771056602721,BeadsOnly
"Sel Score: 0.73 RTime: 2527.523 Areas: [15316369.153015679, 1761484.348371894, 4606732.639645375, 8235281.156030024, 2950922.353223854, 4257077.3729036525]",319.304,5.0,0.011180576332897485,BeadsOnly
"Sel Score: 0.73 RTime: 1457.141 Areas: [13872721.483820979, 12637027.525015857, 30164264.56309158, 14086606.87379088, 9211963.404448083, 18901979.90445231]",389.975,2.0,0.023110848273310114,BeadsOnly
"Sel Score: 0.72 RTime: 1330.034 Areas: [7486558.797143742, 9374884.424784139, 14625665.285026204, 12391659.381530717, 7846284.868785671, 6425763.423284013]",408.7241,4.0,0.04239563356026494,BeadsOnly
"Sel Score: 0.71 RTime: 3233.569 Areas: [12049784.622787343, 13777260.903004492, 9892090.684657726, 8275096.29809314, 8207180.857006087, 10780363.624040216]",472.7298,2.0,0.025512700287702385,BeadsOnly
"Sel Score: 0.71 RTime: 979.438 Areas: [27419075.11290366, 25723572.143467844, 10630555.605371203, 21399397.096460626, 10694958.916464342, 19487519.190421805]",387.5619,3.0,0.023055875584391528,BeadsOnly
"Sel Score: 0.71 RTime: 2009.912 Areas: [20391310.148708552, 8039093.033256571, 4856652.920658215, 12071609.06346174, 12184188.392384203, 3077527.7738005375]",427.4785,4.0,0.036542200832484086,BeadsOnly
"Sel Score: 0.7 RTime: 1910.589 Areas: [7705193.901953267, 22857880.541213036, 13829058.87160212, 9768316.513751328, 19450182.856284663, 11004729.787466135]",396.218,2.0,0.04503359251069934,BeadsOnly
"Sel Score: 0.7 RTime: 1479.392 Areas: [22407461.59339216, 33365293.395310286, 26817725.775201198, 16752081.852057893, 18029547.53062687, 24299256.26436992]",438.9979,4.0,0.03876601294812151,BeadsOnly
"Sel Score: 0.7 RTime: 1333.922 Areas: [11189591.425032435, 6443641.717910285, 11089568.520549083, 7236197.268264868, 5482447.906286897, 1142466.1305415572]",362.2091,5.0,0.034981672345885007,BeadsOnly
"Sel Score: 0.69 RTime: 3837.681 Areas: [7779907.001262641, 24131532.393990315, 18403835.142992914, 14103841.361654717, 6921711.975914631, 31631108.700801164]",562.9822,3.0,0.029810286844348614,BeadsOnly
"Sel Score: 0.69 RTime: 3670.054 Areas: [30142533.845814727, 34977299.65849734, 33572037.933439136, 15308181.429935459, 15206807.388490971, 23797955.658593923]",570.9773,3.0,0.010894769264538327,BeadsOnly
"Sel Score: 0.69 RTime: 1410.062 Areas: [25773969.83394214, 30487766.249213412, 22995802.020524804, 14729541.714469973, 13789781.187149104, 10304001.763000133]",349.1956,5.0,0.029528306874468592,BeadsOnly
"Sel Score: 0.68 RTime: 3673.374 Areas: [14421367.066842329, 12233389.540391738, 3926316.938106319, 13706437.213734366, 8070241.424945164, 7932256.192998201]",587.9748,3.0,0.016474259481791063,BeadsOnly
"Sel Score: 0.68 RTime: 5204.237 Areas: [22708577.65569982, 5774242.237040112, 11507991.450047947, 5088648.818336037, 5221476.0336698955, 8198385.71388872]",793.7226,2.0,0.04549843303001022,BeadsOnly
"Sel Score: 0.68 RTime: 1774.398 Areas: [13201038.88817057, 21865737.880232435, 6164180.45374441, 16214159.51515905, 5614209.399309307, 12159649.906805357]",334.9888,5.0,0.03476580832998637,BeadsOnly
"Sel Score: 0.68 RTime: 929.165 Areas: [13678274.356177134, 20319504.47591159, 56822026.366294116, 22191359.87928507, 4411155.646331405, 15261282.396948434]",387.562,2.0,0.047482561395475374,BeadsOnly
"Sel Score: 0.68 RTime: 4399.719 Areas: [366760940.22705287, 229660420.54033, 225280620.9356322, 782309920.5166273, 1341861960.7898817, 771624960.6989373]",779.9103,2.0,0.02715622435000217,BeadsOnly
"Sel Score: 0.68 RTime: 1328.96 Areas: [18147010.001262926, 19943127.338229276, 33804082.316908866, 28189436.804323863, 16576275.380123619, 14328738.854547532]",439.2441,4.0,0.0025152482475191643,BeadsOnly
"Sel Score: 0.68 RTime: 2307.554 Areas: [26888073.504828673, 23238398.37705781, 28296083.968943495, 6160354.096375275, 7360843.075386776, 16570966.892619094]",424.7258,2.0,0.008961099423226633,BeadsOnly
"Sel Score: 0.67 RTime: 1403.778 Areas: [26661589.96659171, 5083285.580862304, 9816338.290785503, 8580387.273272023, 21745580.083429173, 3342371.2067690133]",396.2176,4.0,0.043888272689589496,BeadsOnly
"Sel Score: 0.67 RTime: 1718.913 Areas: [19573429.62457966, 23387139.55283007, 17002829.17013509, 9258133.597942282, 13867149.776415005, 8685946.682327187]",333.3884,5.0,0.039233289317039614,BeadsOnly
"Sel Score: 0.67 RTime: 1859.567 Areas: [16359482.804319143, 18488090.749321252, 20087504.387289368, 4473831.520921601, 11011976.406689683, 6784546.341123441]",415.7393,2.0,0.0026962375381845696,BeadsOnly
