m/z,RT (min),z,Obs Mass,Specificity,P-value,SelScore 12ca5,SelScore Intstd 12ca5,Ln(Concentration-Dependent Enrichment) 12ca5,SelScore BeadsOnly,SelScore Intstd BeadsOnly,Ln(Concentration-Dependent Enrichment) BeadsOnly,Areas_toberemoved_12ca5,yint_toberemoved_12ca5,Slope_toberemoved_12ca5,Areas_toberemoved_BeadsOnly,yint_toberemoved_BeadsOnly,Slope_toberemoved_BeadsOnly,Area of Beads Only Reference,SelScore Rank 12ca5,SelScore Intstd Rank 12ca5,Concentration-Dependent Enrichment Rank 12ca5,Total Rank 12ca5,Total Intstd Rank 12ca5
384.72807943062105,12.13328887542305,2.0,767.4416059212421,12ca5,0.02430006108448222,0.9991465588903874,417549879.90199065,18.379174832743253,0.0008534411096126646,356658.6199505532,3.467929503483894,"((1, 139183293.1697707), (0.6, 229168.49691415727), (0.3, 148324.47564750598))",137084.32445471673,95934366.44437009,"((1, 137084.33500331975), (0.6, 137084.14913060152), (0.3, 137084.48923022888))",137084.32445471673,-0.031181525109361008,137084.32445471673,0,2,2,2,4
384.72807760183326,11.283500432464631,4.0,1534.883204527333,12ca5,0.024300299755033766,0.9991416527147462,417549880.38328385,18.379379871586853,0.0008583472852537284,358710.7046445338,-2.8557625351487204,"((1, 139183293.17233446), (0.6, 217115.24718336845), (0.3, 152261.1187038332))",118886.73338636207,95954038.73265,"((1, 118886.88807906989), (0.6, 118886.65041113041), (0.3, 118886.66166888596))",118886.73338636207,0.05751194951321914,118886.73338636207,2,1,1,3,2
384.72819597092445,11.970078209615213,4.0,1534.8836780036977,12ca5,0.024300061585269404,0.9991465567708812,417549879.51638603,18.37905730698568,0.0008534432291187842,356659.50613323407,2.422067168567205,"((1, 139183293.24274865), (0.6, 209793.05577078776), (0.3, 132582.9936291043))",137084.06220313537,95923092.34778756,"((1, 137083.78106261816), (0.6, 137084.28929737845), (0.3, 137084.11624940945))",137084.06220313537,-0.08873799134528393,137084.06220313537,1,3,3,4,6
477.9323098092484,31.673735891287105,3.0,1430.7751000177452,12ca5,0.0006622547942201875,0.9959639957597431,604384602.8975313,19.009965954147575,0.0040360042402569005,2449183.7359840185,0.17279212882551856,"((1, 201461535.06021187), (0.6, 105249584.39883596), (0.3, 1848892.4050112942))",1986600.0615824242,180269940.3611692,"((1, 1986598.4771714984), (0.6, 1986599.6921976134), (0.3, 1986602.0153781604))",1986600.0615824242,-0.8413124812827377,1986600.0615824242,4,0,0,4,0
908.4285518687437,67.53462587973436,2.0,1814.8425507974875,12ca5,0.006150000718082151,0.9613973113552777,133307320.11578837,17.889214521150755,0.038602688644722376,5352647.559662707,-0.17875338965984156,"((1, 42935039.99180276), (0.6, 75440158.30710977), (0.3, 1501295.420415864))",1803605.3036869436,58774257.60357806,"((1, 1803606.5001033756), (0.6, 1803606.5542239372), (0.3, 1803602.856733517))",1803605.3036869436,0.8363121171839685,1803605.3036869436,16,12,6,22,18
510.53033214667784,31.656094588159085,2.0,1019.0461113533556,12ca5,0.049485173724505074,0.9809296928898481,145309608.2923652,17.296566801493512,0.019070307110152,2824971.938638695,-1.1935823900721927,"((1, 48436536.90105631), (0.6, 463157.85314510786), (0.3, 636825.538401565))",941653.7249106304,32494025.560494937,"((1, 941653.7196733543), (0.6, 941655.2022755636), (0.3, 941652.2527829729))",941653.7249106304,0.30313337461619905,941653.7249106304,11,10,11,22,21
512.6350337754503,11.80730781540208,3.0,1534.883271916351,12ca5,0.038367826186606405,0.9976623618166308,87876038.09551118,16.819630019922595,0.0023376381833691406,205903.71043086876,-2.9003590895883113,"((1, 29292012.722492144), (0.6, 99234.15462216378), (0.3, 77020.98792898144))",68635.91139205074,20168449.188164398,"((1, 68565.37246761569), (0.6, 68712.62896440078), (0.3, 68629.7327441357))",68635.91139205074,-18.180672687697555,68635.91139205074,3,53,19,22,72
510.5291074045572,31.668063394921152,4.0,2038.0873237382286,12ca5,0.049717940088719215,0.9788256064278421,145309612.31503925,17.29306662165041,0.021174393572157755,3143402.564022648,0.3475659027505024,"((1, 48436535.740124546), (0.6, 463167.3317834555), (0.3, 760326.4470379064))",1047802.3650489884,32380489.44153767,"((1, 1047799.3890922135), (0.6, 1047805.8946551816), (0.3, 1047801.8113995703))",1047802.3650489884,-0.7064054583328352,1047802.3650489884,12,9,12,24,21
510.2795323303664,31.18766788421122,2.0,1018.5445117207328,12ca5,0.011551879093204053,0.9633388119472996,164297531.78606963,17.397453193263193,0.03666118805270037,6252569.329401344,2.2735368948277817,"((1, 54765841.69980723), (0.6, 1342103.5537464663), (0.3, 1688801.8200307395))",2084190.8465899809,35943297.78801986,"((1, 2084190.4660181475), (0.6, 2084191.2370117158), (0.3, 2084190.83674008))",2084190.8465899809,-0.102947421204862,2084190.8465899809,15,6,9,24,15
579.562812681273,20.75814793309771,4.0,2314.2221448450923,12ca5,0.011904368479873681,0.9823559957753508,95980444.44093539,16.880261347207593,0.01764400422464918,1723895.7918335358,0.32775100654397227,"((1, 31993483.428699683), (0.6, 190161.05709690694), (0.3, 188149.7946750935))",574631.3962468775,21429120.9542398,"((1, 574630.3043419665), (0.6, 574630.4614034038), (0.3, 574633.4229952622))",574631.3962468775,-0.7205424077154658,574631.3962468775,7,44,17,24,61
908.9304375609773,69.4896676798587,2.0,1815.8463221819547,12ca5,0.003390763708074186,0.9549182574508802,115686257.90958075,17.94991506582571,0.04508174254911978,5461554.488939134,3.1264102678296912,"((1, 37844458.99205881), (0.6, 91241896.82268946), (0.3, 1836961.6601866353))",1360378.8234380705,62452390.087786645,"((1, 1360378.9048714445), (0.6, 1360378.4213642986), (0.3, 1360379.144078468))",1360378.8234380705,-0.043875014450953875,1360378.8234380705,20,17,5,25,22
498.53631097245164,20.748221790349145,4.0,1990.1161380098065,12ca5,0.007691795445606179,0.9576191745713224,209971363.4279975,17.60788785798316,0.04238082542867758,9292587.21500319,-0.9077508830591623,"((1, 69990455.79146834), (0.6, 207002.0809478848), (0.3, 317213.40536968684))",3097528.3575680284,44361736.17510347,"((1, 3097529.050662397), (0.6, 3097528.6902622296), (0.3, 3097527.331779459))",3097528.3575680284,0.4034305669385351,3097528.3575680284,18,4,8,26,12
