Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 196 Sel Score: 0.78 CDE: 14.6836 p value: 4.710e-02 RTime: 21.917,,(no adduct),461.7574,2,11,31
Overall rank: 176 Sel Score: 0.75 CDE: 15.0122 p value: 4.344e-02 RTime: 21.748,,(no adduct),438.5096,4,11,31
Overall rank: 204 Sel Score: 0.74 CDE: 14.8492 p value: 1.424e-02 RTime: 21.968,,(no adduct),442.253,2,11,31
Overall rank: 216 Sel Score: 0.73 CDE: 14.8437 p value: 1.048e-02 RTime: 21.682,,(no adduct),463.5172,2,11,31
Overall rank: 234 Sel Score: 0.73 CDE: 14.7039 p value: 2.638e-03 RTime: 21.973,,(no adduct),430.9977,4,11,31
Overall rank: 301 Sel Score: 0.72 CDE: 14.0218 p value: 1.285e-01 RTime: 21.59,,(no adduct),443.2617,4,11,31
Overall rank: 328 Sel Score: 0.71 CDE: 13.8005 p value: 9.404e-02 RTime: 21.617,,(no adduct),446.2531,4,11,31
Overall rank: 241 Sel Score: 0.7 CDE: 14.9833 p value: 1.119e-01 RTime: 21.754,,(no adduct),432.2354,2,11,31
Overall rank: 274 Sel Score: 0.66 CDE: 15.1422 p value: 9.977e-02 RTime: 21.998,,(no adduct),446.2606,2,11,31
Overall rank: 257 Sel Score: 0.66 CDE: 15.3479 p value: 2.559e-02 RTime: 21.905,,(no adduct),434.5075,4,11,31
Overall rank: 387 Sel Score: 0.68 CDE: 13.071 p value: 4.883e-02 RTime: 22.018,,(no adduct),421.4984,2,12,32
Overall rank: 401 Sel Score: 0.67 CDE: 12.9894 p value: 7.821e-02 RTime: 22.564,,(no adduct),443.5116,2,12,32
Overall rank: 420 Sel Score: 0.66 CDE: 12.9168 p value: 3.961e-02 RTime: 22.524,,(no adduct),457.508,4,12,32
Overall rank: 396 Sel Score: 0.65 CDE: 14.1949 p value: 4.933e-02 RTime: 22.049,,(no adduct),441.4881,2,12,32
Overall rank: 455 Sel Score: 0.63 CDE: 12.9542 p value: 8.887e-02 RTime: 22.2,,(no adduct),456.2518,2,12,32
Overall rank: 468 Sel Score: 0.63 CDE: 11.4576 p value: 6.246e-02 RTime: 22.193,,(no adduct),449.7534,4,12,32
Overall rank: 394 Sel Score: 0.62 CDE: 14.5961 p value: 1.311e-01 RTime: 22.179,,(no adduct),410.4944,4,12,32
Overall rank: 447 Sel Score: 0.61 CDE: 14.1424 p value: 6.256e-02 RTime: 22.19,,(no adduct),430.232,4,12,32
Overall rank: 388 Sel Score: 0.61 CDE: 14.8198 p value: 3.418e-02 RTime: 22.657,,(no adduct),411.9915,4,12,32
Overall rank: 394 Sel Score: 0.58 CDE: 14.8795 p value: 5.147e-02 RTime: 22.733,,(no adduct),413.7304,2,12,32
Overall rank: 328 Sel Score: 0.73 CDE: 12.0829 p value: 1.064e-01 RTime: 23.795,,(no adduct),449.0115,2,13,33
Overall rank: 317 Sel Score: 0.69 CDE: 14.3132 p value: 1.507e-02 RTime: 23.715,,(no adduct),398.2409,2,13,33
Overall rank: 394 Sel Score: 0.67 CDE: 13.3618 p value: 7.050e-02 RTime: 23.824,,(no adduct),455.509,4,13,33
Overall rank: 408 Sel Score: 0.67 CDE: 13.0237 p value: 5.344e-02 RTime: 23.788,,(no adduct),418.2256,4,13,33
Overall rank: 429 Sel Score: 0.65 CDE: 13.0161 p value: 4.672e-02 RTime: 23.619,,(no adduct),434.9743,4,13,33
Overall rank: 428 Sel Score: 0.64 CDE: 13.5834 p value: 5.669e-02 RTime: 23.033,,(no adduct),388.9697,2,13,33
Overall rank: 388 Sel Score: 0.63 CDE: 14.3725 p value: 7.887e-02 RTime: 23.358,,(no adduct),441.493,2,13,33
Overall rank: 337 Sel Score: 0.63 CDE: 14.9557 p value: 8.325e-02 RTime: 23.027,,(no adduct),445.5013,2,13,33
Overall rank: 336 Sel Score: 0.61 CDE: 15.1077 p value: 4.121e-02 RTime: 23.423,,(no adduct),418.7407,2,13,33
Overall rank: 309 Sel Score: 0.6 CDE: 15.392 p value: 3.487e-02 RTime: 23.517,,(no adduct),412.4817,2,13,33
Overall rank: 311 Sel Score: 0.71 CDE: 14.0844 p value: 8.122e-02 RTime: 24.627,,(no adduct),422.2405,2,14,34
Overall rank: 256 Sel Score: 0.7 CDE: 14.916 p value: 1.311e-01 RTime: 24.515,,(no adduct),432.7384,4,14,34
Overall rank: 340 Sel Score: 0.69 CDE: 14.1239 p value: 1.074e-01 RTime: 24.346,,(no adduct),452.2495,4,14,34
Overall rank: 265 Sel Score: 0.69 CDE: 14.9527 p value: 1.396e-02 RTime: 24.96,,(no adduct),440.7311,2,14,34
Overall rank: 378 Sel Score: 0.69 CDE: 13.2099 p value: 5.817e-02 RTime: 24.089,,(no adduct),465.2569,2,14,34
Overall rank: 327 Sel Score: 0.66 CDE: 14.7984 p value: 5.922e-02 RTime: 24.718,,(no adduct),419.2356,4,14,34
Overall rank: 337 Sel Score: 0.65 CDE: 14.7081 p value: 1.105e-01 RTime: 24.894,,(no adduct),425.47,2,14,34
Overall rank: 274 Sel Score: 0.65 CDE: 15.3475 p value: 5.036e-02 RTime: 24.674,,(no adduct),415.9908,2,14,34
Overall rank: 403 Sel Score: 0.63 CDE: 14.2154 p value: 2.639e-02 RTime: 24.677,,(no adduct),431.2326,2,14,34
Overall rank: 418 Sel Score: 0.63 CDE: 14.0676 p value: 1.307e-01 RTime: 24.33,,(no adduct),466.2604,2,14,34
