Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 2155 Sel Score: 0.99 CDE: 14.8607 p value: 1.034e-01 RTime: 19.997,,(no adduct),327.5886,5,9,29
Overall rank: 1194 Sel Score: 0.99 CDE: 15.4583 p value: 7.843e-02 RTime: 19.365,,(no adduct),353.3989,5,9,29
Overall rank: 888 Sel Score: 0.94 CDE: 15.6351 p value: 1.971e-02 RTime: 19.863,,(no adduct),339.1842,5,9,29
Overall rank: 1757 Sel Score: 0.92 CDE: 15.1732 p value: 9.680e-02 RTime: 19.981,,(no adduct),349.8137,5,9,29
Overall rank: 778 Sel Score: 0.89 CDE: 15.7186 p value: 1.303e-02 RTime: 19.962,,(no adduct),341.7926,5,9,29
Overall rank: 1269 Sel Score: 0.86 CDE: 15.4708 p value: 1.016e-01 RTime: 19.521,,(no adduct),344.4062,5,9,29
Overall rank: 547 Sel Score: 0.82 CDE: 16.0983 p value: 1.226e-01 RTime: 19.835,,(no adduct),347.8053,5,9,29
Overall rank: 644 Sel Score: 0.81 CDE: 16.1073 p value: 8.046e-02 RTime: 19.995,,(no adduct),356.8023,5,9,29
Overall rank: 1337 Sel Score: 0.8 CDE: 15.6645 p value: 6.778e-02 RTime: 19.593,,(no adduct),359.0112,5,9,29
Overall rank: 1651 Sel Score: 0.73 CDE: 16.0959 p value: 8.980e-02 RTime: 19.988,,(no adduct),421.2394,2,9,29
Overall rank: 2028 Sel Score: 0.83 CDE: 15.1277 p value: 1.693e-02 RTime: 20.565,,(no adduct),329.7907,5,10,30
Overall rank: 1784 Sel Score: 0.83 CDE: 15.2788 p value: 3.522e-03 RTime: 20.986,,(no adduct),343.7991,5,10,30
Overall rank: 1741 Sel Score: 0.78 CDE: 15.5409 p value: 7.687e-02 RTime: 20.012,,(no adduct),366.7974,5,10,30
Overall rank: 1948 Sel Score: 0.75 CDE: 15.6832 p value: 3.660e-02 RTime: 20.511,,(no adduct),432.9732,4,10,30
Overall rank: 3837 Sel Score: 0.74 CDE: 14.3581 p value: 4.194e-02 RTime: 20.996,,(no adduct),367.2093,5,10,30
Overall rank: 2272 Sel Score: 0.74 CDE: 15.5881 p value: 1.144e-01 RTime: 20.956,,(no adduct),351.6014,5,10,30
Overall rank: 2051 Sel Score: 0.73 CDE: 15.7627 p value: 9.203e-02 RTime: 20.178,,(no adduct),355.6007,5,10,30
Overall rank: 1824 Sel Score: 0.72 CDE: 16.0959 p value: 1.199e-01 RTime: 20.521,,(no adduct),427.986,2,10,30
Overall rank: 3342 Sel Score: 0.71 CDE: 15.2008 p value: 1.075e-01 RTime: 20.108,,(no adduct),414.2493,4,10,30
Overall rank: 3239 Sel Score: 0.71 CDE: 15.3297 p value: 1.308e-01 RTime: 20.535,,(no adduct),400.2304,4,10,30
Overall rank: 3391 Sel Score: 0.79 CDE: 13.8156 p value: 5.044e-02 RTime: 21.586,,(no adduct),368.6065,5,11,31
Overall rank: 3390 Sel Score: 0.77 CDE: 14.2821 p value: 3.106e-02 RTime: 21.807,,(no adduct),350.1956,5,11,31
Overall rank: 3748 Sel Score: 0.74 CDE: 14.4141 p value: 6.364e-02 RTime: 21.706,,(no adduct),327.5955,5,11,31
Overall rank: 3848 Sel Score: 0.74 CDE: 14.3632 p value: 2.308e-02 RTime: 21.996,,(no adduct),331.3951,5,11,31
Overall rank: 3464 Sel Score: 0.74 CDE: 14.8494 p value: 4.277e-02 RTime: 21.984,,(no adduct),352.3937,5,11,31
Overall rank: 3401 Sel Score: 0.73 CDE: 15.0063 p value: 1.146e-01 RTime: 21.821,,(no adduct),365.3986,5,11,31
Overall rank: 4310 Sel Score: 0.73 CDE: 12.4774 p value: 1.007e-01 RTime: 21.766,,(no adduct),321.5877,5,11,31
Overall rank: 3780 Sel Score: 0.69 CDE: 15.1823 p value: 3.226e-02 RTime: 21.929,,(no adduct),347.398,5,11,31
Overall rank: 3764 Sel Score: 0.68 CDE: 15.2304 p value: 1.034e-01 RTime: 21.5,,(no adduct),354.1943,5,11,31
Overall rank: 5634 Sel Score: 0.59 CDE: 12.8145 p value: 5.082e-02 RTime: 21.79,,(no adduct),369.1985,5,11,31
Overall rank: 3898 Sel Score: 0.75 CDE: 13.4597 p value: 8.506e-03 RTime: 22.164,,(no adduct),329.7937,5,12,32
Overall rank: 3991 Sel Score: 0.73 CDE: 14.2973 p value: 5.344e-02 RTime: 22.25,,(no adduct),339.5915,5,12,32
Overall rank: 4508 Sel Score: 0.71 CDE: 12.9861 p value: 3.968e-02 RTime: 22.13,,(no adduct),355.8023,5,12,32
Overall rank: 4344 Sel Score: 0.71 CDE: 14.2734 p value: 2.421e-02 RTime: 22.628,,(no adduct),337.3997,5,12,32
Overall rank: 4784 Sel Score: 0.67 CDE: 14.4364 p value: 6.570e-02 RTime: 22.081,,(no adduct),341.4021,5,12,32
Overall rank: 3748 Sel Score: 0.67 CDE: 15.3229 p value: 1.000e-01 RTime: 22.219,,(no adduct),360.399,5,12,32
Overall rank: 4327 Sel Score: 0.67 CDE: 15.0061 p value: 7.150e-02 RTime: 22.776,,(no adduct),395.4631,2,12,32
Overall rank: 4417 Sel Score: 0.66 CDE: 15.0101 p value: 7.730e-02 RTime: 22.113,,(no adduct),358.9953,5,12,32
Overall rank: 5304 Sel Score: 0.63 CDE: 14.2221 p value: 7.583e-02 RTime: 22.962,,(no adduct),334.3903,5,12,32
Overall rank: 5523 Sel Score: 0.6 CDE: 13.9271 p value: 1.277e-01 RTime: 22.163,,(no adduct),358.8019,5,12,32
Overall rank: 3498 Sel Score: 0.78 CDE: 13.0761 p value: 3.906e-03 RTime: 23.324,,(no adduct),343.1869,5,13,33
Overall rank: 2856 Sel Score: 0.74 CDE: 15.2149 p value: 5.915e-02 RTime: 23.979,,(no adduct),348.7946,5,13,33
Overall rank: 3729 Sel Score: 0.73 CDE: 14.6488 p value: 4.745e-02 RTime: 23.352,,(no adduct),404.4796,2,13,33
Overall rank: 4084 Sel Score: 0.71 CDE: 14.6052 p value: 3.937e-02 RTime: 23.523,,(no adduct),352.1885,5,13,33
Overall rank: 3783 Sel Score: 0.68 CDE: 15.2025 p value: 1.142e-01 RTime: 23.77,,(no adduct),432.4704,4,13,33
Overall rank: 4594 Sel Score: 0.67 CDE: 14.6756 p value: 5.340e-02 RTime: 23.134,,(no adduct),351.5885,5,13,33
Overall rank: 4257 Sel Score: 0.67 CDE: 15.077 p value: 1.040e-01 RTime: 23.279,,(no adduct),415.2344,2,13,33
Overall rank: 5119 Sel Score: 0.65 CDE: 14.2569 p value: 6.245e-02 RTime: 23.932,,(no adduct),384.7258,2,13,33
Overall rank: 5242 Sel Score: 0.64 CDE: 14.0845 p value: 1.911e-02 RTime: 23.953,,(no adduct),427.4699,4,13,33
Overall rank: 5340 Sel Score: 0.59 CDE: 14.4311 p value: 1.091e-01 RTime: 23.343,,(no adduct),428.2397,2,13,33
Overall rank: 2749 Sel Score: 0.8 CDE: 14.7297 p value: 1.149e-01 RTime: 24.655,,(no adduct),423.2147,4,14,34
Overall rank: 3833 Sel Score: 0.75 CDE: 13.8102 p value: 8.238e-02 RTime: 24.516,,(no adduct),342.589,5,14,34
Overall rank: 3147 Sel Score: 0.75 CDE: 14.9934 p value: 5.604e-02 RTime: 24.702,,(no adduct),441.9745,2,14,34
Overall rank: 4097 Sel Score: 0.68 CDE: 15.0033 p value: 8.015e-02 RTime: 24.906,,(no adduct),353.3897,5,14,34
