Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 58 Sel Score: 0.97 CDE: 15.4426 p value: 3.394e-02 RTime: 52.651,,(no adduct),876.0752,2,42,62
Overall rank: 14 Sel Score: 0.97 CDE: 15.9935 p value: 1.564e-02 RTime: 51.772,,(no adduct),876.0757,2,41,61
Overall rank: 225 Sel Score: 0.96 CDE: 13.7313 p value: 2.836e-02 RTime: 23.204,,(no adduct),556.7007,4,13,33
Overall rank: 59 Sel Score: 0.92 CDE: 15.4623 p value: 4.829e-03 RTime: 22.067,,(no adduct),445.7646,2,12,32
Overall rank: 82 Sel Score: 0.9 CDE: 15.3642 p value: 5.084e-03 RTime: 22.179,,(no adduct),448.2657,2,12,32
Overall rank: 120 Sel Score: 0.89 CDE: 15.0328 p value: 9.899e-02 RTime: 21.531,,(no adduct),445.7651,2,11,31
Overall rank: 76 Sel Score: 0.87 CDE: 15.3818 p value: 4.931e-02 RTime: 82.416,,(no adduct),544.2755,3,72,92
Overall rank: 144 Sel Score: 0.87 CDE: 14.9099 p value: 1.295e-01 RTime: 24.305,,(no adduct),451.2486,2,14,34
Overall rank: 188 Sel Score: 0.87 CDE: 14.4042 p value: 3.540e-03 RTime: 118.255,,(no adduct),604.9918,3,108,120
Overall rank: 141 Sel Score: 0.87 CDE: 14.9416 p value: 9.688e-04 RTime: 22.328,,(no adduct),448.7593,4,12,32
Overall rank: 182 Sel Score: 0.86 CDE: 14.5037 p value: 4.468e-03 RTime: 22.644,,(no adduct),449.5164,2,12,32
Overall rank: 149 Sel Score: 0.85 CDE: 14.8999 p value: 1.150e-01 RTime: 22.617,,(no adduct),466.2561,2,12,32
Overall rank: 186 Sel Score: 0.85 CDE: 14.4844 p value: 3.111e-02 RTime: 23.163,,(no adduct),454.7632,2,13,33
Overall rank: 234 Sel Score: 0.84 CDE: 13.8144 p value: 2.191e-02 RTime: 119.848,,(no adduct),634.3411,3,109,120
Overall rank: 121 Sel Score: 0.84 CDE: 15.0822 p value: 8.887e-02 RTime: 22.613,,(no adduct),460.5088,2,12,32
Overall rank: 68 Sel Score: 0.83 CDE: 15.5065 p value: 8.501e-02 RTime: 21.98,,(no adduct),440.2606,2,11,31
Overall rank: 167 Sel Score: 0.83 CDE: 14.7531 p value: 5.063e-02 RTime: 23.561,,(no adduct),443.0159,2,13,33
Overall rank: 144 Sel Score: 0.83 CDE: 14.9555 p value: 2.376e-02 RTime: 22.723,,(no adduct),464.5083,2,12,32
Overall rank: 34 Sel Score: 0.83 CDE: 15.9476 p value: 2.674e-03 RTime: 22.397,,(no adduct),435.2484,2,12,32
Overall rank: 130 Sel Score: 0.82 CDE: 15.0727 p value: 2.506e-02 RTime: 96.031,,(no adduct),475.2347,2,86,106
Overall rank: 92 Sel Score: 0.82 CDE: 15.375 p value: 7.455e-02 RTime: 24.55,,(no adduct),441.7478,2,14,34
Overall rank: 105 Sel Score: 0.81 CDE: 15.3335 p value: 1.023e-03 RTime: 22.11,,(no adduct),450.76,2,12,32
Overall rank: 26 Sel Score: 0.81 CDE: 16.671 p value: 1.035e-01 RTime: 33.565,,(no adduct),451.2837,2,23,43
Overall rank: 199 Sel Score: 0.8 CDE: 14.4541 p value: 4.330e-02 RTime: 23.448,,(no adduct),462.2591,2,13,33
Overall rank: 187 Sel Score: 0.8 CDE: 14.6117 p value: 1.471e-02 RTime: 22.126,,(no adduct),456.7577,4,12,32
Overall rank: 121 Sel Score: 0.8 CDE: 15.2379 p value: 9.729e-02 RTime: 24.766,,(no adduct),460.0048,2,14,34
Overall rank: 151 Sel Score: 0.79 CDE: 14.967 p value: 3.585e-04 RTime: 22.557,,(no adduct),424.7547,2,12,32
Overall rank: 220 Sel Score: 0.79 CDE: 14.261 p value: 5.331e-02 RTime: 22.267,,(no adduct),455.0141,2,12,32
Overall rank: 132 Sel Score: 0.79 CDE: 15.1348 p value: 2.055e-02 RTime: 23.616,,(no adduct),447.0,2,13,33
Overall rank: 70 Sel Score: 0.79 CDE: 15.6328 p value: 6.482e-02 RTime: 23.173,,(no adduct),454.5016,4,13,33
Overall rank: 130 Sel Score: 0.79 CDE: 15.1868 p value: 1.024e-02 RTime: 23.201,,(no adduct),433.0078,2,13,33
Overall rank: 155 Sel Score: 0.79 CDE: 14.9732 p value: 5.698e-02 RTime: 22.235,,(no adduct),415.7563,4,12,32
Overall rank: 260 Sel Score: 0.79 CDE: 13.6542 p value: 3.192e-03 RTime: 115.714,,(no adduct),561.2998,3,105,120
Overall rank: 55 Sel Score: 0.79 CDE: 15.8796 p value: 1.007e-01 RTime: 22.136,,(no adduct),454.247,2,12,32
Overall rank: 153 Sel Score: 0.78 CDE: 14.9967 p value: 1.037e-01 RTime: 26.892,,(no adduct),446.2531,4,16,36
Overall rank: 58 Sel Score: 0.78 CDE: 15.862 p value: 8.316e-04 RTime: 23.817,,(no adduct),441.5053,4,13,33
Overall rank: 116 Sel Score: 0.78 CDE: 15.3485 p value: 5.148e-02 RTime: 22.537,,(no adduct),452.2556,4,12,32
Overall rank: 219 Sel Score: 0.78 CDE: 14.369 p value: 2.052e-02 RTime: 117.442,,(no adduct),590.6503,3,107,120
Overall rank: 139 Sel Score: 0.78 CDE: 15.1827 p value: 4.665e-02 RTime: 27.491,,(no adduct),444.5024,2,17,37
Overall rank: 196 Sel Score: 0.78 CDE: 14.6836 p value: 4.710e-02 RTime: 21.917,,(no adduct),461.7574,2,11,31
Overall rank: 258 Sel Score: 0.77 CDE: 13.9266 p value: 1.330e-01 RTime: 23.428,,(no adduct),430.0175,4,13,33
Overall rank: 190 Sel Score: 0.77 CDE: 14.7624 p value: 3.026e-02 RTime: 26.202,,(no adduct),461.0063,2,16,36
Overall rank: 128 Sel Score: 0.77 CDE: 15.3162 p value: 2.310e-02 RTime: 22.34,,(no adduct),438.0054,4,12,32
Overall rank: 222 Sel Score: 0.77 CDE: 14.4105 p value: 4.450e-02 RTime: 22.234,,(no adduct),431.5088,2,12,32
Overall rank: 253 Sel Score: 0.77 CDE: 14.119 p value: 6.318e-04 RTime: 123.524,,(no adduct),542.0472,4,113,120
Overall rank: 77 Sel Score: 0.76 CDE: 15.8019 p value: 5.857e-02 RTime: 22.713,,(no adduct),454.7451,2,12,32
Overall rank: 249 Sel Score: 0.76 CDE: 14.1799 p value: 2.234e-02 RTime: 24.127,,(no adduct),458.2582,2,14,34
Overall rank: 138 Sel Score: 0.76 CDE: 15.2663 p value: 1.299e-02 RTime: 22.294,,(no adduct),457.2564,2,12,32
Overall rank: 254 Sel Score: 0.76 CDE: 14.1527 p value: 5.848e-03 RTime: 119.044,,(no adduct),619.6657,3,109,120
Overall rank: 208 Sel Score: 0.76 CDE: 14.6462 p value: 1.266e-01 RTime: 24.301,,(no adduct),433.2531,4,14,34
Overall rank: 263 Sel Score: 0.76 CDE: 14.0658 p value: 3.890e-02 RTime: 25.447,,(no adduct),450.0009,4,15,35
Overall rank: 71 Sel Score: 0.76 CDE: 15.8926 p value: 9.145e-02 RTime: 23.886,,(no adduct),439.2498,4,13,33
Overall rank: 76 Sel Score: 0.75 CDE: 15.8539 p value: 5.966e-02 RTime: 22.154,,(no adduct),436.5011,2,12,32
Overall rank: 253 Sel Score: 0.75 CDE: 14.1957 p value: 2.513e-02 RTime: 124.933,,(no adduct),564.0604,4,114,120
Overall rank: 147 Sel Score: 0.75 CDE: 15.258 p value: 9.570e-02 RTime: 21.782,,(no adduct),449.0084,4,11,31
Overall rank: 230 Sel Score: 0.75 CDE: 14.4752 p value: 4.895e-02 RTime: 22.044,,(no adduct),443.2559,2,12,32
Overall rank: 135 Sel Score: 0.75 CDE: 15.3603 p value: 7.146e-02 RTime: 23.615,,(no adduct),430.75,2,13,33
Overall rank: 75 Sel Score: 0.75 CDE: 15.9244 p value: 2.092e-02 RTime: 22.247,,(no adduct),448.7439,2,12,32
Overall rank: 83 Sel Score: 0.75 CDE: 15.848 p value: 9.586e-03 RTime: 23.696,,(no adduct),437.7475,4,13,33
Overall rank: 176 Sel Score: 0.75 CDE: 15.0122 p value: 4.344e-02 RTime: 21.748,,(no adduct),438.5096,4,11,31
Overall rank: 251 Sel Score: 0.75 CDE: 14.2904 p value: 5.415e-04 RTime: 23.421,,(no adduct),433.7564,4,13,33
Overall rank: 98 Sel Score: 0.75 CDE: 15.7137 p value: 9.158e-02 RTime: 23.873,,(no adduct),451.499,2,13,33
Overall rank: 204 Sel Score: 0.74 CDE: 14.8492 p value: 1.424e-02 RTime: 21.968,,(no adduct),442.253,2,11,31
Overall rank: 106 Sel Score: 0.74 CDE: 15.6147 p value: 7.050e-02 RTime: 22.081,,(no adduct),446.4878,2,12,32
Overall rank: 115 Sel Score: 0.74 CDE: 15.5468 p value: 3.402e-02 RTime: 23.799,,(no adduct),438.4979,4,13,33
Overall rank: 76 Sel Score: 0.74 CDE: 16.0306 p value: 5.986e-03 RTime: 22.786,,(no adduct),437.2525,4,12,32
Overall rank: 251 Sel Score: 0.74 CDE: 14.3489 p value: 1.220e-03 RTime: 124.41,,(no adduct),553.0548,2,114,120
Overall rank: 253 Sel Score: 0.74 CDE: 14.3489 p value: 1.220e-03 RTime: 124.148,,(no adduct),553.0537,4,114,120
Overall rank: 101 Sel Score: 0.74 CDE: 15.7931 p value: 4.811e-02 RTime: 23.145,,(no adduct),416.243,4,13,33
Overall rank: 252 Sel Score: 0.74 CDE: 14.3631 p value: 6.913e-02 RTime: 24.244,,(no adduct),406.4824,2,14,34
Overall rank: 180 Sel Score: 0.73 CDE: 15.0745 p value: 2.061e-02 RTime: 23.203,,(no adduct),457.5039,2,13,33
Overall rank: 191 Sel Score: 0.73 CDE: 14.9932 p value: 3.175e-02 RTime: 22.739,,(no adduct),455.7565,4,12,32
Overall rank: 216 Sel Score: 0.73 CDE: 14.8437 p value: 1.048e-02 RTime: 21.682,,(no adduct),463.5172,2,11,31
Overall rank: 109 Sel Score: 0.73 CDE: 15.7323 p value: 9.719e-02 RTime: 23.509,,(no adduct),416.9865,2,13,33
Overall rank: 131 Sel Score: 0.73 CDE: 15.4437 p value: 2.115e-02 RTime: 23.737,,(no adduct),437.7561,4,13,33
Overall rank: 138 Sel Score: 0.73 CDE: 15.395 p value: 8.657e-02 RTime: 26.904,,(no adduct),431.9975,2,16,36
Overall rank: 328 Sel Score: 0.73 CDE: 12.0829 p value: 1.064e-01 RTime: 23.795,,(no adduct),449.0115,2,13,33
Overall rank: 172 Sel Score: 0.73 CDE: 15.2439 p value: 1.307e-01 RTime: 24.258,,(no adduct),418.7363,4,14,34
Overall rank: 234 Sel Score: 0.73 CDE: 14.7039 p value: 2.638e-03 RTime: 21.973,,(no adduct),430.9977,4,11,31
Overall rank: 82 Sel Score: 0.73 CDE: 17.1894 p value: 1.489e-02 RTime: 118.062,,(no adduct),434.648,2,108,120
Overall rank: 312 Sel Score: 0.73 CDE: 13.5155 p value: 1.320e-02 RTime: 120.463,,(no adduct),649.0164,3,110,120
Overall rank: 222 Sel Score: 0.73 CDE: 14.858 p value: 8.416e-02 RTime: 22.726,,(no adduct),440.5102,2,12,32
Overall rank: 97 Sel Score: 0.72 CDE: 15.965 p value: 6.767e-02 RTime: 23.541,,(no adduct),430.9901,2,13,33
Overall rank: 245 Sel Score: 0.72 CDE: 14.6224 p value: 3.368e-02 RTime: 22.028,,(no adduct),453.2567,2,12,32
Overall rank: 301 Sel Score: 0.72 CDE: 13.9295 p value: 9.498e-02 RTime: 23.713,,(no adduct),453.0142,2,13,33
Overall rank: 232 Sel Score: 0.72 CDE: 14.8034 p value: 2.070e-02 RTime: 27.536,,(no adduct),451.0008,2,17,37
Overall rank: 116 Sel Score: 0.72 CDE: 15.8294 p value: 1.202e-01 RTime: 23.573,,(no adduct),439.739,2,13,33
Overall rank: 301 Sel Score: 0.72 CDE: 14.0218 p value: 1.285e-01 RTime: 21.59,,(no adduct),443.2617,4,11,31
Overall rank: 163 Sel Score: 0.72 CDE: 15.3716 p value: 7.759e-02 RTime: 25.901,,(no adduct),453.7517,4,15,35
Overall rank: 165 Sel Score: 0.72 CDE: 15.3694 p value: 9.436e-03 RTime: 22.27,,(no adduct),416.2449,2,12,32
Overall rank: 268 Sel Score: 0.72 CDE: 14.4428 p value: 6.387e-02 RTime: 22.591,,(no adduct),427.2525,4,12,32
Overall rank: 285 Sel Score: 0.72 CDE: 14.2598 p value: 7.874e-02 RTime: 23.829,,(no adduct),461.2642,2,13,33
Overall rank: 237 Sel Score: 0.72 CDE: 14.8213 p value: 7.134e-02 RTime: 24.042,,(no adduct),443.9892,2,14,34
Overall rank: 312 Sel Score: 0.72 CDE: 13.8707 p value: 1.284e-01 RTime: 91.012,,(no adduct),844.9139,2,81,101
Overall rank: 101 Sel Score: 0.72 CDE: 16.1206 p value: 2.278e-03 RTime: 22.605,,(no adduct),436.4956,4,12,32
Overall rank: 321 Sel Score: 0.72 CDE: 13.692 p value: 1.320e-01 RTime: 28.063,,(no adduct),443.5105,2,18,38
Overall rank: 295 Sel Score: 0.72 CDE: 14.2118 p value: 7.321e-02 RTime: 123.682,,(no adduct),542.2993,4,113,120
Overall rank: 354 Sel Score: 0.72 CDE: 11.1172 p value: 2.762e-02 RTime: 25.236,,(no adduct),342.1951,5,15,35
Overall rank: 262 Sel Score: 0.72 CDE: 14.6049 p value: 9.317e-02 RTime: 22.516,,(no adduct),446.0082,2,12,32
Overall rank: 304 Sel Score: 0.72 CDE: 14.159 p value: 9.406e-02 RTime: 23.844,,(no adduct),472.5093,2,13,33
Overall rank: 311 Sel Score: 0.71 CDE: 14.0844 p value: 8.122e-02 RTime: 24.627,,(no adduct),422.2405,2,14,34
Overall rank: 163 Sel Score: 0.71 CDE: 15.4056 p value: 1.173e-01 RTime: 23.015,,(no adduct),449.2495,4,13,33
Overall rank: 194 Sel Score: 0.71 CDE: 15.2625 p value: 4.637e-02 RTime: 23.371,,(no adduct),442.5042,2,13,33
Overall rank: 145 Sel Score: 0.71 CDE: 15.6274 p value: 1.180e-01 RTime: 22.974,,(no adduct),443.5045,4,12,32
Overall rank: 168 Sel Score: 0.71 CDE: 15.3944 p value: 4.029e-02 RTime: 23.812,,(no adduct),447.5051,4,13,33
Overall rank: 188 Sel Score: 0.71 CDE: 15.3426 p value: 1.338e-02 RTime: 24.026,,(no adduct),423.2411,2,14,34
Overall rank: 328 Sel Score: 0.71 CDE: 13.8005 p value: 9.404e-02 RTime: 21.617,,(no adduct),446.2531,4,11,31
Overall rank: 220 Sel Score: 0.71 CDE: 15.0495 p value: 2.306e-02 RTime: 25.487,,(no adduct),408.2303,2,15,35
Overall rank: 224 Sel Score: 0.71 CDE: 15.0181 p value: 9.587e-02 RTime: 27.319,,(no adduct),405.9857,2,17,37
Overall rank: 301 Sel Score: 0.71 CDE: 14.2634 p value: 8.310e-03 RTime: 115.757,,(no adduct),560.9653,3,105,120
Overall rank: 195 Sel Score: 0.71 CDE: 15.3211 p value: 8.430e-02 RTime: 22.644,,(no adduct),448.0061,4,12,32
Overall rank: 295 Sel Score: 0.71 CDE: 14.3531 p value: 2.105e-02 RTime: 25.05,,(no adduct),433.2234,2,15,35
Overall rank: 247 Sel Score: 0.71 CDE: 14.9111 p value: 1.736e-02 RTime: 37.404,,(no adduct),458.9784,4,27,47
Overall rank: 132 Sel Score: 0.71 CDE: 15.9137 p value: 9.789e-02 RTime: 22.166,,(no adduct),435.9941,4,12,32
Overall rank: 181 Sel Score: 0.7 CDE: 15.3835 p value: 6.670e-02 RTime: 100.531,,(no adduct),532.7609,2,90,110
Overall rank: 246 Sel Score: 0.7 CDE: 14.946 p value: 7.141e-02 RTime: 23.513,,(no adduct),442.2513,4,13,33
Overall rank: 143 Sel Score: 0.7 CDE: 15.8441 p value: 3.635e-02 RTime: 22.812,,(no adduct),420.2482,2,12,32
Overall rank: 337 Sel Score: 0.7 CDE: 13.8599 p value: 7.814e-02 RTime: 29.872,,(no adduct),437.502,4,19,39
Overall rank: 308 Sel Score: 0.7 CDE: 14.3088 p value: 1.759e-02 RTime: 117.468,,(no adduct),590.316,3,107,120
Overall rank: 154 Sel Score: 0.7 CDE: 15.741 p value: 1.271e-02 RTime: 22.32,,(no adduct),434.7471,2,12,32
Overall rank: 241 Sel Score: 0.7 CDE: 14.9833 p value: 1.119e-01 RTime: 21.754,,(no adduct),432.2354,2,11,31
Overall rank: 282 Sel Score: 0.7 CDE: 14.627 p value: 7.726e-02 RTime: 31.651,,(no adduct),449.2515,2,21,41
Overall rank: 256 Sel Score: 0.7 CDE: 14.916 p value: 1.311e-01 RTime: 24.515,,(no adduct),432.7384,4,14,34
Overall rank: 157 Sel Score: 0.7 CDE: 15.7487 p value: 2.078e-02 RTime: 22.369,,(no adduct),435.2286,2,12,32
Overall rank: 164 Sel Score: 0.69 CDE: 15.6721 p value: 3.807e-02 RTime: 22.637,,(no adduct),412.9938,4,12,32
Overall rank: 169 Sel Score: 0.69 CDE: 15.6005 p value: 4.022e-02 RTime: 21.792,,(no adduct),431.7539,4,11,31
Overall rank: 256 Sel Score: 0.69 CDE: 14.9473 p value: 1.541e-02 RTime: 23.027,,(no adduct),435.2234,4,13,33
Overall rank: 322 Sel Score: 0.69 CDE: 14.2425 p value: 5.240e-03 RTime: 22.548,,(no adduct),421.2221,4,12,32
Overall rank: 159 Sel Score: 0.69 CDE: 15.8078 p value: 1.511e-02 RTime: 23.901,,(no adduct),404.9847,4,13,33
Overall rank: 317 Sel Score: 0.69 CDE: 14.3132 p value: 1.507e-02 RTime: 23.715,,(no adduct),398.2409,2,13,33
Overall rank: 334 Sel Score: 0.69 CDE: 14.1651 p value: 5.380e-02 RTime: 30.107,,(no adduct),423.9736,4,20,40
Overall rank: 254 Sel Score: 0.69 CDE: 14.9751 p value: 8.297e-02 RTime: 27.663,,(no adduct),453.756,2,17,37
Overall rank: 340 Sel Score: 0.69 CDE: 14.1239 p value: 1.074e-01 RTime: 24.346,,(no adduct),452.2495,4,14,34
Overall rank: 335 Sel Score: 0.69 CDE: 14.1944 p value: 6.499e-02 RTime: 25.253,,(no adduct),460.7481,2,15,35
Overall rank: 181 Sel Score: 0.69 CDE: 15.5909 p value: 3.811e-03 RTime: 128.846,,(no adduct),626.3799,2,118,120
Overall rank: 149 Sel Score: 0.69 CDE: 15.9881 p value: 1.245e-01 RTime: 23.563,,(no adduct),432.9886,4,13,33
Overall rank: 325 Sel Score: 0.69 CDE: 14.31 p value: 9.019e-02 RTime: 85.141,,(no adduct),608.2929,3,75,95
Overall rank: 265 Sel Score: 0.69 CDE: 14.9527 p value: 1.396e-02 RTime: 24.96,,(no adduct),440.7311,2,14,34
Overall rank: 391 Sel Score: 0.69 CDE: 12.0502 p value: 3.295e-02 RTime: 25.023,,(no adduct),426.9869,2,15,35
Overall rank: 185 Sel Score: 0.69 CDE: 15.5933 p value: 2.621e-03 RTime: 127.942,,(no adduct),626.3798,2,117,120
Overall rank: 378 Sel Score: 0.69 CDE: 13.2099 p value: 5.817e-02 RTime: 24.089,,(no adduct),465.2569,2,14,34
Overall rank: 299 Sel Score: 0.69 CDE: 14.6629 p value: 9.379e-02 RTime: 22.337,,(no adduct),461.4963,2,12,32
Overall rank: 339 Sel Score: 0.68 CDE: 14.2294 p value: 9.940e-02 RTime: 30.954,,(no adduct),440.746,4,20,40
Overall rank: 358 Sel Score: 0.68 CDE: 14.0084 p value: 4.151e-02 RTime: 81.68,,(no adduct),585.961,3,71,91
Overall rank: 156 Sel Score: 0.68 CDE: 16.0025 p value: 6.534e-02 RTime: 47.229,,(no adduct),452.2373,4,37,57
Overall rank: 361 Sel Score: 0.68 CDE: 13.975 p value: 1.117e-01 RTime: 113.194,,(no adduct),516.939,3,103,120
Overall rank: 235 Sel Score: 0.68 CDE: 15.2785 p value: 7.581e-02 RTime: 22.799,,(no adduct),397.4671,2,12,32
Overall rank: 387 Sel Score: 0.68 CDE: 13.071 p value: 4.883e-02 RTime: 22.018,,(no adduct),421.4984,2,12,32
Overall rank: 375 Sel Score: 0.68 CDE: 13.6676 p value: 1.062e-01 RTime: 28.021,,(no adduct),408.9926,2,18,38
Overall rank: 170 Sel Score: 0.68 CDE: 15.8811 p value: 6.981e-02 RTime: 26.582,,(no adduct),424.9857,4,16,36
Overall rank: 272 Sel Score: 0.68 CDE: 14.9767 p value: 9.802e-02 RTime: 22.223,,(no adduct),457.7435,2,12,32
Overall rank: 245 Sel Score: 0.68 CDE: 15.2535 p value: 8.615e-02 RTime: 27.728,,(no adduct),430.2194,4,17,37
Overall rank: 180 Sel Score: 0.68 CDE: 15.833 p value: 2.987e-02 RTime: 95.782,,(no adduct),466.7211,2,85,105
Overall rank: 198 Sel Score: 0.68 CDE: 15.5997 p value: 8.500e-02 RTime: 23.576,,(no adduct),418.9862,4,13,33
Overall rank: 266 Sel Score: 0.67 CDE: 15.063 p value: 4.929e-02 RTime: 61.307,,(no adduct),606.964,3,51,71
Overall rank: 160 Sel Score: 0.67 CDE: 16.6124 p value: 1.662e-03 RTime: 125.875,,(no adduct),445.2237,2,115,120
Overall rank: 401 Sel Score: 0.67 CDE: 12.9894 p value: 7.821e-02 RTime: 22.564,,(no adduct),443.5116,2,12,32
Overall rank: 205 Sel Score: 0.67 CDE: 15.5773 p value: 1.100e-01 RTime: 22.13,,(no adduct),454.7434,4,12,32
Overall rank: 218 Sel Score: 0.67 CDE: 15.4127 p value: 5.936e-02 RTime: 22.183,,(no adduct),440.7479,2,12,32
Overall rank: 394 Sel Score: 0.67 CDE: 13.3618 p value: 7.050e-02 RTime: 23.824,,(no adduct),455.509,4,13,33
Overall rank: 265 Sel Score: 0.67 CDE: 15.1268 p value: 3.405e-02 RTime: 22.793,,(no adduct),412.2365,4,12,32
Overall rank: 294 Sel Score: 0.67 CDE: 14.9334 p value: 1.082e-01 RTime: 26.166,,(no adduct),442.2546,2,16,36
Overall rank: 416 Sel Score: 0.67 CDE: 11.8768 p value: 8.520e-02 RTime: 123.609,,(no adduct),678.0599,3,113,120
Overall rank: 340 Sel Score: 0.67 CDE: 14.4451 p value: 4.911e-02 RTime: 27.608,,(no adduct),437.751,2,17,37
Overall rank: 251 Sel Score: 0.67 CDE: 15.2825 p value: 8.847e-02 RTime: 22.683,,(no adduct),405.7284,4,12,32
