Compound,m/z,z,p value,specificity,areas
Sel Score: 0.97 RTime: 3159.051,876.0752,2.0,0.033943532329680594,12ca5,"[23548998.217004675, 42262409.14953298, 27018285.224783167, 10148.0, 1052995.8088940314, 1435200.2863565772]"
Sel Score: 0.97 RTime: 7745.641,451.2904,2.0,0.3928575505878051,Unclear,"[4033655.510837826, 9850.0, 295484.49100271397, 116284.1874319135, 10205.0, 10239.0]"
Sel Score: 0.97 RTime: 3106.32,876.0757,2.0,0.01563810026911278,12ca5,"[23548998.069275476, 20091883.996996548, 30830269.182639077, 10001.0, 1115786.8207485464, 1403097.153638115]"
Sel Score: 0.96 RTime: 1392.218,556.7007,4.0,0.028363776437798152,12ca5,"[5968610.466585658, 9756891.425498188, 10732187.913662007, 425345.58607407566, 410200.7478958905, 320599.822573044]"
Sel Score: 0.92 RTime: 1323.997,445.7646,2.0,0.00482926004317885,12ca5,"[6718364.627733777, 8653900.132445753, 9746430.013787283, 154570.57533977978, 391754.55493992276, 1580168.2236580816]"
Sel Score: 0.9 RTime: 1273.039,556.449,4.0,0.012136677464950228,12ca5,"[6439274.17264643, 8568730.976889778, 9803132.8510542, 1026424.0895580272, 382812.7465536717, 1361563.152593486]"
Sel Score: 0.9 RTime: 1330.738,448.2657,2.0,0.005084409393055666,12ca5,"[8635735.412362786, 9379441.811080532, 11325969.600740552, 871143.0712973663, 1600273.900258725, 875641.5218137767]"
Sel Score: 0.89 RTime: 1291.881,445.7651,2.0,0.09899476333952315,12ca5,"[2632262.4505986506, 6248214.793184961, 8969233.210842993, 284469.0229018103, 412694.9150871598, 1536333.6653671658]"
Sel Score: 0.88 RTime: 3666.05,419.2198,2.0,0.05824862781935089,12ca5,"[37074222.79670846, 37608638.524662904, 15779912.232685838, 4970843.646898061, 7147007.305599132, 9977.0]"
Sel Score: 0.87 RTime: 4944.978,544.2755,3.0,0.04931217452563875,12ca5,"[17168633.267410845, 7514389.254796431, 15982390.888186468, 2112773.004936003, 3835141.6890517543, 10281.0]"
Sel Score: 0.87 RTime: 1458.31,451.2486,2.0,0.12954755729610065,12ca5,"[13831977.449460778, 22442331.13936317, 5791070.72464963, 2254507.7006906546, 1253218.486433198, 2668914.441644056]"
Sel Score: 0.87 RTime: 1859.427,339.8547,3.0,0.0033861814614706285,12ca5,"[6729852.9181826, 9105972.98669792, 7419811.36507705, 1509063.317860945, 374475.4336499028, 1535326.8722719112]"
Sel Score: 0.87 RTime: 7095.31,604.9918,3.0,0.0035404575195832084,12ca5,"[2204691.3490345366, 2986235.809837972, 2238731.766332927, 29558.56947986709, 371083.71261793014, 734148.6023421461]"
Sel Score: 0.87 RTime: 1339.665,448.7593,4.0,0.0009688259266203929,12ca5,"[10172373.675438792, 11976810.219541514, 9993367.302919125, 1558739.7523866808, 1115402.7219572072, 2282373.9760371684]"
Sel Score: 0.86 RTime: 3524.23,399.3804,4.0,0.038978280205890004,12ca5,"[33514927.670330495, 30783437.701484445, 18026471.005590428, 4121677.399067063, 5225326.828461895, 3647352.786503785]"
Sel Score: 0.86 RTime: 7750.684,600.3957,2.0,0.3187226553618572,Unclear,"[3204199.731508174, 489717.81146088423, 535973.0502171046, 191995.80453886976, 9778.0, 492659.55745232163]"
Sel Score: 0.86 RTime: 1358.615,449.5164,2.0,0.0044676696842011416,12ca5,"[7155693.470017335, 5415803.3189790705, 5391775.880842071, 551464.1138623067, 843360.2089589748, 1612239.3631743013]"
Sel Score: 0.85 RTime: 1473.461,416.9748,2.0,0.19094258284725985,Unclear,"[24137058.503698926, 6740464.310732554, 8044395.701373636, 9929.0, 3889544.501224314, 2821854.1128539564]"
Sel Score: 0.85 RTime: 7048.817,817.315,2.0,0.06990028481058724,12ca5,"[1248171.0072243495, 2551923.418463854, 3001739.5354177766, 357632.47932053567, 361669.5257600966, 458124.86017059983]"
Sel Score: 0.85 RTime: 1357.022,466.2561,2.0,0.1149771808963821,12ca5,"[4967417.252084946, 11237212.533179168, 4660964.107336, 906112.5903364437, 1377667.8284119645, 1366696.7629907557]"
Sel Score: 0.85 RTime: 1389.803,454.7632,2.0,0.031111120856381968,12ca5,"[7281109.007214328, 9170398.41013253, 12724032.955227977, 1237867.6194584246, 2503174.102103488, 1377565.775947505]"
Sel Score: 0.85 RTime: 4686.672,606.6304,3.0,0.4701622240185584,Unclear,"[89562678.60011858, 9875.0, 4311674.511622812, 8286849.137312183, 4641867.280857084, 3650397.542571859]"
Sel Score: 0.84 RTime: 7190.857,634.3411,3.0,0.021908660333436518,12ca5,"[1715805.878183564, 1165801.9573952518, 1835945.359884782, 311016.7219383056, 222814.56102056877, 359355.0644890065]"
Sel Score: 0.84 RTime: 1356.751,460.5088,2.0,0.08886728381912283,12ca5,"[9181475.696250811, 3495761.1428982266, 9406633.12852895, 1873750.4014717452, 1022093.5856670813, 1319441.9951407234]"
Sel Score: 0.83 RTime: 1318.774,440.2606,2.0,0.08501021328216878,12ca5,"[4145186.207611523, 11475353.925284658, 10191912.784272982, 1128046.163206627, 2803029.179529618, 1170305.0137487722]"
Sel Score: 0.83 RTime: 1413.653,443.0159,2.0,0.050628173087675116,12ca5,"[8000574.658595064, 4296086.7116156975, 4951011.064504646, 1652344.9232403124, 814576.6985185609, 1001629.9112456358]"
