Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"Sel Score: 0.97 RTime: 52.651 Area: 30943230.86377361 All areas: [23548998.217004675, 42262409.14953298, 27018285.224783167, 10148, 1052995.8088940314, 1435200.2863565772] p-value: 0.033943532329680594 original RTs: [3170.5155641120978, 0, 0, 0, 0, 0]",,(no adduct),876.0752,2.0,42,62
"Sel Score: 0.97 RTime: 51.772 Area: 24823717.082970366 All areas: [23548998.069275476, 20091883.996996548, 30830269.182639077, 10001, 1115786.8207485464, 1403097.153638115] p-value: 0.01563810026911278 original RTs: [3117.7418770325467, 0, 0, 0, 0, 0]",,(no adduct),876.0757,2.0,41,61
"Sel Score: 0.96 RTime: 23.204 Area: 8819229.935248619 All areas: [5968610.466585658, 9756891.425498188, 10732187.913662007, 425345.58607407566, 410200.7478958905, 320599.822573044] p-value: 0.028363776437798152 original RTs: [1402.248169936962, 0, 0, 0, 0, 0]",,(no adduct),556.7007,4.0,13,33
"Sel Score: 0.92 RTime: 22.067 Area: 8372898.257988937 All areas: [6718364.627733777, 8653900.132445753, 9746430.013787283, 154570.57533977978, 391754.55493992276, 1580168.2236580816] p-value: 0.00482926004317885 original RTs: [0, 0, 1327.200272470872, 0, 0, 0]",,(no adduct),445.7646,2.0,12,32
"Sel Score: 0.9 RTime: 21.217 Area: 8270379.333530135 All areas: [6439274.17264643, 8568730.976889778, 9803132.8510542, 1026424.0895580272, 382812.7465536717, 1361563.152593486] p-value: 0.012136677464950228 original RTs: [0, 0, 1276.106319646662, 0, 0, 0]",,(no adduct),556.449,4.0,11,31
"Sel Score: 0.9 RTime: 22.179 Area: 9780382.274727957 All areas: [8635735.412362786, 9379441.811080532, 11325969.600740552, 871143.0712973663, 1600273.900258725, 875641.5218137767] p-value: 0.005084409393055666 original RTs: [0, 1342.6180786702635, 0, 0, 0, 0]",,(no adduct),448.2657,2.0,12,32
"Sel Score: 0.89 RTime: 21.531 Area: 5949903.484875535 All areas: [2632262.4505986506, 6248214.793184961, 8969233.210842993, 284469.0229018103, 412694.9150871598, 1536333.6653671658] p-value: 0.09899476333952315 original RTs: [0, 0, 1294.9990431159956, 0, 0, 0]",,(no adduct),445.7651,2.0,11,31
"Sel Score: 0.88 RTime: 61.101 Area: 30154257.851352397 All areas: [37074222.79670846, 37608638.524662904, 15779912.232685838, 4970843.646898061, 7147007.305599132, 9977] p-value: 0.05824862781935089 original RTs: [3716.297494083473, 0, 0, 3627.710401488047, 0, 0]",,(no adduct),419.2198,2.0,51,71
"Sel Score: 0.87 RTime: 82.416 Area: 13555137.803464582 All areas: [17168633.267410845, 7514389.254796431, 15982390.888186468, 2112773.004936003, 3835141.6890517543, 10281] p-value: 0.04931217452563875 original RTs: [0, 0, 0, 0, 4941.977011099972, 4926.346041139959]",,(no adduct),544.2755,3.0,72,92
"Sel Score: 0.87 RTime: 24.305 Area: 14021793.104491191 All areas: [13831977.449460778, 22442331.13936317, 5791070.72464963, 2254507.7006906546, 1253218.486433198, 2668914.441644056] p-value: 0.12954755729610065 original RTs: [0, 1470.745203753642, 0, 0, 0, 0]",,(no adduct),451.2486,2.0,14,34
"Sel Score: 0.87 RTime: 30.99 Area: 7751879.089985858 All areas: [6729852.9181826, 9105972.98669792, 7419811.36507705, 1509063.317860945, 374475.4336499028, 1535326.8722719112] p-value: 0.0033861814614706285 original RTs: [1900.9680152463957, 1870.2612067434468, 1836.21154171356, 0, 0, 0]",,(no adduct),339.8547,3.0,20,40
"Sel Score: 0.87 RTime: 118.255 Area: 2476552.9750684784 All areas: [2204691.3490345366, 2986235.809837972, 2238731.766332927, 29558.56947986709, 371083.71261793014, 734148.6023421461] p-value: 0.0035404575195832084 original RTs: [7114.4073343567825, 7131.851894399996, 0, 0, 0, 7093.63840128954]",,(no adduct),604.9918,3.0,108,120
"Sel Score: 0.87 RTime: 22.328 Area: 10714183.732633144 All areas: [10172373.675438792, 11976810.219541514, 9993367.302919125, 1558739.7523866808, 1115402.7219572072, 2282373.9760371684] p-value: 0.0009688259266203929 original RTs: [0, 1351.5835118688387, 0, 0, 0, 0]",,(no adduct),448.7593,4.0,12,32
"Sel Score: 0.86 RTime: 58.737 Area: 27441612.125801787 All areas: [33514927.670330495, 30783437.701484445, 18026471.005590428, 4121677.399067063, 5225326.828461895, 3647352.786503785] p-value: 0.038978280205890004 original RTs: [3535.990536717943, 0, 0, 0, 0, 0]",,(no adduct),399.3804,4.0,48,68
"Sel Score: 0.86 RTime: 22.644 Area: 5987757.556612826 All areas: [7155693.470017335, 5415803.3189790705, 5391775.880842071, 551464.1138623067, 843360.2089589748, 1612239.3631743013] p-value: 0.0044676696842011416 original RTs: [0, 1370.615912305255, 0, 0, 0, 0]",,(no adduct),449.5164,2.0,12,32
"Sel Score: 0.85 RTime: 117.48 Area: 2267277.9870353267 All areas: [1248171.0072243495, 2551923.418463854, 3001739.5354177766, 357632.47932053567, 361669.5257600966, 458124.86017059983] p-value: 0.06990028481058724 original RTs: [7063.438506781846, 0, 0, 0, 0, 0]",,(no adduct),817.315,2.0,107,120
"Sel Score: 0.85 RTime: 22.617 Area: 6955197.9642000375 All areas: [4967417.252084946, 11237212.533179168, 4660964.107336, 906112.5903364437, 1377667.8284119645, 1366696.7629907557] p-value: 0.1149771808963821 original RTs: [0, 1369.016436550328, 0, 0, 0, 0]",,(no adduct),466.2561,2.0,12,32
"Sel Score: 0.85 RTime: 23.163 Area: 9725180.124191612 All areas: [7281109.007214328, 9170398.41013253, 12724032.955227977, 1237867.6194584246, 2503174.102103488, 1377565.775947505] p-value: 0.031111120856381968 original RTs: [0, 1401.940159369301, 0, 0, 0, 0]",,(no adduct),454.7632,2.0,13,33
"Sel Score: 0.84 RTime: 119.848 Area: 1572517.7318211992 All areas: [1715805.878183564, 1165801.9573952518, 1835945.359884782, 311016.7219383056, 222814.56102056877, 359355.0644890065] p-value: 0.021908660333436518 original RTs: [7205.592963899158, 0, 0, 0, 0, 0]",,(no adduct),634.3411,3.0,109,120
"Sel Score: 0.84 RTime: 22.613 Area: 7361289.989225996 All areas: [9181475.696250811, 3495761.1428982266, 9406633.12852895, 1873750.4014717452, 1022093.5856670813, 1319441.9951407234] p-value: 0.08886728381912283 original RTs: [0, 0, 1360.0416022610978, 0, 0, 0]",,(no adduct),460.5088,2.0,12,32
"Sel Score: 0.83 RTime: 21.98 Area: 8604150.97238972 All areas: [4145186.207611523, 11475353.925284658, 10191912.784272982, 1128046.163206627, 2803029.179529618, 1170305.0137487722] p-value: 0.08501021328216878 original RTs: [0, 1330.6020549622388, 0, 0, 0, 0]",,(no adduct),440.2606,2.0,11,31
"Sel Score: 0.83 RTime: 23.561 Area: 5749224.144905135 All areas: [8000574.658595064, 4296086.7116156975, 4951011.064504646, 1652344.9232403124, 814576.6985185609, 1001629.9112456358] p-value: 0.050628173087675116 original RTs: [1423.7012259966514, 0, 0, 0, 0, 0]",,(no adduct),443.0159,2.0,13,33
"Sel Score: 0.83 RTime: 22.723 Area: 6099214.599894628 All areas: [5159159.388814826, 5032602.879965492, 8105881.530903566, 2214459.458263739, 871239.5883505768, 614675.5348969694] p-value: 0.023758479359538974 original RTs: [0, 1375.3924000865682, 0, 0, 0, 0]",,(no adduct),464.5083,2.0,12,32
"Sel Score: 0.83 RTime: 22.397 Area: 15956877.750688238 All areas: [13230033.581435423, 17793277.491879668, 16847322.17874962, 2670209.738134163, 1444578.6424650182, 5780597.328370288] p-value: 0.002673841688328302 original RTs: [0, 0, 1401.7184057790398, 0, 1229.311739727187, 0]",,(no adduct),435.2484,2.0,12,32
"Sel Score: 0.82 RTime: 96.031 Area: 5165221.585172432 All areas: [4316783.449616197, 6605538.200073962, 4573343.105827136, 851833.7606494204, 1451411.7804547786, 1043189.2211229192] p-value: 0.025062280593216798 original RTs: [5775.435495403213, 0, 0, 0, 0, 0]",,(no adduct),475.2347,2.0,86,106
"Sel Score: 0.82 RTime: 24.55 Area: 12353098.518697664 All areas: [7607929.765432158, 12016579.897697873, 17434785.892962962, 2271321.3916431502, 2412518.589361213, 3396150.6471173507] p-value: 0.07455095912714164 original RTs: [1428.9745796615287, 0, 0, 1519.8299522603877, 1422.9679005307296, 0]",,(no adduct),441.7478,2.0,14,34
"Sel Score: 0.81 RTime: 22.11 Area: 11809028.87981174 All areas: [10687884.832180737, 11430233.485489396, 13308968.321765082, 3659254.157495182, 1603023.9665593826, 2854686.1703703296] p-value: 0.0010228818348474744 original RTs: [0, 0, 0, 0, 0, 1283.3686432431991]",,(no adduct),450.76,2.0,12,32
"Sel Score: 0.81 RTime: 33.565 Area: 33038225.01809627 All areas: [38724432.245197676, 14690920.524893064, 45699322.28419806, 1792110.1889052447, 10842044.283955142, 10561547.667239645] p-value: 0.10349698792612264 original RTs: [2053.8256427803694, 2027.2615133099325, 1991.0419217702795, 0, 0, 0]",,(no adduct),451.2837,2.0,23,43
"Sel Score: 0.8 RTime: 21.829 Area: 3470552.282723993 All areas: [3796353.2788946857, 3100066.0630845623, 3515237.5061927317, 681538.320062736, 700643.9447790444, 1182029.904522177] p-value: 0.0006800248180506368 original RTs: [0, 0, 1312.876793007569, 0, 0, 0]",,(no adduct),447.0173,4.0,11,31
"Sel Score: 0.8 RTime: 23.448 Area: 6571356.703754037 All areas: [4380263.262475864, 8365754.970489747, 6968051.878296499, 1112025.644850712, 1555231.9128848712, 2209253.4434855953] p-value: 0.04329578974688964 original RTs: [0, 0, 1410.3199725161514, 0, 0, 0]",,(no adduct),462.2591,2.0,13,33
"Sel Score: 0.8 RTime: 22.126 Area: 8450411.088277256 All areas: [10041173.545706082, 8722246.947089313, 6587812.7720363755, 2330075.996528563, 1401307.3107485925, 2750109.3845952144] p-value: 0.014706636403257797 original RTs: [0, 0, 1330.7891941369796, 0, 0, 0]",,(no adduct),456.7577,4.0,12,32
"Sel Score: 0.8 RTime: 24.766 Area: 5793665.531332397 All areas: [6923245.939540308, 7599834.549243677, 2857916.1052132063, 1254914.3777582094, 1937820.662815512, 1258082.957501911] p-value: 0.09728871715760057 original RTs: [1496.0865245545615, 0, 0, 0, 0, 0]",,(no adduct),460.0048,2.0,14,34
"Sel Score: 0.79 RTime: 22.557 Area: 5506321.160243292 All areas: [5340064.971371678, 6027725.111619102, 5151173.3977390975, 1636925.4964435678, 1651549.9036421243, 988478.9818976673] p-value: 0.0003585376509202528 original RTs: [0, 1365.4200613452563, 0, 0, 0, 0]",,(no adduct),424.7547,2.0,12,32
"Sel Score: 0.79 RTime: 22.267 Area: 7737565.800494175 All areas: [8062105.990367803, 4928420.975123676, 10222170.435991049, 1276637.341758973, 1763697.9053226642, 2980206.0996390563] p-value: 0.053309209280594134 original RTs: [0, 0, 1339.2802448153366, 0, 0, 0]",,(no adduct),455.0141,2.0,12,32
