Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Sel Score: 0.9 p value: 1.214e-02 RTime: 21.217,,(no adduct),556.449,4,11,31
Sel Score: 0.89 p value: 9.899e-02 RTime: 21.531,,(no adduct),445.7651,2,11,31
Sel Score: 0.83 p value: 8.501e-02 RTime: 21.98,,(no adduct),440.2606,2,11,31
Sel Score: 0.8 p value: 6.800e-04 RTime: 21.829,,(no adduct),447.0173,4,11,31
Sel Score: 0.78 p value: 4.710e-02 RTime: 21.917,,(no adduct),461.7574,2,11,31
Sel Score: 0.76 p value: 6.949e-03 RTime: 21.828,,(no adduct),459.767,2,11,31
Sel Score: 0.76 p value: 1.159e-02 RTime: 21.889,,(no adduct),445.0131,4,11,31
Sel Score: 0.75 p value: 9.570e-02 RTime: 21.782,,(no adduct),449.0084,4,11,31
Sel Score: 0.75 p value: 4.344e-02 RTime: 21.748,,(no adduct),438.5096,4,11,31
Sel Score: 0.74 p value: 1.424e-02 RTime: 21.968,,(no adduct),442.253,2,11,31
Sel Score: 0.92 p value: 4.829e-03 RTime: 22.067,,(no adduct),445.7646,2,12,32
Sel Score: 0.9 p value: 5.084e-03 RTime: 22.179,,(no adduct),448.2657,2,12,32
Sel Score: 0.87 p value: 9.688e-04 RTime: 22.328,,(no adduct),448.7593,4,12,32
Sel Score: 0.86 p value: 4.468e-03 RTime: 22.644,,(no adduct),449.5164,2,12,32
Sel Score: 0.85 p value: 1.150e-01 RTime: 22.617,,(no adduct),466.2561,2,12,32
Sel Score: 0.84 p value: 8.887e-02 RTime: 22.613,,(no adduct),460.5088,2,12,32
Sel Score: 0.83 p value: 2.376e-02 RTime: 22.723,,(no adduct),464.5083,2,12,32
Sel Score: 0.83 p value: 2.674e-03 RTime: 22.397,,(no adduct),435.2484,2,12,32
Sel Score: 0.81 p value: 1.023e-03 RTime: 22.11,,(no adduct),450.76,2,12,32
Sel Score: 0.8 p value: 1.471e-02 RTime: 22.126,,(no adduct),456.7577,4,12,32
Sel Score: 0.96 p value: 2.836e-02 RTime: 23.204,,(no adduct),556.7007,4,13,33
Sel Score: 0.85 p value: 3.111e-02 RTime: 23.163,,(no adduct),454.7632,2,13,33
Sel Score: 0.83 p value: 5.063e-02 RTime: 23.561,,(no adduct),443.0159,2,13,33
Sel Score: 0.8 p value: 4.330e-02 RTime: 23.448,,(no adduct),462.2591,2,13,33
Sel Score: 0.79 p value: 2.055e-02 RTime: 23.616,,(no adduct),447.0,2,13,33
Sel Score: 0.79 p value: 6.482e-02 RTime: 23.173,,(no adduct),454.5016,4,13,33
Sel Score: 0.79 p value: 1.024e-02 RTime: 23.201,,(no adduct),433.0078,2,13,33
Sel Score: 0.78 p value: 8.316e-04 RTime: 23.817,,(no adduct),441.5053,4,13,33
Sel Score: 0.77 p value: 1.330e-01 RTime: 23.428,,(no adduct),430.0175,4,13,33
Sel Score: 0.76 p value: 9.145e-02 RTime: 23.886,,(no adduct),439.2498,4,13,33
Sel Score: 0.87 p value: 1.295e-01 RTime: 24.305,,(no adduct),451.2486,2,14,34
Sel Score: 0.82 p value: 7.455e-02 RTime: 24.55,,(no adduct),441.7478,2,14,34
Sel Score: 0.8 p value: 9.729e-02 RTime: 24.766,,(no adduct),460.0048,2,14,34
Sel Score: 0.76 p value: 2.234e-02 RTime: 24.127,,(no adduct),458.2582,2,14,34
Sel Score: 0.76 p value: 1.266e-01 RTime: 24.301,,(no adduct),433.2531,4,14,34
Sel Score: 0.74 p value: 6.913e-02 RTime: 24.244,,(no adduct),406.4824,2,14,34
Sel Score: 0.73 p value: 1.307e-01 RTime: 24.258,,(no adduct),418.7363,4,14,34
Sel Score: 0.72 p value: 7.134e-02 RTime: 24.042,,(no adduct),443.9892,2,14,34
Sel Score: 0.71 p value: 8.122e-02 RTime: 24.627,,(no adduct),422.2405,2,14,34
Sel Score: 0.71 p value: 1.338e-02 RTime: 24.026,,(no adduct),423.2411,2,14,34
Sel Score: 0.76 p value: 3.890e-02 RTime: 25.447,,(no adduct),450.0009,4,15,35
Sel Score: 0.72 p value: 7.759e-02 RTime: 25.901,,(no adduct),453.7517,4,15,35
Sel Score: 0.72 p value: 2.762e-02 RTime: 25.236,,(no adduct),342.1951,5,15,35
Sel Score: 0.71 p value: 2.306e-02 RTime: 25.487,,(no adduct),408.2303,2,15,35
Sel Score: 0.71 p value: 2.105e-02 RTime: 25.05,,(no adduct),433.2234,2,15,35
Sel Score: 0.69 p value: 6.499e-02 RTime: 25.253,,(no adduct),460.7481,2,15,35
Sel Score: 0.69 p value: 3.295e-02 RTime: 25.023,,(no adduct),426.9869,2,15,35
Sel Score: 0.66 p value: 8.962e-02 RTime: 25.244,,(no adduct),426.4896,2,15,35
Sel Score: 0.65 p value: 6.422e-02 RTime: 25.778,,(no adduct),421.4883,2,15,35
Sel Score: 0.64 p value: 7.194e-02 RTime: 25.287,,(no adduct),413.2037,2,15,35
Sel Score: 0.78 p value: 1.037e-01 RTime: 26.892,,(no adduct),446.2531,4,16,36
Sel Score: 0.77 p value: 3.026e-02 RTime: 26.202,,(no adduct),461.0063,2,16,36
Sel Score: 0.73 p value: 8.657e-02 RTime: 26.904,,(no adduct),431.9975,2,16,36
Sel Score: 0.68 p value: 6.981e-02 RTime: 26.582,,(no adduct),424.9857,4,16,36
