Compound,m/z,z,p value,specificity
"Sel Score: 0.97 RTime: 3159.051 Areas: [27276692.24629544, 21627594.221517764, 16199483.16426992, 30009013.88782228, 35241893.82109121, 22490048.73834062]",876.0752,2.0,0.033943532329680594,12ca5
"Sel Score: 0.97 RTime: 3106.32 Areas: [1781288.4510892779, 1132507.8066075847, 2810827.4043527353, 8560548.498188201, 10697330.772251276, 6305442.292407403]",876.0757,2.0,0.01563810026911278,12ca5
"Sel Score: 0.96 RTime: 1392.218 Areas: [2799859.36523741, 3352516.0828467254, 2220879.011898617, 8854893.454828868, 10114144.489588806, 1908385.8729925277]",556.7007,4.0,0.028363776437798152,12ca5
"Sel Score: 0.92 RTime: 1323.997 Areas: [16754960.244491985, 5200883.764466662, 1539102.39988524, 16603850.733945861, 13089469.301718414, 6487761.896246348]",445.7646,2.0,0.00482926004317885,12ca5
"Sel Score: 0.9 RTime: 1273.039 Areas: [1625442.4472602936, 2769208.884489482, 2024826.6227121798, 14146337.326554041, 5491157.17622063, 1959866.8096272864]",556.449,4.0,0.012136677464950228,12ca5
"Sel Score: 0.9 RTime: 1330.738 Areas: [2846554.922847825, 7709116.310179721, 1738719.2046336178, 5192257.833502133, 10862224.897527253, 5120502.035329988]",448.2657,2.0,0.005084409393055666,12ca5
"Sel Score: 0.89 RTime: 1291.881 Areas: [1511656.3202362242, 2343625.002852775, 2254936.2244449127, 22262190.011101365, 3002299.4948551003, 3742823.9491594112]",445.7651,2.0,0.09899476333952315,12ca5
"Sel Score: 0.88 RTime: 3666.05 Areas: [15221148.513338743, 23583358.91116462, 21816467.581639934, 17445482.622133553, 15980779.509524224, 14311222.354659624]",419.2198,2.0,0.05824862781935089,12ca5
"Sel Score: 0.87 RTime: 4944.978 Areas: [9872573.860701669, 8298476.871459498, 13661225.434067553, 8202694.987757022, 21748073.71203559, 11019348.14818513]",544.2755,3.0,0.04931217452563875,12ca5
"Sel Score: 0.87 RTime: 1458.31 Areas: [7598378.281904491, 7195684.400736157, 2423799.8760361476, 14609004.58301504, 8022413.255788864, 15629084.616169846]",451.2486,2.0,0.12954755729610065,12ca5
"Sel Score: 0.87 RTime: 1859.427 Areas: [2923152.125731035, 2497875.40565453, 4589454.744262204, 18790440.535273198, 8000727.494767514, 3637117.9777251286]",339.8547,3.0,0.0033861814614706285,12ca5
"Sel Score: 0.87 RTime: 7095.31 Areas: [1779652.9952392671, 4962500.49887629, 4878542.929854408, 19832959.23286937, 4980704.668186292, 7406480.824790549]",604.9918,3.0,0.0035404575195832084,12ca5
"Sel Score: 0.87 RTime: 1339.665 Areas: [7087328.488253488, 5351829.046261588, 4687997.289212638, 6050269.5767978495, 6091410.958027465, 3349901.4346555527]",448.7593,4.0,0.0009688259266203929,12ca5
