Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 2815 Sel Score: 0.99 CDE: 12.901 p value: 1.202e-02 RTime: 124.755,,(no adduct),474.0192,4,114,120
Overall rank: 2259 Sel Score: 0.99 CDE: 14.7674 p value: 1.394e-03 RTime: 115.759,,(no adduct),544.797,2,105,120
Overall rank: 2155 Sel Score: 0.99 CDE: 14.8607 p value: 1.034e-01 RTime: 19.997,,(no adduct),327.5886,5,9,29
Overall rank: 1194 Sel Score: 0.99 CDE: 15.4583 p value: 7.843e-02 RTime: 19.365,,(no adduct),353.3989,5,9,29
Overall rank: 2290 Sel Score: 0.97 CDE: 14.7351 p value: 2.190e-02 RTime: 116.94,,(no adduct),566.81,2,106,120
Overall rank: 2469 Sel Score: 0.97 CDE: 14.5299 p value: 1.124e-02 RTime: 120.341,,(no adduct),632.8495,2,110,120
Overall rank: 85 Sel Score: 0.97 CDE: 16.369 p value: 4.886e-02 RTime: 80.533,,(no adduct),673.8394,3,70,90
Overall rank: 45 Sel Score: 0.97 CDE: 16.5434 p value: 1.305e-02 RTime: 117.925,,(no adduct),407.6883,2,107,120
Overall rank: 2365 Sel Score: 0.96 CDE: 14.6679 p value: 1.765e-02 RTime: 119.254,,(no adduct),610.8345,2,109,120
Overall rank: 2387 Sel Score: 0.95 CDE: 14.6431 p value: 7.186e-02 RTime: 84.909,,(no adduct),741.5275,3,74,94
Overall rank: 2331 Sel Score: 0.95 CDE: 14.7059 p value: 1.697e-03 RTime: 118.031,,(no adduct),588.8223,2,108,120
Overall rank: 2830 Sel Score: 0.95 CDE: 12.7694 p value: 7.563e-02 RTime: 124.689,,(no adduct),474.5205,4,114,120
Overall rank: 1619 Sel Score: 0.95 CDE: 15.2342 p value: 2.320e-02 RTime: 56.361,,(no adduct),399.2237,2,46,66
Overall rank: 320 Sel Score: 0.95 CDE: 16.0194 p value: 1.292e-01 RTime: 20.115,,(no adduct),361.1986,5,10,30
Overall rank: 54 Sel Score: 0.95 CDE: 16.5369 p value: 9.609e-02 RTime: 33.384,,(no adduct),421.7386,2,23,43
Overall rank: 888 Sel Score: 0.94 CDE: 15.6351 p value: 1.971e-02 RTime: 19.863,,(no adduct),339.1842,5,9,29
Overall rank: 1222 Sel Score: 0.94 CDE: 15.4522 p value: 5.736e-02 RTime: 20.558,,(no adduct),328.5816,5,10,30
Overall rank: 1313 Sel Score: 0.94 CDE: 15.4055 p value: 1.111e-01 RTime: 102.149,,(no adduct),651.6781,3,92,112
Overall rank: 2584 Sel Score: 0.93 CDE: 14.3384 p value: 4.362e-03 RTime: 121.345,,(no adduct),654.8609,2,111,120
Overall rank: 2463 Sel Score: 0.93 CDE: 14.5556 p value: 1.683e-02 RTime: 21.996,,(no adduct),334.5854,5,11,31
Overall rank: 2219 Sel Score: 0.93 CDE: 14.8196 p value: 7.710e-05 RTime: 39.358,,(no adduct),381.4713,4,29,49
Overall rank: 879 Sel Score: 0.93 CDE: 15.641 p value: 9.270e-03 RTime: 66.052,,(no adduct),677.3312,3,56,76
Overall rank: 2061 Sel Score: 0.92 CDE: 14.9598 p value: 9.286e-02 RTime: 32.866,,(no adduct),420.5049,2,22,42
Overall rank: 2081 Sel Score: 0.92 CDE: 14.9439 p value: 3.229e-03 RTime: 21.157,,(no adduct),322.9853,5,11,31
Overall rank: 1445 Sel Score: 0.92 CDE: 15.336 p value: 6.626e-02 RTime: 35.336,,(no adduct),406.9607,4,25,45
Overall rank: 1619 Sel Score: 0.92 CDE: 15.2413 p value: 1.040e-01 RTime: 21.367,,(no adduct),325.7855,5,11,31
Overall rank: 1757 Sel Score: 0.92 CDE: 15.1732 p value: 9.680e-02 RTime: 19.981,,(no adduct),349.8137,5,9,29
Overall rank: 117 Sel Score: 0.91 CDE: 16.3442 p value: 1.190e-01 RTime: 46.537,,(no adduct),453.2251,2,36,56
Overall rank: 2627 Sel Score: 0.91 CDE: 14.2703 p value: 2.537e-02 RTime: 116.782,,(no adduct),726.9022,2,106,120
Overall rank: 2605 Sel Score: 0.91 CDE: 14.3089 p value: 2.654e-02 RTime: 102.12,,(no adduct),462.7437,2,92,112
Overall rank: 2706 Sel Score: 0.91 CDE: 14.0554 p value: 1.198e-02 RTime: 119.535,,(no adduct),534.6376,3,109,120
Overall rank: 2820 Sel Score: 0.91 CDE: 13.33 p value: 1.567e-02 RTime: 124.768,,(no adduct),474.2691,4,114,120
Overall rank: 1141 Sel Score: 0.91 CDE: 15.5031 p value: 1.161e-02 RTime: 38.414,,(no adduct),351.1929,5,28,48
Overall rank: 2444 Sel Score: 0.91 CDE: 14.5906 p value: 6.343e-02 RTime: 35.308,,(no adduct),391.4635,4,25,45
Overall rank: 2808 Sel Score: 0.9 CDE: 13.5357 p value: 7.229e-02 RTime: 126.05,,(no adduct),496.032,4,116,120
Overall rank: 2760 Sel Score: 0.9 CDE: 13.8706 p value: 2.491e-02 RTime: 122.26,,(no adduct),676.874,2,112,120
Overall rank: 434 Sel Score: 0.9 CDE: 15.9412 p value: 1.246e-01 RTime: 35.142,,(no adduct),411.9624,2,25,45
Overall rank: 2605 Sel Score: 0.9 CDE: 14.3323 p value: 6.520e-02 RTime: 83.158,,(no adduct),567.2746,3,73,93
Overall rank: 2250 Sel Score: 0.9 CDE: 14.8068 p value: 4.376e-02 RTime: 34.131,,(no adduct),398.9885,4,24,44
Overall rank: 926 Sel Score: 0.9 CDE: 15.6246 p value: 2.776e-02 RTime: 21.281,,(no adduct),342.7887,5,11,31
Overall rank: 209 Sel Score: 0.9 CDE: 16.1857 p value: 9.100e-02 RTime: 35.288,,(no adduct),414.2252,2,25,45
Overall rank: 505 Sel Score: 0.89 CDE: 15.8978 p value: 8.237e-03 RTime: 21.178,,(no adduct),337.3896,5,11,31
Overall rank: 459 Sel Score: 0.89 CDE: 15.9245 p value: 1.264e-02 RTime: 41.12,,(no adduct),398.9653,4,31,51
Overall rank: 338 Sel Score: 0.89 CDE: 16.0367 p value: 1.099e-01 RTime: 34.411,,(no adduct),412.2158,4,24,44
Overall rank: 778 Sel Score: 0.89 CDE: 15.7186 p value: 1.303e-02 RTime: 19.962,,(no adduct),341.7926,5,9,29
Overall rank: 2321 Sel Score: 0.89 CDE: 14.7483 p value: 1.023e-01 RTime: 26.995,,(no adduct),342.1823,5,16,36
Overall rank: 253 Sel Score: 0.89 CDE: 16.1356 p value: 7.526e-02 RTime: 51.558,,(no adduct),413.981,2,41,61
Overall rank: 2103 Sel Score: 0.89 CDE: 14.9453 p value: 1.207e-01 RTime: 46.503,,(no adduct),401.9574,2,36,56
Overall rank: 1536 Sel Score: 0.89 CDE: 15.3003 p value: 1.102e-01 RTime: 43.895,,(no adduct),390.2205,4,33,53
Overall rank: 2179 Sel Score: 0.88 CDE: 14.8843 p value: 7.831e-03 RTime: 33.392,,(no adduct),339.1985,5,23,43
Overall rank: 319 Sel Score: 0.88 CDE: 16.0717 p value: 6.046e-02 RTime: 53.151,,(no adduct),407.2334,2,43,63
Overall rank: 80 Sel Score: 0.88 CDE: 16.5946 p value: 5.422e-03 RTime: 38.854,,(no adduct),398.2127,4,28,48
Overall rank: 1529 Sel Score: 0.88 CDE: 15.3081 p value: 1.314e-01 RTime: 51.819,,(no adduct),402.981,2,41,61
Overall rank: 516 Sel Score: 0.88 CDE: 15.8979 p value: 7.624e-02 RTime: 55.109,,(no adduct),411.4825,4,45,65
Overall rank: 159 Sel Score: 0.88 CDE: 16.3015 p value: 9.676e-02 RTime: 36.076,,(no adduct),405.2305,2,26,46
Overall rank: 654 Sel Score: 0.88 CDE: 15.8031 p value: 1.727e-02 RTime: 55.669,,(no adduct),429.9891,4,45,65
Overall rank: 1387 Sel Score: 0.88 CDE: 15.3853 p value: 2.659e-02 RTime: 95.061,,(no adduct),840.9419,2,85,105
Overall rank: 1911 Sel Score: 0.88 CDE: 15.096 p value: 1.144e-01 RTime: 34.245,,(no adduct),399.2395,2,24,44
Overall rank: 659 Sel Score: 0.88 CDE: 15.8028 p value: 7.259e-02 RTime: 34.437,,(no adduct),412.4862,4,24,44
Overall rank: 1402 Sel Score: 0.88 CDE: 15.378 p value: 2.387e-02 RTime: 20.558,,(no adduct),357.9889,5,10,30
Overall rank: 285 Sel Score: 0.88 CDE: 16.1151 p value: 5.638e-02 RTime: 114.202,,(no adduct),983.5025,2,104,120
Overall rank: 690 Sel Score: 0.88 CDE: 15.7851 p value: 9.367e-02 RTime: 39.686,,(no adduct),403.2391,2,29,49
Overall rank: 716 Sel Score: 0.88 CDE: 15.7665 p value: 1.749e-02 RTime: 20.413,,(no adduct),339.5928,5,10,30
Overall rank: 1354 Sel Score: 0.88 CDE: 15.4067 p value: 2.639e-02 RTime: 31.615,,(no adduct),391.4755,4,21,41
Overall rank: 599 Sel Score: 0.88 CDE: 15.8474 p value: 1.128e-01 RTime: 41.112,,(no adduct),401.4642,2,31,51
Overall rank: 525 Sel Score: 0.88 CDE: 15.8999 p value: 9.483e-02 RTime: 19.918,,(no adduct),337.7968,5,9,29
Overall rank: 2395 Sel Score: 0.88 CDE: 14.6988 p value: 1.104e-02 RTime: 115.85,,(no adduct),470.2612,3,105,120
Overall rank: 150 Sel Score: 0.88 CDE: 16.3611 p value: 1.128e-01 RTime: 41.922,,(no adduct),414.4871,4,31,51
Overall rank: 480 Sel Score: 0.87 CDE: 15.9277 p value: 8.868e-02 RTime: 41.05,,(no adduct),397.7248,2,31,51
Overall rank: 222 Sel Score: 0.87 CDE: 16.2066 p value: 9.503e-02 RTime: 46.33,,(no adduct),391.2189,4,36,56
Overall rank: 753 Sel Score: 0.87 CDE: 15.7481 p value: 1.135e-01 RTime: 38.975,,(no adduct),405.4718,4,28,48
Overall rank: 1509 Sel Score: 0.87 CDE: 15.3292 p value: 1.011e-01 RTime: 54.488,,(no adduct),408.4787,2,44,64
Overall rank: 1927 Sel Score: 0.87 CDE: 15.0949 p value: 1.012e-02 RTime: 42.958,,(no adduct),423.2221,4,32,52
Overall rank: 2026 Sel Score: 0.87 CDE: 15.0275 p value: 7.624e-02 RTime: 38.368,,(no adduct),371.5965,5,28,48
Overall rank: 695 Sel Score: 0.87 CDE: 15.7879 p value: 2.997e-02 RTime: 45.523,,(no adduct),419.7188,2,35,55
Overall rank: 2014 Sel Score: 0.87 CDE: 15.0355 p value: 5.347e-02 RTime: 90.392,,(no adduct),443.2126,2,80,100
Overall rank: 2011 Sel Score: 0.87 CDE: 15.0366 p value: 5.347e-02 RTime: 89.8,,(no adduct),443.212,2,79,99
Overall rank: 1593 Sel Score: 0.87 CDE: 15.2855 p value: 8.601e-02 RTime: 38.491,,(no adduct),398.7295,2,28,48
Overall rank: 1190 Sel Score: 0.87 CDE: 15.5015 p value: 1.051e-01 RTime: 56.113,,(no adduct),409.7236,2,46,66
Overall rank: 2284 Sel Score: 0.87 CDE: 14.8148 p value: 3.575e-02 RTime: 55.906,,(no adduct),408.4638,2,45,65
Overall rank: 2509 Sel Score: 0.87 CDE: 14.5688 p value: 5.079e-02 RTime: 115.915,,(no adduct),704.8874,2,105,120
Overall rank: 1274 Sel Score: 0.87 CDE: 15.4577 p value: 1.078e-01 RTime: 33.359,,(no adduct),399.7181,2,23,43
Overall rank: 1110 Sel Score: 0.87 CDE: 15.5445 p value: 7.062e-02 RTime: 36.435,,(no adduct),406.9865,4,26,46
Overall rank: 1547 Sel Score: 0.87 CDE: 15.3149 p value: 8.383e-02 RTime: 35.528,,(no adduct),405.2327,4,25,45
Overall rank: 853 Sel Score: 0.87 CDE: 15.6989 p value: 4.457e-02 RTime: 32.206,,(no adduct),436.2217,4,22,42
Overall rank: 777 Sel Score: 0.87 CDE: 15.7435 p value: 1.155e-01 RTime: 35.097,,(no adduct),386.2157,4,25,45
Overall rank: 1859 Sel Score: 0.87 CDE: 15.1499 p value: 7.061e-02 RTime: 52.546,,(no adduct),414.2066,2,42,62
Overall rank: 229 Sel Score: 0.87 CDE: 16.2267 p value: 4.202e-02 RTime: 48.435,,(no adduct),429.7377,4,38,58
Overall rank: 134 Sel Score: 0.87 CDE: 16.4855 p value: 4.486e-02 RTime: 37.944,,(no adduct),419.2241,4,27,47
Overall rank: 1737 Sel Score: 0.86 CDE: 15.2134 p value: 7.715e-02 RTime: 28.254,,(no adduct),337.3814,5,18,38
