Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"Sel Score: 0.99 RTime: 124.755 Area: 1301989.220790264 All areas: [10089, 9730, 9774, 1576347.7265870688, 1234471.165881885, 1095148.7699018382] p-value: 0.012019702976591596 original RTs: [0, 0, 0, 0, 7510.922187565393, 7494.85672748866]",,(no adduct),474.0192,4.0,114,120
"Sel Score: 0.99 RTime: 115.759 Area: 3056307.862345651 All areas: [10294, 58349.9863910328, 9987, 3201256.2693497012, 3155041.00378368, 2812626.313903571] p-value: 0.0013944860522827032 original RTs: [0, 0, 0, 0, 0, 6946.704299135756]",,(no adduct),544.797,2.0,105,120
"Sel Score: 0.99 RTime: 19.997 Area: 3128876.7742247037 All areas: [17063.61833221859, 15316.103015925306, 80541.87135825778, 4593256.241540057, 3771260.783893463, 1022113.29724059] p-value: 0.10336922064891849 original RTs: [0, 0, 0, 0, 1138.470290293514, 0]",,(no adduct),327.5886,5.0,9,29
"Sel Score: 0.99 RTime: 19.365 Area: 3092087.512685956 All areas: [15602.412478493017, 21916.16883880893, 76067.46769820107, 2435275.111525958, 4890822.902082071, 1950164.5244498386] p-value: 0.07843310768939346 original RTs: [0, 0, 0, 0, 1099.9629512877857, 0]",,(no adduct),353.3989,5.0,9,29
"Sel Score: 0.97 RTime: 116.94 Area: 2952173.3506072685 All areas: [157319.19972684013, 10189, 72802.69085432749, 3503904.1115984814, 3271554.3979450734, 2081061.5422782514] p-value: 0.021901833873417112 original RTs: [0, 0, 0, 0, 7034.139832211597, 7023.36002346824]",,(no adduct),566.81,2.0,106,120
"Sel Score: 0.97 RTime: 120.341 Area: 2345673.5521274377 All areas: [28203.911748268503, 59109.194339647685, 115244.64145084909, 2742085.2554607876, 2412557.215106579, 1882378.185814947] p-value: 0.011237900258432696 original RTs: [0, 0, 0, 0, 0, 7223.77175826944]",,(no adduct),632.8495,2.0,110,120
"Sel Score: 0.97 RTime: 80.533 Area: 20333825.047452834 All areas: [657288.0635102439, 781815.6157263713, 322515.4416225804, 27995929.975092523, 20717860.786864825, 12287684.38040115] p-value: 0.04886083542950634 original RTs: [0, 0, 0, 0, 4823.300663200283, 0]",,(no adduct),673.8394,3.0,70,90
"Sel Score: 0.97 RTime: 117.925 Area: 20645842.67795324 All areas: [684193.1703368203, 704319.9363110455, 757024.4885886844, 23665020.402508043, 22141721.565759774, 16130786.065591905] p-value: 0.013050484952513297 original RTs: [0, 0, 0, 7088.0165942206795, 7092.649515158823, 7071.796940965696]",,(no adduct),407.6883,2.0,107,120
"Sel Score: 0.96 RTime: 119.254 Area: 2468287.055533078 All areas: [138185.94902801755, 86622.1131002157, 105347.18079327911, 2554862.5764271757, 2972759.7625713903, 1877238.8276006684] p-value: 0.017653583040930326 original RTs: [0, 0, 0, 7155.234934732059, 0, 0]",,(no adduct),610.8345,2.0,109,120
"Sel Score: 0.95 RTime: 84.909 Area: 5007126.75147439 All areas: [350702.25403685827, 9828, 378233.75624256703, 6407341.125526295, 6329340.343835681, 2284698.7850611936] p-value: 0.07186497501222473 original RTs: [0, 0, 0, 0, 0, 5081.087055389195]",,(no adduct),741.5275,3.0,74,94
"Sel Score: 0.95 RTime: 118.031 Area: 2590611.630756173 All areas: [56868.333435096065, 115449.95061087505, 211714.98902673507, 2756847.6383566516, 2713115.7084237565, 2301871.54548811] p-value: 0.0016967488336258568 original RTs: [0, 0, 0, 7086.491781754009, 7101.108538371276, 0]",,(no adduct),588.8223,2.0,108,120
"Sel Score: 0.95 RTime: 124.689 Area: 643774.3892613607 All areas: [42956.02959913123, -12765.304443217274, 71228.71473617526, 991481.1725921443, 380306.1371544963, 559535.8580374415] p-value: 0.07562563899169444 original RTs: [0, 0, 0, 0, 7511.102761616903, 0]",,(no adduct),474.5205,4.0,114,120
"Sel Score: 0.95 RTime: 56.361 Area: 14605683.159688683 All areas: [658307.5406342277, 1651618.7111424292, 10263, 10434773.310394906, 18452842.74792598, 14929433.420745168] p-value: 0.023203821466537558 original RTs: [0, 3402.484074337605, 0, 0, 0, 0]",,(no adduct),399.2237,2.0,46,66
"Sel Score: 0.95 RTime: 20.115 Area: 9487064.311795134 All areas: [17078.51764488757, 288606.2514349485, 1210970.4035355912, 5540734.619689601, 16695425.275012374, 6225033.040683431] p-value: 0.12922879136986165 original RTs: [0, 0, 0, 0, 1145.6266045122914, 0]",,(no adduct),361.1986,5.0,10,30
