Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Sel Score: 0.99 p value: 1.034e-01 RTime: 19.997,,(no adduct),327.5886,5,9,29
Sel Score: 0.99 p value: 7.843e-02 RTime: 19.365,,(no adduct),353.3989,5,9,29
Sel Score: 0.94 p value: 1.971e-02 RTime: 19.863,,(no adduct),339.1842,5,9,29
Sel Score: 0.92 p value: 9.680e-02 RTime: 19.981,,(no adduct),349.8137,5,9,29
Sel Score: 0.89 p value: 1.303e-02 RTime: 19.962,,(no adduct),341.7926,5,9,29
Sel Score: 0.88 p value: 9.483e-02 RTime: 19.918,,(no adduct),337.7968,5,9,29
Sel Score: 0.86 p value: 1.016e-01 RTime: 19.521,,(no adduct),344.4062,5,9,29
Sel Score: 0.82 p value: 1.226e-01 RTime: 19.835,,(no adduct),347.8053,5,9,29
Sel Score: 0.81 p value: 8.046e-02 RTime: 19.995,,(no adduct),356.8023,5,9,29
Sel Score: 0.8 p value: 6.778e-02 RTime: 19.593,,(no adduct),359.0112,5,9,29
Sel Score: 0.95 p value: 1.292e-01 RTime: 20.115,,(no adduct),361.1986,5,10,30
Sel Score: 0.94 p value: 5.736e-02 RTime: 20.558,,(no adduct),328.5816,5,10,30
Sel Score: 0.88 p value: 2.387e-02 RTime: 20.558,,(no adduct),357.9889,5,10,30
Sel Score: 0.88 p value: 1.749e-02 RTime: 20.413,,(no adduct),339.5928,5,10,30
Sel Score: 0.86 p value: 3.414e-02 RTime: 20.267,,(no adduct),413.9709,2,10,30
Sel Score: 0.86 p value: 4.757e-02 RTime: 20.528,,(no adduct),358.5921,5,10,30
Sel Score: 0.86 p value: 1.537e-02 RTime: 20.021,,(no adduct),365.0039,5,10,30
Sel Score: 0.84 p value: 5.277e-02 RTime: 20.505,,(no adduct),350.5908,5,10,30
Sel Score: 0.83 p value: 2.819e-02 RTime: 20.129,,(no adduct),362.8081,5,10,30
Sel Score: 0.83 p value: 3.522e-03 RTime: 20.986,,(no adduct),343.7991,5,10,30
Sel Score: 0.93 p value: 1.683e-02 RTime: 21.996,,(no adduct),334.5854,5,11,31
Sel Score: 0.92 p value: 3.229e-03 RTime: 21.157,,(no adduct),322.9853,5,11,31
Sel Score: 0.92 p value: 1.040e-01 RTime: 21.367,,(no adduct),325.7855,5,11,31
Sel Score: 0.9 p value: 2.776e-02 RTime: 21.281,,(no adduct),342.7887,5,11,31
Sel Score: 0.89 p value: 8.237e-03 RTime: 21.178,,(no adduct),337.3896,5,11,31
Sel Score: 0.86 p value: 6.542e-02 RTime: 21.097,,(no adduct),344.5885,5,11,31
Sel Score: 0.85 p value: 8.543e-03 RTime: 21.699,,(no adduct),329.3876,5,11,31
Sel Score: 0.84 p value: 2.268e-02 RTime: 21.325,,(no adduct),355.4003,5,11,31
Sel Score: 0.83 p value: 1.478e-02 RTime: 21.369,,(no adduct),359.3972,5,11,31
Sel Score: 0.83 p value: 2.975e-03 RTime: 21.557,,(no adduct),347.6023,5,11,31
Sel Score: 0.85 p value: 1.074e-01 RTime: 22.144,,(no adduct),328.9924,5,12,32
Sel Score: 0.83 p value: 1.308e-01 RTime: 22.971,,(no adduct),368.0059,5,12,32
Sel Score: 0.82 p value: 4.702e-03 RTime: 22.036,,(no adduct),366.3969,5,12,32
Sel Score: 0.81 p value: 7.994e-02 RTime: 22.008,,(no adduct),331.9878,5,12,32
Sel Score: 0.81 p value: 8.682e-02 RTime: 22.007,,(no adduct),343.9822,5,12,32
Sel Score: 0.78 p value: 1.335e-01 RTime: 22.428,,(no adduct),365.2112,5,12,32
Sel Score: 0.77 p value: 1.031e-01 RTime: 22.366,,(no adduct),350.3825,5,12,32
Sel Score: 0.77 p value: 1.174e-01 RTime: 22.148,,(no adduct),357.8026,5,12,32
Sel Score: 0.76 p value: 8.557e-02 RTime: 22.191,,(no adduct),332.9912,5,12,32
Sel Score: 0.76 p value: 6.847e-02 RTime: 22.102,,(no adduct),337.5953,5,12,32
Sel Score: 0.78 p value: 1.312e-01 RTime: 23.01,,(no adduct),332.784,5,13,33
Sel Score: 0.78 p value: 3.906e-03 RTime: 23.324,,(no adduct),343.1869,5,13,33
Sel Score: 0.75 p value: 2.514e-02 RTime: 23.547,,(no adduct),339.3866,5,13,33
Sel Score: 0.74 p value: 5.915e-02 RTime: 23.979,,(no adduct),348.7946,5,13,33
Sel Score: 0.73 p value: 4.745e-02 RTime: 23.352,,(no adduct),404.4796,2,13,33
Sel Score: 0.71 p value: 3.937e-02 RTime: 23.523,,(no adduct),352.1885,5,13,33
Sel Score: 0.68 p value: 1.142e-01 RTime: 23.77,,(no adduct),432.4704,4,13,33
Sel Score: 0.68 p value: 6.241e-02 RTime: 23.227,,(no adduct),357.0028,5,13,33
Sel Score: 0.67 p value: 1.025e-01 RTime: 23.337,,(no adduct),341.7873,5,13,33
Sel Score: 0.67 p value: 1.040e-01 RTime: 23.279,,(no adduct),415.2344,2,13,33
Sel Score: 0.8 p value: 1.149e-01 RTime: 24.655,,(no adduct),423.2147,4,14,34
Sel Score: 0.75 p value: 8.238e-02 RTime: 24.516,,(no adduct),342.589,5,14,34
Sel Score: 0.75 p value: 5.604e-02 RTime: 24.702,,(no adduct),441.9745,2,14,34
Sel Score: 0.73 p value: 3.938e-03 RTime: 24.168,,(no adduct),430.9776,4,14,34
Sel Score: 0.68 p value: 8.015e-02 RTime: 24.906,,(no adduct),353.3897,5,14,34
Sel Score: 0.67 p value: 8.556e-03 RTime: 24.745,,(no adduct),364.7988,5,14,34
Sel Score: 0.67 p value: 8.621e-02 RTime: 24.054,,(no adduct),397.9628,4,14,34
Sel Score: 0.67 p value: 6.183e-02 RTime: 24.867,,(no adduct),419.4705,4,14,34
Sel Score: 0.62 p value: 1.157e-01 RTime: 24.411,,(no adduct),392.4738,2,14,34
Sel Score: 0.58 p value: 9.159e-02 RTime: 24.912,,(no adduct),396.9645,4,14,34
Sel Score: 0.79 p value: 3.970e-02 RTime: 25.723,,(no adduct),337.7826,5,15,35
Sel Score: 0.79 p value: 9.239e-02 RTime: 25.268,,(no adduct),332.9814,5,15,35
Sel Score: 0.78 p value: 1.099e-01 RTime: 25.012,,(no adduct),359.3939,5,15,35
Sel Score: 0.75 p value: 1.097e-01 RTime: 25.995,,(no adduct),406.2108,4,15,35
Sel Score: 0.75 p value: 6.325e-02 RTime: 25.078,,(no adduct),357.9989,5,15,35
Sel Score: 0.74 p value: 1.164e-01 RTime: 25.656,,(no adduct),385.9742,4,15,35
Sel Score: 0.72 p value: 3.774e-02 RTime: 25.157,,(no adduct),365.4017,5,15,35
Sel Score: 0.72 p value: 9.414e-02 RTime: 25.164,,(no adduct),431.2349,2,15,35
Sel Score: 0.72 p value: 5.686e-02 RTime: 25.199,,(no adduct),359.1976,5,15,35
Sel Score: 0.71 p value: 1.087e-01 RTime: 25.996,,(no adduct),447.4907,4,15,35
Sel Score: 0.89 p value: 1.023e-01 RTime: 26.995,,(no adduct),342.1823,5,16,36
Sel Score: 0.85 p value: 1.005e-01 RTime: 26.821,,(no adduct),338.79,5,16,36
Sel Score: 0.84 p value: 1.588e-02 RTime: 26.981,,(no adduct),395.7335,4,16,36
Sel Score: 0.8 p value: 6.907e-02 RTime: 26.626,,(no adduct),400.744,4,16,36
Sel Score: 0.8 p value: 1.748e-02 RTime: 26.732,,(no adduct),425.9691,4,16,36
Sel Score: 0.79 p value: 7.793e-02 RTime: 26.415,,(no adduct),346.3951,5,16,36
Sel Score: 0.78 p value: 1.198e-01 RTime: 26.988,,(no adduct),426.477,2,16,36
Sel Score: 0.78 p value: 8.344e-03 RTime: 26.432,,(no adduct),386.221,4,16,36
Sel Score: 0.78 p value: 1.003e-02 RTime: 26.77,,(no adduct),396.2119,4,16,36
Sel Score: 0.78 p value: 9.950e-02 RTime: 26.75,,(no adduct),411.716,2,16,36
Sel Score: 0.86 p value: 3.076e-02 RTime: 27.647,,(no adduct),356.5894,5,17,37
Sel Score: 0.85 p value: 4.068e-02 RTime: 27.406,,(no adduct),389.4889,4,17,37
Sel Score: 0.82 p value: 2.913e-02 RTime: 27.603,,(no adduct),359.5978,5,17,37
Sel Score: 0.81 p value: 3.854e-02 RTime: 27.953,,(no adduct),404.7382,4,17,37
Sel Score: 0.81 p value: 1.334e-01 RTime: 27.811,,(no adduct),415.9819,2,17,37
Sel Score: 0.8 p value: 1.065e-02 RTime: 27.289,,(no adduct),395.7029,4,17,37
Sel Score: 0.8 p value: 1.010e-03 RTime: 27.041,,(no adduct),357.7878,5,17,37
Sel Score: 0.79 p value: 2.021e-02 RTime: 27.86,,(no adduct),412.7178,2,17,37
Sel Score: 0.78 p value: 7.806e-02 RTime: 27.203,,(no adduct),350.401,5,17,37
Sel Score: 0.77 p value: 5.070e-02 RTime: 27.15,,(no adduct),339.1854,5,17,37
Sel Score: 0.86 p value: 7.715e-02 RTime: 28.254,,(no adduct),337.3814,5,18,38
Sel Score: 0.86 p value: 7.316e-04 RTime: 28.659,,(no adduct),343.7834,5,18,38
Sel Score: 0.84 p value: 1.815e-02 RTime: 28.636,,(no adduct),352.9939,5,18,38
Sel Score: 0.83 p value: 6.948e-02 RTime: 28.605,,(no adduct),361.9929,5,18,38
Sel Score: 0.82 p value: 2.130e-03 RTime: 28.524,,(no adduct),354.9838,5,18,38
