Compound,m/z,z,p value,specificity
"Sel Score: 0.99 RTime: 7485.27 Areas: [8450461.460070621, 10422282.624989072, 10613301.132989842, 9027815.881947843, 8381855.015718297, 4980980.584358653]",474.0192,4.0,0.012019702976591596,WDR5
"Sel Score: 0.99 RTime: 6945.535 Areas: [2720035.300887176, 5589728.7433723435, 5872053.631620527, 4187468.7027195357, 4017741.703160228, 3985818.790228234]",544.797,2.0,0.0013944860522827032,WDR5
"Sel Score: 0.99 RTime: 1199.827 Areas: [2172336.162668925, 2741703.79849768, 3269875.7360610203, 10980621.972735181, 4807229.745016993, 3607432.4222640092]",327.5886,5.0,0.10336922064891849,WDR5
"Sel Score: 0.99 RTime: 1161.871 Areas: [5257727.837991939, 3529984.2787450976, 3390641.170466527, 9019446.274619143, 5383775.916534691, 15050021.361757534]",353.3989,5.0,0.07843310768939346,WDR5
"Sel Score: 0.97 RTime: 7016.388 Areas: [8884965.418477738, 11747768.678215297, 4369716.591193325, 4970184.859695475, 2771338.441368632, 7934787.407418784]",566.81,2.0,0.021901833873417112,WDR5
"Sel Score: 0.97 RTime: 7220.43 Areas: [7389872.880825053, 12205214.63582546, 15786310.351338072, 4258500.516330607, 1681823.9214735785, 6743604.136246576]",632.8495,2.0,0.011237900258432696,WDR5
"Sel Score: 0.97 RTime: 4831.963 Areas: [518626.53716484667, 11142389.397634067, 13166232.568464013, 8753899.616286831, 17823014.505028024, 7238621.1463027]",673.8394,3.0,0.04886083542950634,WDR5
"Sel Score: 0.97 RTime: 7075.507 Areas: [9273683.017685127, 4121625.6555212145, 3037794.7895931546, 15039144.319122504, 17022282.782953747, 9525259.439901872]",407.6883,2.0,0.013050484952513297,WDR5
"Sel Score: 0.96 RTime: 7155.235 Areas: [7550667.698784482, 1340415.1730456122, 1130213.473628499, 5591076.404011874, 6163585.719021558, 7785502.230476933]",610.8345,2.0,0.017653583040930326,WDR5
"Sel Score: 0.95 RTime: 5094.543 Areas: [4509642.794227846, 6574492.7786749285, 3503509.7395171127, 11258073.633999923, 11240288.331113381, 7122093.454267928]",741.5275,3.0,0.07186497501222473,WDR5
"Sel Score: 0.95 RTime: 7081.844 Areas: [3636138.598606625, 1832903.2422278307, 3933796.927314674, 9193291.82686026, 4459949.370292177, 2802801.581177369]",588.8223,2.0,0.0016967488336258568,WDR5
"Sel Score: 0.95 RTime: 7481.328 Areas: [2437051.305556803, 2053252.0159382632, 3686270.550794491, 8187776.6884394325, 10447085.793920545, 2645569.412645958]",474.5205,4.0,0.07562563899169444,WDR5
"Sel Score: 0.95 RTime: 3381.672 Areas: [547974273.7755101, 501628675.1014249, 421784296.5359788, 1142467695.000168, 950766846.7609206, 518952785.7700506]",399.2237,2.0,0.023203821466537558,WDR5
"Sel Score: 0.95 RTime: 1206.881 Areas: [3785299.394558776, 9460746.572179051, 6492149.2114618, 12211168.416815052, 5892851.653449919, 4522763.328425737]",361.1986,5.0,0.12922879136986165,WDR5
"Sel Score: 0.95 RTime: 2003.02 Areas: [3638023.7088635024, 12578790.315139461, 10142811.663859662, 12524221.00193597, 19175254.783266347, 10167051.76495768]",421.7386,2.0,0.09608693238770585,WDR5
"Sel Score: 0.94 RTime: 1191.782 Areas: [1566800.4025652912, 7913546.325917504, 2356260.7836194574, 10917220.506244253, 13721128.364573497, 5174978.707006748]",339.1842,5.0,0.019707229090464667,WDR5
"Sel Score: 0.94 RTime: 1233.477 Areas: [3054789.6294289306, 4230512.631345593, 6782299.57682697, 3914457.9468950676, 11927014.16582988, 6004263.240412538]",328.5816,5.0,0.0573593993622518,WDR5
"Sel Score: 0.94 RTime: 6128.934 Areas: [20836394.171721786, 4282331.562675259, 3083442.429502793, 17338212.60446759, 8112009.79098928, 6767780.819394046]",651.6781,3.0,0.11107353088189093,WDR5
"Sel Score: 0.93 RTime: 7280.722 Areas: [5229237.204710508, 4241993.730352762, 5864713.805993429, 12042948.198080257, 10970947.4842154, 3144520.736264566]",654.8609,2.0,0.004361834694980997,WDR5
"Sel Score: 0.93 RTime: 1319.747 Areas: [2632962.849571241, 2547739.4906943124, 2242444.517116601, 5557285.641428467, 8063513.7895149775, 5558776.478859515]",334.5854,5.0,0.01683093161749058,WDR5
"Sel Score: 0.93 RTime: 2361.505 Areas: [1315979.832554719, 5882891.765083225, 18933628.459676176, 6499474.978822735, 6454128.280704005, 5990995.962142727]",381.4713,4.0,7.709778298567479e-05,WDR5
"Sel Score: 0.93 RTime: 3963.135 Areas: [4284102.874834936, 2588257.242467432, 3923844.202820294, 10025607.262775678, 11383183.362912577, 4263678.160916528]",677.3312,3.0,0.009270029040673575,WDR5
